hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
FHNNJA_00165	CI-1049	33	311	WYL_I_II_III_IV_V_VI_4	1e-26	91.5	0.983	0.534	139	304
FHNNJA_00165	CI-1049	33	311	WYL_I_II_III_IV_V_VI_1	3.1e-47	159.0	0.987	0.997	1	310
FHNNJA_00610	CI-1049	122	675	DS-8__DS-8	1.8e-189	629.0	0.64	0.997	2	674
FHNNJA_00620	CI-1049	124	729	Gabija__GajA	9.9e-167	553.8	0.997	0.901	1	657
FHNNJA_00625	CI-1049	125	597	Gabija__GajB_3	2.3e-21	73.8	0.77	0.538	25	345
FHNNJA_00625	CI-1049	125	597	Gabija__GajB_1	7.5e-40	134.5	0.927	0.935	13	570
FHNNJA_00625	CI-1049	125	597	Gabija__GajB_2	6.5e-79	263.4	0.744	0.953	11	579
FHNNJA_00665	CI-1049	133	253	AbiJ__AbiJ	4.1e-07	27.0	0.417	0.494	122	246
FHNNJA_01310	CI-1049	250	831	Dodola__DolB	2.2e-25	87.0	0.432	0.211	497	671
FHNNJA_01350	CI-1049	258	221	RosmerTA__RmrT_2634882613	9.7e-08	29.2	0.788	0.756	16	182
FHNNJA_01350	CI-1049	258	221	RosmerTA__RmrT_2664250653	2.4e-14	50.4	0.828	0.855	8	196
FHNNJA_01350	CI-1049	258	221	RosmerTA__RmrT_2623274509	3.7999999999999998e-22	76.2	0.84	0.846	6	192
FHNNJA_01350	CI-1049	258	221	RosmerTA__RmrT_2677172838	7.2e-23	78.5	0.789	0.81	3	181
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2641389401	3.3999999999999998e-37	125.5	0.951	0.939	7	362
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2676476075	2.7e-40	136.0	0.855	0.85	9	330
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2617826694	7.3e-49	163.6	0.966	0.955	7	368
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2585209417	5.5e-52	174.3	0.951	0.953	7	367
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2734955840	2.9e-57	191.8	0.925	0.939	7	362
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2603008502	4.7e-66	220.8	0.924	0.929	7	358
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2634932349	2.2999999999999997e-67	224.6	0.928	0.939	7	362
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2753529055	1.6999999999999998e-73	245.2	0.89	0.937	7	361
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2662548665	6.5e-93	309.1	0.875	0.929	7	358
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2664250653	9.2e-94	311.7	0.929	0.96	6	369
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2634882613	5.5e-97	322.4	0.94	0.976	7	376
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2600853143	7.0000000000000005e-99	328.7	0.945	0.95	6	365
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2677172838	3.6e-106	352.5	0.976	0.976	6	375
FHNNJA_01355	CI-1049	259	379	RosmerTA__RmrA_2623274509	6.3e-110	364.8	0.93	0.939	6	361
FHNNJA_01380	CI-1049	264	186	Dpd__FolE	9.4e-53	175.9	0.978	0.946	8	183
FHNNJA_01520	CI-1049	284	113	MazEF__MazF	5.7e-23	78.4	0.928	0.929	5	109
FHNNJA_02145	CI-1049	406	1192	Wadjet__JetC_I	4.3e-13	45.4	0.474	0.447	325	857
FHNNJA_02145	CI-1049	406	1192	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.6e-14	51.3	0.791	0.408	1	486
FHNNJA_02325	CI-1049	440	156	Veles__VlsC1	3.8000000000000004e-36	121.8	0.966	0.962	3	152
FHNNJA_02325	CI-1049	440	156	Veles__VlsC2	1.6e-36	123.0	0.973	0.962	4	153
FHNNJA_03435	CI-1049	656	177	DEDDh_I_II_III_IV_V_VI_1	2.3e-38	129.3	0.988	0.87	5	158
FHNNJA_03635	CI-1049	696	1045	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	3.8e-11	40.1	0.763	0.467	5	492
FHNNJA_03635	CI-1049	696	1045	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.3e-14	50.6	0.799	0.757	16	806
FHNNJA_03740	CI-1049	717	869	recD_IV-D_1	4.1e-83	277.2	0.857	0.732	117	752
FHNNJA_04155	CI-1049	800	382	Dnd__DndA	7.7e-35	117.9	0.828	0.838	5	324
FHNNJA_04465	CI-1049	859	589	PsyrTA__PsyrT	3.8e-111	369.7	0.515	0.587	4	349
FHNNJA_04780	CI-1049	922	411	Dnd__DndA	2.5e-45	152.4	0.865	0.835	24	366
FHNNJA_04855	CI-1049	937	1451	DEDDh_I_II_III_IV_V_VI_1	3.0000000000000003e-46	154.9	0.994	0.108	427	582
FHNNJA_04870	CI-1049	940	923	csf4_IV-A_1	2.8e-20	69.8	0.578	0.395	522	886
FHNNJA_04870	CI-1049	940	923	DEDDh_I_II_III_IV_V_VI_1	2.2e-45	152.1	0.988	0.168	9	163
FHNNJA_04940	CI-1049	954	868	Dodola__DolB	2.7e-23	80.0	0.68	0.319	449	725
FHNNJA_05715	CI-1049	1106	381	Dnd__DndA	1.1e-109	364.3	0.963	0.95	4	365
FHNNJA_05725	CI-1049	1108	374	SspBCDE__SspD	1.1e-05	22.5	0.433	0.356	5	137
FHNNJA_05860	CI-1049	1135	335	RM_Type_II__Type_II_MTases_FAM_13	1.1e-09	34.8	0.424	0.704	63	298
FHNNJA_05860	CI-1049	1135	335	RM_Type_II__Type_II_MTases_FAM_33	1e-15	54.9	0.429	0.63	100	310
