hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JBIPMC_00165	DFI-266	33	311	WYL_I_II_III_IV_V_VI_4	5.9e-27	92.3	0.983	0.534	139	304
JBIPMC_00165	DFI-266	33	311	WYL_I_II_III_IV_V_VI_1	1.0999999999999999e-47	160.5	0.987	0.997	1	310
JBIPMC_01585	DFI-266	287	381	Dnd__DndA	5.1e-102	339.1	0.979	0.966	2	369
JBIPMC_02470	DFI-266	462	1010	RM__Type_I_REases_FAM_0.einsi_trimmed	1.5e-68	229.5	0.661	0.709	115	830
JBIPMC_02470	DFI-266	462	1010	RM__Type_I_REases_FAM_1.einsi_trimmed	0.0	1102.4	0.979	0.978	2	989
JBIPMC_02880	DFI-266	542	481	DISARM__drmC	2.4e-17	60.8	0.747	0.395	258	447
JBIPMC_03285	DFI-266	622	746	Dodola__DolB	2.8e-23	80.1	0.531	0.279	386	593
JBIPMC_03350	DFI-266	635	752	Gabija__GajB_3	5.7e-17	59.4	0.663	0.382	27	313
JBIPMC_03350	DFI-266	635	752	Gabija__GajB_1	6.999999999999999e-41	138.0	0.921	0.809	15	622
JBIPMC_03350	DFI-266	635	752	UG35__UvrD	9.199999999999998e-103	342.3	0.53	0.576	11	443
JBIPMC_03350	DFI-266	635	752	Gabija__GajB_2	1.5e-112	374.6	0.774	0.876	4	662
JBIPMC_03840	DFI-266	730	113	MazEF__MazF	1.8e-09	34.9	0.919	0.956	4	111
JBIPMC_03965	DFI-266	754	125	MazEF__MazF	8.7e-08	29.5	0.694	0.664	4	86
JBIPMC_04095	DFI-266	779	882	UG9__DNA_pol	4.3e-37	125.6	0.754	0.469	457	870
JBIPMC_04360	DFI-266	831	732	Gabija__GajB_3	5.2e-10	36.5	0.596	0.301	496	715
JBIPMC_04365	DFI-266	832	256	Gao_Qat__QatD	2.7e-13	47.3	0.941	0.969	4	251
JBIPMC_05380	DFI-266	1015	583	HEC-05__HEC-05	1.8e-252	838.8	0.533	0.99	5	581
JBIPMC_05460	DFI-266	1030	1264	Gabija__GajB_2	1.2e-58	196.6	0.777	0.752	13	962
