#Annotated with Bakta v1.9.4, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	81188	81493	+	PMCJLP_00370	12.3	6.6		RefSeq:WP_002356099.1, SO:0001217, UniParc:UPI00017A5C12, UniRef:UniRef100_A0A3N3GBV0, UniRef:UniRef50_R3JMI1, UniRef:UniRef90_S4CFQ0
contig_1	81509	81769	+	PMCJLP_00375	9.8	9.9		RefSeq:WP_002391363.1, SO:0001217, UniParc:UPI00017A5C13, UniRef:UniRef100_A0A3N3KD89, UniRef:UniRef50_A0A931AY81, UniRef:UniRef90_S4FLP3
contig_1	83322	83501	+	PMCJLP_00385	6.9	4.6		RefSeq:WP_002381345.1, SO:0001217, UniParc:UPI000005BCC6, UniRef:UniRef100_A0A640NC82, UniRef:UniRef50_A0A640NC82, UniRef:UniRef90_A0A640NC82
contig_1	128379	128474	-	PMCJLP_00555	3.7	10.3		
contig_1	129799	130131	-	PMCJLP_00565	12.9	9.6		RefSeq:WP_002385442.1, SO:0001217, UniParc:UPI00019F3428, UniRef:UniRef100_UPI00019F3428, UniRef:UniRef50_UPI00019F3428, UniRef:UniRef90_UPI00019F3428
contig_1	132361	132756	-	PMCJLP_00580	15.2	4.7		RefSeq:WP_002391748.1, SO:0001217, UniParc:UPI0001D0CE25, UniRef:UniRef100_A0A125W748, UniRef:UniRef50_A0A125W748, UniRef:UniRef90_A0A125W748
contig_1	133057	133161	-	PMCJLP_00585	4.0	11.8		
contig_1	136627	138057	+	PMCJLP_00605	55.5	5.1		RefSeq:WP_002412927.1, SO:0001217, UniParc:UPI000207955A, UniRef:UniRef100_UPI000207955A, UniRef:UniRef50_UPI00157306F5, UniRef:UniRef90_UPI00157306F5
contig_1	249886	250023	+	PMCJLP_01320	4.9	7.7		RefSeq:WP_002355203.1, SO:0001217, UniParc:UPI00019F6D6D, UniRef:UniRef100_A0A1J6XW10, UniRef:UniRef50_A0A1J6XW10, UniRef:UniRef90_A0A1J6XW10
contig_1	385203	385313	+	PMCJLP_01955	4.0	6.5		SO:0001217, UniParc:UPI00032D9511, UniRef:UniRef100_A0A9P2X7I3, UniRef:UniRef50_A0A9P2X7I3, UniRef:UniRef90_A0A9P2X7I3
contig_1	386945	387052	+	PMCJLP_01965	4.3	5.7		SO:0001217, UniParc:UPI00032E1B02, UniRef:UniRef100_A0A0M2AFJ1, UniRef:UniRef50_A0A0M2AFJ1, UniRef:UniRef90_A0A0M2AFJ1
contig_1	407980	408285	+	PMCJLP_02085	11.2	5.3		RefSeq:WP_002364917.1, SO:0001217, UniParc:UPI00019F33F4, UniRef:UniRef100_A0A1X2NVQ0, UniRef:UniRef50_A0A7X9RIJ6, UniRef:UniRef90_A0A7X9RIJ6
contig_1	408279	408806	+	PMCJLP_02090	20.6	4.9		RefSeq:WP_002363048.1, SO:0001217, UniParc:UPI00019F33F5, UniRef:UniRef100_A0A6I1LXS7, UniRef:UniRef50_A0A7X9RL06, UniRef:UniRef90_A0A6I1LXS7
contig_1	409401	409643	+	PMCJLP_02100	9.6	6.3		RefSeq:WP_002363049.1, SO:0001217, UniParc:UPI00019F33F7, UniRef:UniRef100_A0A9P2MG94, UniRef:UniRef50_A0A125W6W1, UniRef:UniRef90_A0A9P2MG94
