system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
4,contig_1,PDC-S60,contig_1_122,PDLC05050,PDC-S60_WP_195634762.1,PDC-S60,9.899999999999999e-84,1.2999999999999997e-83,0.959,0.702,135322,137349,+,-,122,2707,"PDLC05050,PDC-S60_WP_195634762.1, 1, 1.3e-83, 0.959, 0.702","PDLC05050, PDC-S60_WP_195634762.1, 1.3e-83, 0.959, 0.702"
7,contig_1,gabija,contig_1_124,PDLC00072,GajA_00012,GajA,5.999999999999997e-245,6.899999999999997e-245,0.977,0.994,139083,141272,+,-,124,2707,"PDLC00070,GajA_00010, 1, 1.3e-17, 0.119, 0.146 | PDLC00070,GajA_00010, 2, 1.1e-69, 0.604, 0.747 | PDLC00064,GajA_00004, 1, 6.8e-54, 0.564, 0.95 | PDLC00065,GajA_00005, 1, 8.8e-39, 0.766, 0.822 | PDLC00071,GajA_00011, 1, 1.2e-12, 0.122, 0.148 | PDLC00071,GajA_00011, 2, 4.8e-58, 0.61, 0.762 | PDLC00067,GajA_00007, 1, 1.4e-06, 0.116, 0.131 | PDLC00067,GajA_00007, 2, 1.9e-31, 0.544, 0.629 | PDLC00073,GajA_00013, 1, 2.5e-08, 0.121, 0.143 | PDLC00073,GajA_00013, 2, 3.3e-47, 0.601, 0.764 | PDLC00098,GajA_00038, 1, 3.8e-06, 0.067, 0.092 | PDLC00098,GajA_00038, 2, 1.9e-10, 0.247, 0.309 | PDLC00099,GajA_00039, 1, 1.1e-13, 0.122, 0.141 | PDLC00099,GajA_00039, 2, 8.7e-44, 0.603, 0.751 | PDLC00072,GajA_00012, 1, 6.9e-245, 0.977, 0.994 | PDLC00066,GajA_00006, 1, 6e-16, 0.134, 0.168 | PDLC00066,GajA_00006, 2, 3.9e-26, 0.437, 0.547 | PDLC00102,GajA_00042, 1, 1.2e-08, 0.068, 0.094 | PDLC00102,GajA_00042, 2, 8.3e-15, 0.577, 0.665 | PDLC00062,GajA_00002, 1, 7.5e-07, 0.133, 0.153 | PDLC00062,GajA_00002, 2, 2.7e-10, 0.278, 0.324 | PDLC00062,GajA_00002, 3, 0.00049, 0.119, 0.135 | PDLC00062,GajA_00002, 4, 300, 0.056, 0.064 | PDLC00076,GajA_00016, 1, 0.55, 0.067, 0.071 | PDLC00076,GajA_00016, 2, 6.7e-17, 0.508, 0.5 | PDLC00076,GajA_00016, 3, 380, 0.045, 0.049 | PDLC00089,GajA_00029, 1, 24, 0.171, 0.412 | PDLC00089,GajA_00029, 2, 2.7e-05, 0.078, 0.18 | PDLC00088,GajA_00028, 1, 1.1e-28, 0.355, 0.71 | PDLC00077,GajA_00017, 1, 3.8e-13, 0.089, 0.109 | PDLC00077,GajA_00017, 2, 5.1e-42, 0.603, 0.69 | PDLC00063,GajA_00003, 1, 8e-31, 0.759, 0.825 | PDLC00101,GajA_00041, 1, 0.00064, 0.066, 0.076 | PDLC00101,GajA_00041, 2, 1.9e-30, 0.43, 0.479 | PDLC00101,GajA_00041, 3, 9.9, 0.052, 0.063 | PDLC00075,GajA_00015, 1, 0.071, 0.105, 0.131 | PDLC00075,GajA_00015, 2, 4.8e-15, 0.416, 0.528 | PDLC00075,GajA_00015, 3, 300, 0.058, 0.076 | PDLC00061,GajA_00001, 1, 1.3e-07, 0.11, 0.123 | PDLC00061,GajA_00001, 2, 5.7e-10, 0.41, 0.482 | PDLC00074,GajA_00014, 1, 1.4e-12, 0.236, 0.342 | PDLC00100,GajA_00040, 1, 5.7e-05, 0.062, 0.073 | PDLC00100,GajA_00040, 2, 5.9e-09, 0.233, 0.27 | PDLC00100,GajA_00040, 3, 1.2e-10, 0.285, 0.338 | PDLC00079,GajA_00019, 1, 1.8e-24, 0.782, 0.822 | PDLC00092,GajA_00032, 1, 2.6e-10, 0.114, 0.141 | PDLC00092,GajA_00032, 2, 1.8e-57, 0.619, 0.737 | PDLC00086,GajA_00026, 1, 2.8e-05, 0.121, 0.148 | PDLC00086,GajA_00026, 2, 3.5e-10, 0.363, 0.428 | PDLC00087,GajA_00027, 1, 4.8e-06, 0.097, 0.322 | PDLC00093,GajA_00033, 1, 6.7e-08, 0.07, 0.069 | PDLC00093,GajA_00033, 2, 1e-30, 0.325, 0.342 | PDLC00093,GajA_00033, 3, 17, 0.071, 0.072 | PDLC00078,GajA_00018, 1, 2.1e-08, 0.126, 0.153 | PDLC00078,GajA_00018, 2, 2.9e-14, 0.437, 0.517 | PDLC00078,GajA_00018, 3, 560, 0.081, 0.103 | PDLC04168,GajA_WP_183617960.1, 1, 1.9e-08, 0.089, 0.111 | PDLC04168,GajA_WP_183617960.1, 2, 220, 0.067, 0.086 | PDLC04168,GajA_WP_183617960.1, 3, 0.00063, 0.419, 0.491 | PDLC00085,GajA_00025, 1, 8e-09, 0.071, 0.09 | PDLC00085,GajA_00025, 2, 26, 0.133, 0.159 | PDLC00085,GajA_00025, 3, 8.4e-06, 0.442, 0.548 | PDLC00091,GajA_00031, 1, 1.5e-14, 0.121, 0.142 | PDLC00091,GajA_00031, 2, 7e-55, 0.608, 0.774 | PDLC00090,GajA_00030, 1, 2.1e-09, 0.114, 0.126 | PDLC00090,GajA_00030, 2, 8.1e-18, 0.404, 0.464 | PDLC00080,GajA_00020, 1, 1e-14, 0.141, 0.17 | PDLC00080,GajA_00020, 2, 2.2e-45, 0.471, 0.551 | PDLC00094,GajA_00034, 1, 1.2e-09, 0.133, 0.172 | PDLC00094,GajA_00034, 2, 2.8, 0.14, 0.178 | PDLC00094,GajA_00034, 3, 1.4e-12, 0.345, 0.408 | PDLC00095,GajA_00035, 1, 2.5e-07, 0.071, 0.069 | PDLC00095,GajA_00035, 2, 3.2e-26, 0.293, 0.303 | PDLC00095,GajA_00035, 3, 20, 0.081, 0.081 | PDLC00081,GajA_00021, 1, 9.4e-13, 0.134, 0.162 | PDLC00081,GajA_00021, 2, 1.5e-19, 0.451, 0.533 | PDLC00068,GajA_00008, 1, 300, 0.088, 0.117 | PDLC00068,GajA_00008, 2, 1.1e-21, 0.277, 0.389 | PDLC00097,GajA_00037, 1, 0.007, 0.127, 0.15 | PDLC00097,GajA_00037, 2, 1.1e-05, 0.399, 0.467 | PDLC00083,GajA_00023, 1, 1.4e-09, 0.121, 0.147 | PDLC00083,GajA_00023, 2, 1.3e-40, 0.612, 0.776 | PDLC00082,GajA_00022, 1, 7.9e-06, 0.262, 0.256 | PDLC00082,GajA_00022, 2, 4.3e-24, 0.39, 0.393 | PDLC00096,GajA_00036, 1, 1.2e-13, 0.121, 0.14 | PDLC00096,GajA_00036, 2, 3.2e-51, 0.611, 0.76 | PDLC00069,GajA_00009, 1, 1.2e-16, 0.125, 0.132 | PDLC00069,GajA_00009, 2, 1.8e-41, 0.505, 0.556 | PDLC00069,GajA_00009, 3, 0.17, 0.092, 0.112","PDLC00072, GajA_00012, 6.9e-245, 0.977, 0.994 | PDLC00070, GajA_00010, 1.1e-69, 0.604, 0.747 | PDLC00071, GajA_00011, 4.8e-58, 0.61, 0.762 | PDLC00092, GajA_00032, 1.8e-57, 0.619, 0.737 | PDLC00091, GajA_00031, 7e-55, 0.608, 0.774"
7,contig_1,gabija,contig_1_125,PDLC00133,GajB_00031,GajB,1.7999999999999988e-234,3.099999999999998e-234,0.669,0.997,141269,143062,+,-,125,2707,"PDLC00149,GajB_00047, 1, 1e-18, 0.45, 0.475 | PDLC00149,GajB_00047, 2, 2.7, 0.099, 0.102 | PDLC00148,GajB_00046, 1, 1.4e-14, 0.448, 0.656 | PDLC00148,GajB_00046, 2, 130, 0.095, 0.144 | PDLC00104,GajB_00002, 1, 6.9e-16, 0.584, 0.547 | PDLC00104,GajB_00002, 2, 5.5e-06, 0.119, 0.118 | PDLC00110,GajB_00008, 1, 3.1e-05, 0.139, 0.116 | PDLC00110,GajB_00008, 2, 0.00017, 0.204, 0.172 | PDLC00110,GajB_00008, 3, 18, 0.032, 0.026 | PDLC00138,GajB_00036, 1, 4.2e-32, 0.928, 0.962 | PDLC00139,GajB_00037, 1, 6.2e-14, 0.411, 0.401 | PDLC00111,GajB_00009, 1, 2.6e-16, 0.475, 0.437 | PDLC00111,GajB_00009, 2, 5.9, 0.054, 0.053 | PDLC00111,GajB_00009, 3, 0.0019, 0.04, 0.038 | PDLC00105,GajB_00003, 1, 1.7e-25, 0.41, 0.393 | PDLC00113,GajB_00011, 1, 3.3e-10, 0.222, 0.225 | PDLC00113,GajB_00011, 2, 2.5e-06, 0.216, 0.218 | PDLC00113,GajB_00011, 3, 1.2e-05, 0.099, 0.117 | PDLC00107,GajB_00005, 1, 1.3e-28, 0.923, 0.91 | PDLC00106,GajB_00004, 1, 1.3e-13, 0.557, 0.582 | PDLC00106,GajB_00004, 2, 1.2, 0.142, 0.139 | PDLC00112,GajB_00010, 1, 4.7e-31, 0.495, 0.527 | PDLC00112,GajB_00010, 2, 0.00077, 0.105, 0.108 | PDLC00116,GajB_00014, 1, 1.4e-06, 0.159, 0.171 | PDLC00116,GajB_00014, 2, 1.8e-23, 0.659, 0.693 | PDLC00103,GajB_00001, 1, 3.9e-40, 0.93, 0.91 | PDLC00117,GajB_00015, 1, 7.5e-73, 0.953, 0.945 | PDLC04173,GajB_WP_172889455.1, 1, 0.00017, 0.127, 0.149 | PDLC04173,GajB_WP_172889455.1, 2, 3.3e-05, 0.145, 0.172 | PDLC04173,GajB_WP_172889455.1, 3, 380, 0.032, 0.04 | PDLC04171,GajB_WP_046787950.1, 1, 5.1, 0.119, 0.166 | PDLC04171,GajB_WP_046787950.1, 2, 0.00028, 0.134, 0.194 | PDLC00129,GajB_00027, 1, 7.1e-32, 0.533, 0.566 | PDLC00129,GajB_00027, 2, 4e-07, 0.166, 0.167 | PDLC00115,GajB_00013, 1, 0.00052, 0.157, 0.179 | PDLC00115,GajB_00013, 2, 1.7e-08, 0.124, 0.147 | PDLC00114,GajB_00012, 1, 2.2e-32, 0.423, 0.422 | PDLC00114,GajB_00012, 2, 0.00043, 0.109, 0.104 | PDLC00128,GajB_00026, 1, 1.6e-11, 0.135, 0.117 | PDLC00128,GajB_00026, 2, 3.7e-07, 0.742, 0.695 | PDLC00125,GajB_00023, 1, 3.3e-12, 0.206, 0.169 | PDLC00125,GajB_00023, 2, 1e-05, 0.259, 0.218 | PDLC00125,GajB_00023, 3, 0.0024, 0.201, 0.176 | PDLC00131,GajB_00029, 1, 1e-12, 0.199, 0.184 | PDLC00131,GajB_00029, 2, 1e-09, 0.753, 0.702 | PDLC00119,GajB_00017, 1, 2.2e-27, 0.455, 0.513 | PDLC00119,GajB_00017, 2, 9e-06, 0.102, 0.101 | PDLC00118,GajB_00016, 1, 4.2e-30, 0.905, 0.922 | PDLC00130,GajB_00028, 1, 1.1e-47, 0.582, 0.601 | PDLC00130,GajB_00028, 2, 1.6e-09, 0.129, 0.126 | PDLC00132,GajB_00030, 1, 7.5e-25, 0.186, 0.171 | PDLC00132,GajB_00030, 2, 7.6e-29, 0.753, 0.754 | PDLC00126,GajB_00024, 1, 1.9e-24, 0.587, 0.601 | PDLC00127,GajB_00025, 1, 2.8e-202, 0.985, 0.99 | PDLC00133,GajB_00031, 1, 3.1e-234, 0.669, 0.997 | PDLC00137,GajB_00035, 1, 9.5e-11, 0.137, 0.119 | PDLC00137,GajB_00035, 2, 0.016, 0.306, 0.259 | PDLC00137,GajB_00035, 3, 3.3e-05, 0.109, 0.109 | PDLC00123,GajB_00021, 1, 3.2e-46, 0.931, 0.928 | PDLC00122,GajB_00020, 1, 3.6e-35, 0.941, 0.94 | PDLC00136,GajB_00034, 1, 8.8e-22, 0.483, 0.516 | PDLC00136,GajB_00034, 2, 0.00063, 0.12, 0.123 | PDLC00108,GajB_00006, 1, 2.9e-07, 0.207, 0.272 | PDLC00108,GajB_00006, 2, 7.8e-07, 0.11, 0.139 | PDLC00120,GajB_00018, 1, 1.1e-16, 0.505, 0.587 | PDLC00120,GajB_00018, 2, 1.1, 0.229, 0.284 | PDLC00134,GajB_00032, 1, 6.2e-28, 0.564, 0.798 | PDLC00135,GajB_00033, 1, 2.7e-25, 0.45, 0.388 | PDLC00135,GajB_00033, 2, 1.4e-08, 0.145, 0.153 | PDLC00121,GajB_00019, 1, 8.6e-18, 0.452, 0.476 | PDLC00121,GajB_00019, 2, 5.6e-06, 0.147, 0.152 | PDLC00109,GajB_00007, 1, 2.3e-18, 0.446, 0.386 | PDLC00109,GajB_00007, 2, 5.7e-05, 0.207, 0.198 | PDLC00146,GajB_00044, 1, 4.7e-09, 0.237, 0.213 | PDLC00146,GajB_00044, 2, 6.8e-10, 0.264, 0.237 | PDLC00146,GajB_00044, 3, 27, 0.077, 0.068 | PDLC00147,GajB_00045, 1, 2.9e-24, 0.4, 0.392 | PDLC00145,GajB_00043, 1, 0.0045, 0.1, 0.107 | PDLC00145,GajB_00043, 2, 0.00012, 0.264, 0.26 | PDLC00145,GajB_00043, 3, 0.93, 0.122, 0.115 | PDLC00144,GajB_00042, 1, 1.8e-05, 0.204, 0.224 | PDLC00144,GajB_00042, 2, 3.6e-09, 0.142, 0.156 | PDLC00144,GajB_00042, 3, 0.073, 0.147, 0.141 | PDLC00140,GajB_00038, 1, 1.2e-12, 0.416, 0.567 | PDLC00140,GajB_00038, 2, 280, 0.085, 0.126 | PDLC00141,GajB_00039, 1, 2.3e-09, 0.403, 0.365 | PDLC00141,GajB_00039, 2, 0.013, 0.114, 0.114 | PDLC00143,GajB_00041, 1, 3.3e-15, 0.443, 0.4 | PDLC00143,GajB_00041, 2, 0.0032, 0.047, 0.044 | PDLC00142,GajB_00040, 1, 2.4e-07, 0.104, 0.11 | PDLC00142,GajB_00040, 2, 9.5e-12, 0.187, 0.184 | PDLC00142,GajB_00040, 3, 0.0056, 0.132, 0.134","PDLC00133, GajB_00031, 3.1e-234, 0.669, 0.997 | PDLC00127, GajB_00025, 2.8e-202, 0.985, 0.99 | PDLC00117, GajB_00015, 7.5e-73, 0.953, 0.945 | PDLC00130, GajB_00028, 1.1e-47, 0.582, 0.601 | PDLC00123, GajB_00021, 3.2e-46, 0.931, 0.928"
5,contig_1,RosmerTA,contig_1_256,PDLC03940,RosmerTA__RmrT_2677172838,RmrT,2.7e-23,7e-23,0.802,0.784,271931,272596,+,-,256,2707,"PDLC03938,RosmerTA__RmrT_2664250653, 1, 2.5e-14, 0.847, 0.823 | PDLC03940,RosmerTA__RmrT_2677172838, 1, 7e-23, 0.802, 0.784 | PDLC03937,RosmerTA__RmrT_2662548665, 1, 0.026, 0.414, 0.398 | PDLC03934,RosmerTA__RmrT_2634882613, 1, 9.8e-08, 0.743, 0.778 | PDLC03933,RosmerTA__RmrT_2623274509, 1, 3.8e-22, 0.838, 0.835","PDLC03940, RosmerTA__RmrT_2677172838, 7e-23, 0.802, 0.784 | PDLC03933, RosmerTA__RmrT_2623274509, 3.8e-22, 0.838, 0.835 | PDLC03938, RosmerTA__RmrT_2664250653, 2.5e-14, 0.847, 0.823 | PDLC03934, RosmerTA__RmrT_2634882613, 9.8e-08, 0.743, 0.778 | PDLC03937, RosmerTA__RmrT_2662548665, 0.026, 0.414, 0.398"
5,contig_1,RosmerTA,contig_1_257,PDLC03947,RosmerTA__RmrA_2623274509,RmrA,5.4e-110,6.299999999999999e-110,0.934,0.927,272574,273713,+,-,257,2707,"PDLC03948,RosmerTA__RmrA_2634882613, 1, 5.6e-97, 0.971, 0.937 | PDLC03949,RosmerTA__RmrA_2634932349, 1, 2.3e-67, 0.934, 0.926 | PDLC03955,RosmerTA__RmrA_2734955840, 1, 2.9e-57, 0.934, 0.922 | PDLC03954,RosmerTA__RmrA_2677172838, 1, 3.6e-106, 0.971, 0.974 | PDLC03956,RosmerTA__RmrA_2753529055, 1, 1.8e-73, 0.932, 0.887 | PDLC03943,RosmerTA__RmrA_2585209417, 1, 5.5e-52, 0.947, 0.949 | PDLC03953,RosmerTA__RmrA_2676476075, 1, 2.7e-40, 0.845, 0.853 | PDLC03947,RosmerTA__RmrA_2623274509, 1, 6.3e-110, 0.934, 0.927 | PDLC03946,RosmerTA__RmrA_2617826694, 1, 7.4e-49, 0.95, 0.964 | PDLC03952,RosmerTA__RmrA_2664250653, 1, 9.3e-94, 0.955, 0.927 | PDLC03944,RosmerTA__RmrA_2600853143, 1, 7.1e-99, 0.945, 0.943 | PDLC03950,RosmerTA__RmrA_2641389401, 1, 3.4e-37, 0.934, 0.949 | PDLC03951,RosmerTA__RmrA_2662548665, 1, 6.6e-93, 0.924, 0.873 | PDLC03945,RosmerTA__RmrA_2603008502, 1, 4.7e-66, 0.924, 0.921","PDLC03947, RosmerTA__RmrA_2623274509, 6.3e-110, 0.934, 0.927 | PDLC03954, RosmerTA__RmrA_2677172838, 3.6e-106, 0.971, 0.974 | PDLC03944, RosmerTA__RmrA_2600853143, 7.1e-99, 0.945, 0.943 | PDLC03948, RosmerTA__RmrA_2634882613, 5.6e-97, 0.971, 0.937 | PDLC03952, RosmerTA__RmrA_2664250653, 9.3e-94, 0.955, 0.927"
3,contig_1,PDC-S07,contig_1_300,PDLC04899,PDC-S07_WP_110056698.1,PDC-S07,2.1999999999999997e-54,2.5999999999999997e-54,0.928,0.948,329455,329871,+,-,300,2707,"PDLC04899,PDC-S07_WP_110056698.1, 1, 2.6e-54, 0.928, 0.948","PDLC04899, PDC-S07_WP_110056698.1, 2.6e-54, 0.928, 0.948"
1,contig_1,PD-T4-6,contig_1_388,PDLC04040,PD-T4-6_WP_011718859.1,PD-T4-6,1.6999999999999996e-136,7.199999999999998e-113,0.702,0.931,422017,424173,+,-,388,2707,"PDLC04063,PD-T4-6_WP_222213733.1, 1, 3e-28, 0.37, 0.488 | PDLC04062,PD-T4-6_WP_214431164.1, 1, 4.3e-41, 0.367, 0.587 | PDLC04060,PD-T4-6_WP_203635815.1, 1, 3.6e-118, 0.467, 0.702 | PDLC04060,PD-T4-6_WP_203635815.1, 2, 1.3e-10, 0.111, 0.163 | PDLC04060,PD-T4-6_WP_203635815.1, 3, 2.1e-07, 0.089, 0.126 | PDLC04060,PD-T4-6_WP_203635815.1, 4, 7.8e-05, 0.106, 0.15 | PDLC04060,PD-T4-6_WP_203635815.1, 5, 6.5e-05, 0.057, 0.082 | PDLC04060,PD-T4-6_WP_203635815.1, 6, 4e-04, 0.097, 0.148 | PDLC04048,PD-T4-6_WP_144078097.1, 1, 2.7e-142, 0.419, 0.853 | PDLC04048,PD-T4-6_WP_144078097.1, 2, 760, 0.046, 0.093 | PDLC04049,PD-T4-6_WP_145059686.1, 1, 9.9e-29, 0.376, 0.627 | PDLC04061,PD-T4-6_WP_205119068.1, 1, 8.9e-107, 0.567, 0.822 | PDLC04059,PD-T4-6_WP_187294376.1, 1, 6.2e-28, 0.356, 0.612 | PDLC04064,PD-T4-6_WP_224370629.1, 1, 8.5e-62, 0.378, 0.737 | PDLC04058,PD-T4-6_WP_170252675.1, 1, 9.6e-27, 0.367, 0.596 | PDLC04039,PD-T4-6_WP_009677753.1, 1, 9e-85, 0.376, 0.587 | PDLC04056,PD-T4-6_WP_158110440.1, 1, 2.3e-29, 0.281, 0.496 | PDLC04042,PD-T4-6_WP_036366335.1, 1, 3.1e-98, 0.374, 0.928 | PDLC04043,PD-T4-6_WP_067834564.1, 1, 2.9e-96, 0.572, 0.843 | PDLC04057,PD-T4-6_WP_160801532.1, 1, 1.8e-121, 0.581, 0.964 | PDLC04041,PD-T4-6_WP_012633303.1, 1, 3.1e-70, 0.529, 0.727 | PDLC04055,PD-T4-6_WP_157606249.1, 1, 5.2e-53, 0.367, 0.54 | PDLC04054,PD-T4-6_WP_157521248.1, 1, 3.9e-86, 0.423, 0.873 | PDLC04040,PD-T4-6_WP_011718859.1, 1, 7.2e-113, 0.702, 0.931 | PDLC04040,PD-T4-6_WP_011718859.1, 2, 4.2e-13, 0.134, 0.168 | PDLC04040,PD-T4-6_WP_011718859.1, 3, 2.4e-15, 0.17, 0.219 | PDLC04044,PD-T4-6_WP_083882641.1, 1, 7.6e-49, 0.374, 0.72 | PDLC04044,PD-T4-6_WP_083882641.1, 2, 480, 0.065, 0.126 | PDLC04050,PD-T4-6_WP_146515207.1, 1, 1.1e-60, 0.36, 0.544 | PDLC04051,PD-T4-6_WP_148765916.1, 1, 2.6e-34, 0.363, 0.55 | PDLC04045,PD-T4-6_WP_086836475.1, 1, 5.6e-41, 0.378, 0.789 | PDLC04045,PD-T4-6_WP_086836475.1, 2, 230, 0.06, 0.123 | PDLC04053,PD-T4-6_WP_157124873.1, 1, 5.6e-94, 0.382, 0.887 | PDLC04047,PD-T4-6_WP_139553373.1, 1, 1.5e-117, 0.389, 0.859 | PDLC04047,PD-T4-6_WP_139553373.1, 2, 430, 0.108, 0.226 | PDLC04046,PD-T4-6_WP_113935400.1, 1, 1.4e-28, 0.362, 0.63 | PDLC04052,PD-T4-6_WP_153359500.1, 1, 1.6e-109, 0.683, 0.98 | PDLC04052,PD-T4-6_WP_153359500.1, 2, 2.4e-06, 0.203, 0.29 | PDLC04052,PD-T4-6_WP_153359500.1, 3, 0.052, 0.103, 0.153","PDLC04048, PD-T4-6_WP_144078097.1, 2.7e-142, 0.419, 0.853 | PDLC04057, PD-T4-6_WP_160801532.1, 1.8e-121, 0.581, 0.964 | PDLC04060, PD-T4-6_WP_203635815.1, 3.6e-118, 0.467, 0.702 | PDLC04047, PD-T4-6_WP_139553373.1, 1.5e-117, 0.389, 0.859 | PDLC04040, PD-T4-6_WP_011718859.1, 7.2e-113, 0.702, 0.931"
2,contig_1,PDC-M11,contig_1_925,PDLC04419,PDC-M11A_WP_212116594.1,PDC-M11A,3.199999999999999e-96,3.499999999999999e-96,0.983,0.983,982415,983485,+,-,925,2707,"PDLC04417,PDC-M11A_WP_159258439.1, 1, 2.3e-27, 0.846, 0.597 | PDLC04419,PDC-M11A_WP_212116594.1, 1, 3.5e-96, 0.983, 0.983 | PDLC04418,PDC-M11A_WP_228112898.1, 1, 3.5e-41, 0.711, 0.581 | PDLC04422,PDC-M11A_WP_152418366.1, 1, 8.9e-88, 0.986, 0.705 | PDLC04420,PDC-M11A_WP_172813223.1, 1, 8.6e-36, 0.79, 0.742 | PDLC04421,PDC-M11A_WP_131403596.1, 1, 1.8e-45, 0.798, 0.568","PDLC04419, PDC-M11A_WP_212116594.1, 3.5e-96, 0.983, 0.983 | PDLC04422, PDC-M11A_WP_152418366.1, 8.9e-88, 0.986, 0.705 | PDLC04421, PDC-M11A_WP_131403596.1, 1.8e-45, 0.798, 0.568 | PDLC04418, PDC-M11A_WP_228112898.1, 3.5e-41, 0.711, 0.581 | PDLC04420, PDC-M11A_WP_172813223.1, 8.6e-36, 0.79, 0.742"
2,contig_1,PDC-M11,contig_1_926,PDLC04425,PDC-M11B_WP_204471233.1,PDC-M11B,4e-45,4.4e-45,0.967,0.909,983513,983881,+,-,926,2707,"PDLC04425,PDC-M11B_WP_204471233.1, 1, 4.4e-45, 0.967, 0.909 | PDLC04424,PDC-M11B_WP_106935726.1, 1, 1.6e-37, 0.967, 0.845 | PDLC04423,PDC-M11B_WP_204927000.1, 1, 3.8e-19, 0.943, 0.713","PDLC04425, PDC-M11B_WP_204471233.1, 4.4e-45, 0.967, 0.909 | PDLC04424, PDC-M11B_WP_106935726.1, 1.6e-37, 0.967, 0.845 | PDLC04423, PDC-M11B_WP_204927000.1, 3.8e-19, 0.943, 0.713"
6,contig_1,cas_type_II-A,contig_1_2353,PDLC01371,cd09758,Csn2,4.799999999999999e-107,5.399999999999999e-107,0.982,0.991,2474943,2475602,-,-,2353,2707,"PDLC02148,Csn2_WP_012290143.1, 1, 1e-11, 0.918, 0.921 | PDLC01257,cd09644, 1, 2.4e-29, 0.959, 0.982 | PDLC01180,icity0117, 1, 2.8e-07, 0.895, 0.865 | PDLC01023,cas_Csn2, 1, 1.3e-49, 0.945, 0.973 | PDLC02138,Csn2_WP_178467070.1, 1, 1e-10, 0.909, 0.89 | PDLC01380,cd12218, 1, 2.6e-13, 0.891, 0.895 | PDLC02139,Csn2_WP_057888294.1, 1, 7.5e-11, 0.668, 0.627 | PDLC02134,Csn2_WP_004694488.1, 1, 4.8e-09, 0.873, 0.857 | PDLC02121,Csn2_WP_159082072.1, 1, 6.7e-97, 0.982, 0.991 | PDLC02137,Csn2_WP_092874919.1, 1, 6.9e-16, 0.955, 0.977 | PDLC02123,Csn2_WP_164905698.1, 1, 4e-07, 0.868, 0.856 | PDLC01371,cd09758, 1, 5.4e-107, 0.982, 0.991 | PDLC02132,Csn2_WP_007147955.1, 1, 1.2e-07, 0.859, 0.855 | PDLC02127,Csn2_WP_092199373.1, 1, 2.3e-15, 0.932, 0.938 | PDLC02119,Csn2_WP_115483433.1, 1, 4.5e-30, 0.959, 0.982 | PDLC02131,Csn2_WP_060929450.1, 1, 3.5e-21, 0.891, 0.9 | PDLC02124,Csn2_WP_017261328.1, 1, 5.2e-10, 0.868, 0.86 | PDLC02143,Csn2_WP_120472926.1, 1, 2.3e-12, 0.741, 0.718 | PDLC01648,pfam09711, 1, 1e-61, 0.791, 0.989 | PDLC02140,Csn2_WP_154580455.1, 1, 2.2e-08, 0.895, 0.906 | PDLC02141,Csn2_WP_150280658.1, 1, 5.5e-14, 0.891, 0.877 | PDLC02144,Csn2_WP_117838586.1, 1, 6.6e-08, 0.905, 0.905 | PDLC02146,Csn2_WP_129637367.1, 1, 5.2e-09, 0.727, 0.697 | PDLC02147,Csn2_WP_022791452.1, 1, 1.1e-07, 0.877, 0.842","PDLC01371, cd09758, 5.4e-107, 0.982, 0.991 | PDLC02121, Csn2_WP_159082072.1, 6.7e-97, 0.982, 0.991 | PDLC01648, pfam09711, 1e-61, 0.791, 0.989 | PDLC01023, cas_Csn2, 1.3e-49, 0.945, 0.973 | PDLC02119, Csn2_WP_115483433.1, 4.5e-30, 0.959, 0.982"
