replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
EF-W6	LOEDCI_00605	AbiD__AbiD	119	defense-finder-models/DefenseFinder/AbiD/AbiD	EF-W6_AbiD_1	1	1	1.0	1.0	1	AbiD__AbiD	mandatory	324	8.2e-50	167.3	0.709	0.769	2	250			AbiD	AbiD	Defense
EF-W6	LOEDCI_08645	AbiJ__AbiJ	1664	defense-finder-models/DefenseFinder/AbiJ/AbiJ	EF-W6_AbiJ_3	1	1	1.0	1.0	1	AbiJ__AbiJ	mandatory	276	3.2000000000000003e-27	93.0	0.47	0.525	124	268			AbiJ	AbiJ	Defense
EF-W6	LOEDCI_08995	SpbK__SpbK	1733	defense-finder-models/DefenseFinder/SpbK/SpbK	EF-W6_SpbK_4	1	1	1.0	1.0	1	SpbK__SpbK	mandatory	274	9.8e-48	160.8	0.448	0.613	3	170			SpbK	SpbK	Defense
EF-W6	LOEDCI_09600	AbiD__AbiD	1850	defense-finder-models/DefenseFinder/AbiD/AbiD	EF-W6_AbiD_2	1	1	1.0	1.0	1	AbiD__AbiD	mandatory	322	8.6e-54	180.4	0.885	0.916	6	300			AbiD	AbiD	Defense
EF-W6	LOEDCI_10775	RM__Type_I_REases_FAM_0.einsi_trimmed	2081	defense-finder-models/RM/RM/RM_Type_I	EF-W6_RM_Type_I_7	1	1	0.667	2.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1049	1.6e-177	590.2	0.758	0.823	5	867		EF-W6_PrrC_5	RM	RM_Type_I	Defense
EF-W6	LOEDCI_10780	RM__Type_I_S_51	2082	defense-finder-models/RM/RM/RM_Type_I	EF-W6_RM_Type_I_7	1	1	0.667	2.0	1	RM__Type_I_S_01	mandatory	186	3.5000000000000005e-22	75.8	0.406	0.946	10	185		EF-W6_PrrC_5	RM	RM_Type_I	Defense
EF-W6	LOEDCI_13290	RM__Type_I_S_51	2576	defense-finder-models/RM/RM/RM_Type_I	EF-W6_RM_Type_I_8	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	415	5.9e-52	174.0	0.8	0.969	13	414		EF-W6_PrrC_6	RM	RM_Type_I	Defense
EF-W6	LOEDCI_13300	RM__Type_I_S_51	2578	defense-finder-models/RM/RM/RM_Type_I	EF-W6_RM_Type_I_8	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	397	1.7999999999999997e-55	185.6	0.808	0.99	4	396		EF-W6_PrrC_6	RM	RM_Type_I	Defense
EF-W6	LOEDCI_13305	RM__Type_I_MTases_FAM_0	2579	defense-finder-models/RM/RM/RM_Type_I	EF-W6_RM_Type_I_8	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	530	5e-156	517.9	0.982	0.96	5	513		EF-W6_PrrC_6	RM	RM_Type_I	Defense
EF-W6	LOEDCI_13310	RM__Type_I_REases_FAM_0.einsi_trimmed	2580	defense-finder-models/RM/RM/RM_Type_I	EF-W6_RM_Type_I_8	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	995	3.6e-226	751.2	0.984	0.998	2	994		EF-W6_PrrC_6	RM	RM_Type_I	Defense
