hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
PMCJLP_00165	EF-W2	33	311	WYL_I_II_III_IV_V_VI_4	1e-26	91.5	0.983	0.534	139	304
PMCJLP_00165	EF-W2	33	311	WYL_I_II_III_IV_V_VI_1	2.9999999999999997e-47	159.0	0.987	0.997	1	310
PMCJLP_00595	EF-W2	119	516	DS-8__DS-8	1.7e-142	473.5	0.49	0.996	2	515
PMCJLP_00605	EF-W2	121	476	DS-8__DS-8	1.1e-126	421.2	0.447	0.998	1	475
PMCJLP_01455	EF-W2	263	381	Dnd__DndA	3.6e-102	339.5	0.976	0.963	2	368
PMCJLP_02290	EF-W2	429	1014	RM__Type_I_REases_FAM_0.einsi_trimmed	1.8999999999999998e-68	229.0	0.661	0.706	115	830
PMCJLP_02290	EF-W2	429	1014	RM__Type_I_REases_FAM_1.einsi_trimmed	0.0	1102.1	0.979	0.974	2	989
PMCJLP_02630	EF-W2	497	481	DISARM__drmC	2.2e-17	60.8	0.747	0.395	258	447
PMCJLP_02845	EF-W2	538	1337	cas9_II-C_4	4.5e-82	274.0	0.961	0.996	2	1332
PMCJLP_02845	EF-W2	538	1337	cas9_II-A_1	1.6e-276	918.2	0.841	0.862	2	1154
PMCJLP_02845	EF-W2	538	1337	cas9_II-A_II-B_II-C_1	3.6999999999999996e-279	926.0	0.999	0.78	4	1046
PMCJLP_02845	EF-W2	538	1337	cas9_II-A_II-B_II-C_3	0.0	1102.3	0.998	0.999	1	1335
PMCJLP_02850	EF-W2	539	288	cas1_I_II_III_IV_V_VI_2	1.6e-23	80.6	0.946	0.781	7	231
PMCJLP_02850	EF-W2	539	288	cas1_I_II_III_IV_V_VI_10	8.399999999999999e-27	91.4	0.866	0.778	7	230
PMCJLP_02850	EF-W2	539	288	cas1_I_II_III_IV_V_VI_1	1.3e-48	163.1	0.795	0.806	4	235
PMCJLP_02850	EF-W2	539	288	cas1_I_II_III_IV_V_VI_8	6.9e-60	200.2	0.848	0.906	1	261
PMCJLP_02850	EF-W2	539	288	cas1_I_II_III_IV_V_VI_5	1.8e-97	323.1	0.996	0.934	3	271
PMCJLP_02855	EF-W2	540	109	cas2_I_II_III_IV_V_VI_13	6.1e-16	55.8	1.0	0.706	6	82
PMCJLP_02855	EF-W2	540	109	cas2_I_II_III_IV_V_VI_1	1.7e-27	93.0	0.989	0.872	6	100
PMCJLP_02855	EF-W2	540	109	cas2_I_II_III_IV_V_VI_11	5.900000000000001e-35	116.9	1.0	0.927	6	106
PMCJLP_02855	EF-W2	540	109	cas2_I_II_III_IV_V_VI_6	1.4000000000000001e-46	154.9	0.957	0.991	1	108
PMCJLP_02860	EF-W2	541	219	csn2_II-A_3	2.5000000000000002e-30	103.0	0.987	0.968	1	212
PMCJLP_02860	EF-W2	541	219	csn2_II-A_4	3.2e-107	354.5	1.0	0.995	1	218
PMCJLP_03030	EF-W2	575	746	Dodola__DolB	2.8e-23	80.0	0.528	0.277	387	593
PMCJLP_03095	EF-W2	588	752	Gabija__GajB_3	5.2e-17	59.4	0.663	0.382	27	313
PMCJLP_03095	EF-W2	588	752	Gabija__GajB_1	6.299999999999999e-41	138.0	0.921	0.809	15	622
PMCJLP_03095	EF-W2	588	752	UG35__UvrD	8.499999999999999e-103	342.3	0.53	0.576	11	443
PMCJLP_03095	EF-W2	588	752	Gabija__GajB_2	1.8e-112	374.2	0.774	0.876	4	662
