hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
PEDMFB_00165	EF-W12	33	311	WYL_I_II_III_IV_V_VI_4	1e-26	91.5	0.983	0.534	139	304
PEDMFB_00165	EF-W12	33	311	WYL_I_II_III_IV_V_VI_1	1.1e-46	157.2	0.987	0.997	1	310
PEDMFB_00540	EF-W12	108	720	Hachiman__HamB	3.7e-88	294.2	0.662	0.746	19	555
PEDMFB_00545	EF-W12	109	320	Hachiman__HamA_1	5.4e-27	92.4	0.81	0.866	38	314
PEDMFB_01300	EF-W12	231	467	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	4.3e-32	110.1	0.962	0.893	11	427
PEDMFB_01305	EF-W12	232	235	Lamassu-Fam__LmuC_acc_Cap4_nuclease	1.1e-13	49.4	0.945	0.949	1	223
PEDMFB_01315	EF-W12	234	640	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	6.8e-11	38.3	0.457	0.7	34	481
PEDMFB_01315	EF-W12	234	640	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	8.400000000000001e-46	154.6	0.758	0.977	8	632
PEDMFB_01430	EF-W12	257	381	Dnd__DndA	2.6000000000000003e-102	340.0	0.979	0.966	2	369
PEDMFB_01510	EF-W12	273	190	WYL_I_II_III_IV_V_VI_1	7.3e-39	131.5	0.594	0.989	1	188
PEDMFB_01575	EF-W12	286	1456	RM_Type_II__Type_II_MTases_FAM_30	5.3e-08	29.1	0.443	0.19	971	1246
PEDMFB_01575	EF-W12	286	1456	RM_Type_IIG__Type_IIG_2	6.899999999999999e-169	561.4	0.748	0.53	10	780
PEDMFB_01760	EF-W12	323	1192	Wadjet__JetC_I	6.7e-13	44.8	0.476	0.449	325	859
PEDMFB_01760	EF-W12	323	1192	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.6e-14	51.3	0.791	0.408	1	486
PEDMFB_01935	EF-W12	356	156	Veles__VlsC1	2.7e-36	122.3	0.966	0.962	3	152
PEDMFB_01935	EF-W12	356	156	Veles__VlsC2	1.7e-36	123.0	0.973	0.962	4	153
PEDMFB_03125	EF-W12	587	174	PD-T4-9__PD-T4-9_A	1.2e-07	29.0	0.727	0.776	10	144
PEDMFB_03135	EF-W12	589	149	PD-T4-9__PD-T4-9_C	7.8e-14	49.4	0.878	0.805	29	148
PEDMFB_03445	EF-W12	650	177	DEDDh_I_II_III_IV_V_VI_1	8.7e-38	127.4	0.988	0.87	5	158
PEDMFB_03645	EF-W12	690	1045	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	3.8e-13	46.7	0.773	0.471	5	496
PEDMFB_03645	EF-W12	690	1045	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.7e-15	53.6	0.799	0.757	16	806
PEDMFB_03785	EF-W12	718	869	recD_IV-D_1	4.1e-83	277.2	0.857	0.732	117	752
