replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
DFI-250	JEILEN_03065	cas9_II-A_II-B_II-C_3	578	CasFinder/CAS_Class2-Subtype-II-A	DFI-250_CAS_Class2-Subtype-II-A_7	1	1	1.0	4.0	1	cas9_II-A_II-B_II-C_3	accessory	1337	0.0	1103.0	0.998	0.999	1	1335		DFI-250_CAS_Class2-Type-II_8,DFI-250_CAS_Cluster_9	Cas	CAS_Class2-Subtype-II-A	Defense
DFI-250	JEILEN_03070	cas1_I_II_III_IV_V_VI_5	579	CasFinder/CAS_Class2-Subtype-II-A	DFI-250_CAS_Class2-Subtype-II-A_7	1	1	1.0	4.0	1	cas1_I_II_III_IV_V_VI_5	accessory	288	1.9999999999999998e-97	323.1	0.996	0.934	3	271		DFI-250_CAS_Class2-Type-II_8,DFI-250_CAS_Cluster_9	Cas	CAS_Class2-Subtype-II-A	Defense
DFI-250	JEILEN_03075	cas2_I_II_III_IV_V_VI_6	580	CasFinder/CAS_Class2-Subtype-II-A	DFI-250_CAS_Class2-Subtype-II-A_7	1	1	1.0	4.0	1	cas2_I_II_III_IV_V_VI_6	accessory	109	1.5e-46	154.9	0.957	0.991	1	108		DFI-250_CAS_Class2-Type-II_8,DFI-250_CAS_Cluster_9	Cas	CAS_Class2-Subtype-II-A	Defense
DFI-250	JEILEN_03080	csn2_II-A_4	581	CasFinder/CAS_Class2-Subtype-II-A	DFI-250_CAS_Class2-Subtype-II-A_7	1	1	1.0	4.0	1	csn2_II-A_4	mandatory	219	3.9e-107	354.3	1.0	0.995	1	218		DFI-250_CAS_Class2-Type-II_8,DFI-250_CAS_Cluster_9	Cas	CAS_Class2-Subtype-II-A	Defense
DFI-250	JEILEN_05315	HEC-05__HEC-05	1002	defense-finder-models/DefenseFinder/HEC-05/HEC-05	DFI-250_HEC-05_2	1	1	1.0	1.0	1	HEC-05__HEC-05	mandatory	583	1.8e-252	838.8	0.533	0.99	5	581			HEC-05	HEC-05	Defense
DFI-250	JEILEN_09740	AbiD__AbiD	1873	defense-finder-models/DefenseFinder/AbiD/AbiD	DFI-250_AbiD_1	1	1	1.0	1.0	1	AbiD__AbiD	mandatory	320	1.4999999999999999e-61	206.0	0.904	0.956	4	309			AbiD	AbiD	Defense
DFI-250	JEILEN_13745	RM__Type_I_S_51	2660	defense-finder-models/RM/RM/RM_Type_I	DFI-250_RM_Type_I_5	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	338	6.2e-45	150.9	0.688	0.979	8	338		DFI-250_PrrC_4	RM	RM_Type_I	Defense
DFI-250	JEILEN_13755	RM__Type_I_S_51	2662	defense-finder-models/RM/RM/RM_Type_I	DFI-250_RM_Type_I_5	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	288	8.5e-25	84.5	0.518	0.865	6	254		DFI-250_PrrC_4	RM	RM_Type_I	Defense
DFI-250	JEILEN_13760	RM__Type_I_MTases_FAM_0	2663	defense-finder-models/RM/RM/RM_Type_I	DFI-250_RM_Type_I_5	1	1	1.0	3.0	1	RM__Type_I_MTases_FAM_0	mandatory	530	2.2e-155	515.9	0.982	0.96	5	513		DFI-250_PrrC_4	RM	RM_Type_I	Defense
DFI-250	JEILEN_13765	RM__Type_I_REases_FAM_0.einsi_trimmed	2664	defense-finder-models/RM/RM/RM_Type_I	DFI-250_RM_Type_I_5	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	995	1.2e-226	752.9	0.984	0.998	2	994		DFI-250_PrrC_4	RM	RM_Type_I	Defense
DFI-250	JEILEN_14705	RM_Type_II__Type_II_MTases_FAM_1	2848	defense-finder-models/RM/RM/RM_Type_II	DFI-250_RM_Type_II_6	1	1	1.0	2.0	1	RM_Type_II__Type_II_MTases_FAM_0	mandatory	137	5.799999999999999e-35	118.6	0.451	0.912	3	127			RM	RM_Type_II	Defense
DFI-250	JEILEN_14715	RM_Type_II__Type_II_REase09	2850	defense-finder-models/RM/RM/RM_Type_II	DFI-250_RM_Type_II_6	1	1	1.0	2.0	1	RM_Type_II__Type_II_REase01	mandatory	375	2.9e-07	28.6	0.706	0.8	22	321			RM	RM_Type_II	Defense
DFI-250	JEILEN_14920	RosmerTA__RmrA_2623274509	2887	defense-finder-models/DefenseFinder/RosmerTA/RosmerTA	DFI-250_RosmerTA_3	1	1	1.0	2.0	1	RosmerTA__RmrA_2585209417	mandatory	379	6.6e-110	364.8	0.93	0.939	6	361			RosmerTA	RosmerTA	Defense
DFI-250	JEILEN_14925	RosmerTA__RmrT_2677172838	2888	defense-finder-models/DefenseFinder/RosmerTA/RosmerTA	DFI-250_RosmerTA_3	1	1	1.0	2.0	1	RosmerTA__RmrT_2585209417	mandatory	221	7.5e-23	78.5	0.789	0.81	3	181			RosmerTA	RosmerTA	Defense
