#Annotated with Bakta v1.9.4, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	29904	30302	+	LOEDCI_00130	14.7	5.0	PF00367.24|PTS_EIIB	PFAM:PF00367.24
contig_1	69699	69911	-	LOEDCI_00325	7.9	5.0		RefSeq:WP_010773984.1, SO:0001217, UniParc:UPI00029D2731, UniRef:UniRef100_R3JP88, UniRef:UniRef50_I6S9J1, UniRef:UniRef90_R3JP88
contig_1	75724	75921	+	LOEDCI_00390	7.3	7.9		RefSeq:WP_010714106.1, SO:0001217, UniParc:UPI0002E87789, UniRef:UniRef100_UPI0002E87789, UniRef:UniRef50_A0A125W5Z4, UniRef:UniRef90_A0A9P2JVM6
contig_1	78176	78682	+	LOEDCI_00405	20.1	9.6		RefSeq:WP_010815128.1, SO:0001217, UniParc:UPI00032EE252, UniRef:UniRef100_UPI00032EE252, UniRef:UniRef50_A0A4U3KSE1, UniRef:UniRef90_A0A4U3KSE1
contig_1	78952	79143	+	LOEDCI_00410	7.3	5.0		RefSeq:WP_002400386.1, SO:0001217, UniParc:UPI0001F0B607, UniRef:UniRef100_A0A059MYR2, UniRef:UniRef50_A0A059MYR2, UniRef:UniRef90_A0A059MYR2
contig_1	79150	79362	+	LOEDCI_00415	8.0	5.4		RefSeq:WP_002400390.1, SO:0001217, UniParc:UPI0001F0B608, UniRef:UniRef100_UPI0001F0B608, UniRef:UniRef50_A0A059MZ46, UniRef:UniRef90_A0A855UBR7
contig_1	79452	79676	+	LOEDCI_00420	8.7	4.2		RefSeq:WP_010829396.1, SO:0001217, UniParc:UPI0003092AB2, UniRef:UniRef100_UPI0001F0B609, UniRef:UniRef50_S4BN75, UniRef:UniRef90_UPI0001F0B609
contig_1	81367	81576	+	LOEDCI_00440	8.1	4.8		RefSeq:WP_002402424.1, SO:0001217, UniParc:UPI0001E19512, UniRef:UniRef100_A0A125W4X7, UniRef:UniRef50_D2IYV4, UniRef:UniRef90_A0A125W4X7
contig_1	102909	103409	+	LOEDCI_00565	19.4	5.6		RefSeq:WP_002364470.1, SO:0001217, UniParc:UPI0001B2B48E, UniRef:UniRef100_S4FUB1, UniRef:UniRef50_S4FUB1, UniRef:UniRef90_S4FUB1
contig_1	103847	104242	+	LOEDCI_00575	15.2	4.4		RefSeq:WP_002364468.1, SO:0001217, UniParc:UPI0001B2B48C, UniRef:UniRef100_A0A9P2LMP5, UniRef:UniRef50_S4FL11, UniRef:UniRef90_S4FL11
