hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JCNBHB_00165	EF-W4	33	311	WYL_I_II_III_IV_V_VI_4	1e-26	91.5	0.983	0.534	139	304
JCNBHB_00165	EF-W4	33	311	WYL_I_II_III_IV_V_VI_1	1.1e-46	157.2	0.987	0.997	1	310
JCNBHB_00540	EF-W4	108	720	Hachiman__HamB	3.7e-88	294.2	0.662	0.746	19	555
JCNBHB_00545	EF-W4	109	320	Hachiman__HamA_1	5.3e-27	92.4	0.81	0.866	38	314
JCNBHB_01300	EF-W4	231	467	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	4.2000000000000004e-32	110.1	0.962	0.893	11	427
JCNBHB_01305	EF-W4	232	235	Lamassu-Fam__LmuC_acc_Cap4_nuclease	1.1e-13	49.4	0.945	0.949	1	223
JCNBHB_01315	EF-W4	234	640	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	6.7e-11	38.3	0.457	0.7	34	481
JCNBHB_01315	EF-W4	234	640	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	8.3e-46	154.6	0.758	0.977	8	632
JCNBHB_01430	EF-W4	257	381	Dnd__DndA	2.6000000000000003e-102	340.0	0.979	0.966	2	369
JCNBHB_01510	EF-W4	273	190	WYL_I_II_III_IV_V_VI_1	7.2e-39	131.5	0.594	0.989	1	188
JCNBHB_01575	EF-W4	286	1456	RM_Type_II__Type_II_MTases_FAM_30	5.2e-08	29.1	0.443	0.19	971	1246
JCNBHB_01575	EF-W4	286	1456	RM_Type_IIG__Type_IIG_2	6.8e-169	561.4	0.748	0.53	10	780
JCNBHB_01760	EF-W4	323	1192	Wadjet__JetC_I	6.6e-13	44.8	0.476	0.449	325	859
JCNBHB_01760	EF-W4	323	1192	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.6e-14	51.3	0.791	0.408	1	486
JCNBHB_01935	EF-W4	356	156	Veles__VlsC1	2.7e-36	122.3	0.966	0.962	3	152
JCNBHB_01935	EF-W4	356	156	Veles__VlsC2	1.6e-36	123.0	0.973	0.962	4	153
JCNBHB_03125	EF-W4	587	174	PD-T4-9__PD-T4-9_A	1.2e-07	29.0	0.727	0.776	10	144
JCNBHB_03135	EF-W4	589	149	PD-T4-9__PD-T4-9_C	7.7e-14	49.4	0.878	0.805	29	148
JCNBHB_03445	EF-W4	650	177	DEDDh_I_II_III_IV_V_VI_1	8.6e-38	127.4	0.988	0.87	5	158
JCNBHB_03645	EF-W4	690	1045	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	3.8e-13	46.7	0.773	0.471	5	496
JCNBHB_03645	EF-W4	690	1045	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.6e-15	53.6	0.799	0.757	16	806
JCNBHB_03785	EF-W4	718	869	recD_IV-D_1	4.1e-83	277.2	0.857	0.732	117	752
JCNBHB_04220	EF-W4	805	382	Dnd__DndA	8.4e-35	117.8	0.828	0.838	5	324
JCNBHB_04580	EF-W4	874	589	PsyrTA__PsyrT	5.9e-111	369.1	0.514	0.586	4	348
JCNBHB_04895	EF-W4	937	411	Dnd__DndA	1.9e-45	152.8	0.865	0.835	24	366
JCNBHB_04920	EF-W4	942	116	DS-15__DS-15B	3e-32	108.7	0.917	0.966	2	113
JCNBHB_04925	EF-W4	943	290	DS-15__DS-15C	1.0999999999999999e-53	179.4	0.951	0.748	6	222
JCNBHB_04955	EF-W4	949	1451	DEDDh_I_II_III_IV_V_VI_1	3.0000000000000003e-46	154.9	0.994	0.108	427	582
JCNBHB_04970	EF-W4	952	923	csf4_IV-A_1	7.1e-21	71.8	0.578	0.395	522	886
JCNBHB_04970	EF-W4	952	923	DEDDh_I_II_III_IV_V_VI_1	2.2e-45	152.1	0.988	0.168	9	163
JCNBHB_05050	EF-W4	968	868	Dodola__DolB	2.7e-23	80.0	0.68	0.319	449	725
JCNBHB_05675	EF-W4	1091	400	RM_Type_II__Type_II_MTases_FAM_8	2.5e-09	34.1	0.517	0.315	251	376
JCNBHB_05675	EF-W4	1091	400	RM_Type_II__Type_II_MTases_FAM_1	6.299999999999999e-47	157.7	0.905	0.57	158	385
JCNBHB_05675	EF-W4	1091	400	RM_Type_II__Type_II_MTases_FAM_3	3.4e-48	161.8	0.884	0.542	165	381
JCNBHB_05825	EF-W4	1120	322	Abi2__Abi_2	7.7e-40	134.5	0.989	0.602	30	223
JCNBHB_05825	EF-W4	1120	322	AbiD__AbiD	8.8e-54	180.4	0.885	0.916	6	300
JCNBHB_05885	EF-W4	1131	381	Dnd__DndA	1.1e-109	364.3	0.963	0.95	4	365
JCNBHB_05895	EF-W4	1133	374	SspBCDE__SspD	1e-05	22.6	0.436	0.358	5	138
JCNBHB_06035	EF-W4	1161	335	RM_Type_II__Type_II_MTases_FAM_13	1.1e-09	34.8	0.424	0.704	63	298
JCNBHB_06035	EF-W4	1161	335	RM_Type_II__Type_II_MTases_FAM_33	1e-15	54.9	0.429	0.63	100	310
JCNBHB_06150	EF-W4	1183	274	Thoeris__ThsB_Global	2.8e-11	41.0	0.751	0.628	3	174
JCNBHB_06150	EF-W4	1183	274	SpbK__SpbK	9.2e-48	160.9	0.448	0.613	3	170
JCNBHB_06460	EF-W4	1244	380	RT_I_II_III_IV_V_VI_1	2.1e-52	175.3	0.714	0.558	33	244
JCNBHB_06510	EF-W4	1254	276	AbiJ__AbiJ	3.3e-27	93.0	0.47	0.525	124	268
JCNBHB_06945	EF-W4	1341	228	ShosTA__ShosT	5.4e-12	43.3	0.722	0.785	49	227
JCNBHB_07405	EF-W4	1433	142	Lamassu-Fam__LmuC_acc_Lipase	2.3e-05	21.4	0.47	0.577	59	140
JCNBHB_07485	EF-W4	1449	287	PsyrTA__PsyrA	1.6e-34	117.0	0.543	0.746	65	278
JCNBHB_07485	EF-W4	1449	287	ShosTA__ShosA	1.4e-65	218.8	0.894	0.941	13	282
JCNBHB_07685	EF-W4	1489	486	DISARM__drmC	1.6e-11	41.7	0.547	0.286	322	460
JCNBHB_08015	EF-W4	1554	478	PsyrTA__PsyrT	1.7999999999999998e-94	314.6	0.682	0.921	4	443
JCNBHB_08125	EF-W4	1576	628	UG6__DnaG	1.4e-37	126.9	0.846	0.484	34	337
JCNBHB_09760	EF-W4	1898	1264	Gabija__GajB_2	2.8e-59	198.6	0.749	0.732	13	937
JCNBHB_09835	EF-W4	1912	583	HEC-05__HEC-05	1.0000000000000001e-252	839.5	0.533	0.99	5	581
JCNBHB_10735	EF-W4	2072	254	RM_Type_II__Type_II_MTases_FAM_1	8.300000000000001e-26	88.5	0.799	0.862	26	244
JCNBHB_10735	EF-W4	2072	254	RM_Type_II__Type_II_MTases_FAM_3	3.3e-30	102.8	0.825	0.87	25	245
JCNBHB_11035	EF-W4	2131	256	Gao_Qat__QatD	2.6e-13	47.3	0.941	0.969	4	251
JCNBHB_11040	EF-W4	2132	732	Gabija__GajB_3	5.7e-10	36.3	0.593	0.299	497	715
JCNBHB_11310	EF-W4	2185	882	UG9__DNA_pol	3.7e-37	125.8	0.754	0.469	457	870
JCNBHB_11440	EF-W4	2210	125	MazEF__MazF	8.3e-08	29.5	0.694	0.664	4	86
JCNBHB_11555	EF-W4	2232	113	MazEF__MazF	1.7e-09	34.9	0.919	0.956	4	111
JCNBHB_12160	EF-W4	2351	321	RM_Type_II__Type_II_MTases_FAM_22	7.8e-19	65.4	0.476	0.573	2	185
JCNBHB_12160	EF-W4	2351	321	RM_Type_II__Type_II_MTases_FAM_0	1.2e-32	110.9	0.508	0.558	2	180
JCNBHB_12160	EF-W4	2351	321	DISARM_2__drmMII	1.4e-33	113.9	0.534	0.604	2	195
JCNBHB_12160	EF-W4	2351	321	Druantia_II__DruM	2.5e-41	139.5	0.835	0.972	3	314
JCNBHB_12160	EF-W4	2351	321	RM_Type_II__Type_II_MTases_FAM_2	6.2e-65	216.9	0.981	0.975	1	313
JCNBHB_12170	EF-W4	2353	327	SanaTA__SanaT	1.8999999999999998e-23	80.5	0.939	0.927	23	325
JCNBHB_12170	EF-W4	2353	327	AbiEii__AbiEii	5.900000000000001e-46	154.8	0.987	0.838	43	316
JCNBHB_12170	EF-W4	2353	327	SanaTA__SanaT_1	1.5e-112	374.0	0.89	1.0	1	327
JCNBHB_12175	EF-W4	2354	203	SanaTA__SanaA	5.2e-12	43.6	0.933	0.611	4	127
JCNBHB_12290	EF-W4	2376	752	Gabija__GajB_3	5.4e-17	59.4	0.663	0.382	27	313
JCNBHB_12290	EF-W4	2376	752	Gabija__GajB_1	5e-41	138.4	0.921	0.809	15	622
JCNBHB_12290	EF-W4	2376	752	UG35__UvrD	8.599999999999999e-103	342.3	0.53	0.576	11	443
JCNBHB_12290	EF-W4	2376	752	Gabija__GajB_2	1.3e-112	374.6	0.774	0.876	4	662
JCNBHB_12355	EF-W4	2389	746	Dodola__DolB	2.8e-23	80.0	0.528	0.277	387	593
JCNBHB_12815	EF-W4	2480	481	DISARM__drmC	2.2e-17	60.8	0.747	0.395	258	447
JCNBHB_13395	EF-W4	2591	335	pAgo__GbbAgaS	1.6e-06	24.7	0.412	0.457	178	330
JCNBHB_13425	EF-W4	2596	562	AbiO__AbiO	2.9e-104	346.7	0.982	0.879	5	498
JCNBHB_13425	EF-W4	2596	562	Nhi__Nhi	5.3999999999999995e-164	543.6	1.0	0.904	1	508
JCNBHB_13515	EF-W4	2614	1732	RM_Type_II__Type_II_MTases_FAM_33	2.7e-08	30.4	0.422	0.113	187	382
JCNBHB_14500	EF-W4	2808	113	MazEF__MazF	4.0999999999999997e-23	78.8	0.928	0.929	5	109
JCNBHB_14525	EF-W4	2813	431	AbiL__AbiLi	1.4e-40	137.1	0.98	0.974	1	420
JCNBHB_14525	EF-W4	2813	431	AbiL__AbiLi2	1.4e-44	150.4	0.985	0.977	1	421
JCNBHB_14665	EF-W4	2832	186	Dpd__FolE	2.1e-52	174.8	0.978	0.946	8	183
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2641389401	3.3999999999999998e-37	125.5	0.951	0.939	7	362
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2676476075	2.7e-40	136.0	0.855	0.85	9	330
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2617826694	7.3e-49	163.6	0.966	0.955	7	368
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2585209417	5.2e-52	174.4	0.951	0.953	7	367
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2734955840	2.8e-57	191.8	0.925	0.939	7	362
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2603008502	4.7e-66	220.8	0.924	0.929	7	358
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2634932349	2.2999999999999997e-67	224.6	0.928	0.939	7	362
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2753529055	1.6999999999999998e-73	245.2	0.892	0.939	7	362
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2662548665	6.5e-93	309.1	0.875	0.929	7	358
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2664250653	9.2e-94	311.7	0.929	0.96	6	369
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2634882613	5.5e-97	322.4	0.94	0.976	7	376
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2600853143	7.8e-99	328.5	0.951	0.955	6	367
JCNBHB_14690	EF-W4	2837	379	RosmerTA__RmrA_2677172838	3.5e-106	352.5	0.976	0.976	6	375
