sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
EF-W4_Hachiman_4	Hachiman	Hachiman	Defense	JCNBHB_00540	JCNBHB_00545	JCNBHB_00540,JCNBHB_00545	2	Hachiman__HamA_1,Hachiman__HamB
EF-W4_Lamassu-Cap4_nuclease_6	Lamassu-Fam	Lamassu-Cap4_nuclease	Defense	JCNBHB_01300	JCNBHB_01315	JCNBHB_01300,JCNBHB_01305,JCNBHB_01315	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease
EF-W4_RM_Type_IIG_12	RM	RM_Type_IIG	Defense	JCNBHB_01575	JCNBHB_01575	JCNBHB_01575	1	RM_Type_IIG__Type_IIG_2
EF-W4_PD-T4-9_8	PD-T4-9	PD-T4-9	Defense	JCNBHB_03125	JCNBHB_03135	JCNBHB_03125,JCNBHB_03135	2	PD-T4-9__PD-T4-9_A,PD-T4-9__PD-T4-9_C
EF-W4_AbiD_1	AbiD	AbiD	Defense	JCNBHB_05825	JCNBHB_05825	JCNBHB_05825	1	AbiD__AbiD
EF-W4_SpbK_11	SpbK	SpbK	Defense	JCNBHB_06150	JCNBHB_06150	JCNBHB_06150	1	SpbK__SpbK
EF-W4_AbiJ_2	AbiJ	AbiJ	Defense	JCNBHB_06510	JCNBHB_06510	JCNBHB_06510	1	AbiJ__AbiJ
EF-W4_HEC-05_3	HEC-05	HEC-05	Defense	JCNBHB_09835	JCNBHB_09835	JCNBHB_09835	1	HEC-05__HEC-05
EF-W4_SanaTA_10	SanaTA	SanaTA	Defense	JCNBHB_12170	JCNBHB_12175	JCNBHB_12170,JCNBHB_12175	2	SanaTA__SanaA,SanaTA__SanaT_1
EF-W4_Nhi_7	Nhi	Nhi	Defense	JCNBHB_13425	JCNBHB_13425	JCNBHB_13425	1	Nhi__Nhi
EF-W4_RosmerTA_9	RosmerTA	RosmerTA	Defense	JCNBHB_14690	JCNBHB_14695	JCNBHB_14690,JCNBHB_14695	2	RosmerTA__RmrA_2623274509,RosmerTA__RmrT_2677172838
