replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
EF-W4	JCNBHB_00540	Hachiman__HamB	108	defense-finder-models/DefenseFinder/Hachiman/Hachiman	EF-W4_Hachiman_4	1	1	1.0	2.0	1	Hachiman__HamB	mandatory	720	3.7e-88	294.2	0.662	0.746	19	555		EF-W4_Hachiman_II_5	Hachiman	Hachiman	Defense
EF-W4	JCNBHB_00545	Hachiman__HamA_1	109	defense-finder-models/DefenseFinder/Hachiman/Hachiman	EF-W4_Hachiman_4	1	1	1.0	2.0	1	Hachiman__HamA_1	mandatory	320	5.3e-27	92.4	0.81	0.866	38	314		EF-W4_Hachiman_II_5	Hachiman	Hachiman	Defense
EF-W4	JCNBHB_01300	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	231	defense-finder-models/DefenseFinder/Lamassu-Fam/Lamassu-Cap4_nuclease	EF-W4_Lamassu-Cap4_nuclease_6	1	1	1.0	2.5	1	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	mandatory	467	4.2000000000000004e-32	110.1	0.962	0.893	11	427			Lamassu-Fam	Lamassu-Cap4_nuclease	Defense
EF-W4	JCNBHB_01305	Lamassu-Fam__LmuC_acc_Cap4_nuclease	232	defense-finder-models/DefenseFinder/Lamassu-Fam/Lamassu-Cap4_nuclease	EF-W4_Lamassu-Cap4_nuclease_6	1	1	1.0	2.5	1	Lamassu-Fam__LmuC_acc_Lipase	accessory	235	1.1e-13	49.4	0.945	0.949	1	223			Lamassu-Fam	Lamassu-Cap4_nuclease	Defense
EF-W4	JCNBHB_01315	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	234	defense-finder-models/DefenseFinder/Lamassu-Fam/Lamassu-Cap4_nuclease	EF-W4_Lamassu-Cap4_nuclease_6	1	1	1.0	2.5	1	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	mandatory	640	8.299999999999999e-46	154.6	0.758	0.977	8	632			Lamassu-Fam	Lamassu-Cap4_nuclease	Defense
EF-W4	JCNBHB_01575	RM_Type_IIG__Type_IIG_2	286	defense-finder-models/RM/RM/RM_Type_IIG	EF-W4_RM_Type_IIG_12	1	1	0.167	1.0	1	RM_Type_IIG__Type_IIG_2	mandatory	1456	6.8e-169	561.4	0.748	0.53	10	780			RM	RM_Type_IIG	Defense
EF-W4	JCNBHB_03125	PD-T4-9__PD-T4-9_A	587	defense-finder-models/DefenseFinder/PD-T4-9/PD-T4-9	EF-W4_PD-T4-9_8	1	1	0.667	2.0	1	PD-T4-9__PD-T4-9_A	mandatory	174	1.2e-07	29.0	0.727	0.776	10	144			PD-T4-9	PD-T4-9	Defense
EF-W4	JCNBHB_03135	PD-T4-9__PD-T4-9_C	589	defense-finder-models/DefenseFinder/PD-T4-9/PD-T4-9	EF-W4_PD-T4-9_8	1	1	0.667	2.0	1	PD-T4-9__PD-T4-9_C	mandatory	149	7.7e-14	49.4	0.878	0.805	29	148			PD-T4-9	PD-T4-9	Defense
EF-W4	JCNBHB_05825	AbiD__AbiD	1120	defense-finder-models/DefenseFinder/AbiD/AbiD	EF-W4_AbiD_1	1	1	1.0	1.0	1	AbiD__AbiD	mandatory	322	8.8e-54	180.4	0.885	0.916	6	300			AbiD	AbiD	Defense
EF-W4	JCNBHB_06150	SpbK__SpbK	1183	defense-finder-models/DefenseFinder/SpbK/SpbK	EF-W4_SpbK_11	1	1	1.0	1.0	1	SpbK__SpbK	mandatory	274	9.2e-48	160.9	0.448	0.613	3	170			SpbK	SpbK	Defense
EF-W4	JCNBHB_06510	AbiJ__AbiJ	1254	defense-finder-models/DefenseFinder/AbiJ/AbiJ	EF-W4_AbiJ_2	1	1	1.0	1.0	1	AbiJ__AbiJ	mandatory	276	3.3e-27	93.0	0.47	0.525	124	268			AbiJ	AbiJ	Defense
EF-W4	JCNBHB_09835	HEC-05__HEC-05	1912	defense-finder-models/DefenseFinder/HEC-05/HEC-05	EF-W4_HEC-05_3	1	1	1.0	1.0	1	HEC-05__HEC-05	mandatory	583	1e-252	839.5	0.533	0.99	5	581			HEC-05	HEC-05	Defense
EF-W4	JCNBHB_12170	SanaTA__SanaT_1	2353	defense-finder-models/DefenseFinder/SanaTA/SanaTA	EF-W4_SanaTA_10	1	1	1.0	2.0	1	SanaTA__SanaT_1	mandatory	327	1.5e-112	374.0	0.89	1.0	1	327			SanaTA	SanaTA	Defense
EF-W4	JCNBHB_12175	SanaTA__SanaA	2354	defense-finder-models/DefenseFinder/SanaTA/SanaTA	EF-W4_SanaTA_10	1	1	1.0	2.0	1	SanaTA__SanaA	mandatory	203	5.2e-12	43.6	0.933	0.611	4	127			SanaTA	SanaTA	Defense
EF-W4	JCNBHB_13425	Nhi__Nhi	2596	defense-finder-models/DefenseFinder/Nhi/Nhi	EF-W4_Nhi_7	1	1	1.0	1.0	1	Nhi__Nhi	mandatory	562	5.4e-164	543.6	1.0	0.904	1	508			Nhi	Nhi	Defense
EF-W4	JCNBHB_14690	RosmerTA__RmrA_2623274509	2837	defense-finder-models/DefenseFinder/RosmerTA/RosmerTA	EF-W4_RosmerTA_9	1	1	1.0	2.0	1	RosmerTA__RmrA_2585209417	mandatory	379	6.2e-110	364.8	0.93	0.939	6	361			RosmerTA	RosmerTA	Defense
EF-W4	JCNBHB_14695	RosmerTA__RmrT_2677172838	2838	defense-finder-models/DefenseFinder/RosmerTA/RosmerTA	EF-W4_RosmerTA_9	1	1	1.0	2.0	1	RosmerTA__RmrT_2585209417	mandatory	221	7.1e-23	78.5	0.789	0.81	3	181			RosmerTA	RosmerTA	Defense
