#Annotated with Bakta v1.9.4, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	80208	80387	+	JEILEN_00365	6.9	4.6		RefSeq:WP_002381345.1, SO:0001217, UniParc:UPI000005BCC6, UniRef:UniRef100_A0A640NC82, UniRef:UniRef50_A0A640NC82, UniRef:UniRef90_A0A640NC82
contig_1	123070	123189	+	JEILEN_00535	4.7	4.9		
contig_1	124343	124591	+	JEILEN_00545	9.8	9.7		RefSeq:WP_010716611.1, SO:0001217, UniParc:UPI00032EA68E, UniRef:UniRef100_A0A5Q0EQE4, UniRef:UniRef50_Q831G7, UniRef:UniRef90_Q831G7
contig_1	136597	136908	+	JEILEN_00605	12.6	4.6		RefSeq:WP_010716619.1, SO:0001217, UniParc:UPI000330C780, UniRef:UniRef100_UPI000330C780, UniRef:UniRef50_S4C405, UniRef:UniRef90_A0A9P2LAE2
contig_1	141792	141965	+	JEILEN_00645	7.0	9.5		RefSeq:WP_010710102.1, SO:0001217, UniParc:UPI00032EE747, UniRef:UniRef100_UPI00032EE747, UniRef:UniRef50_A0A9P2NN15, UniRef:UniRef90_UPI00032EE747
contig_1	142790	143251	+	JEILEN_00655	18.5	9.5		RefSeq:WP_010710104.1, SO:0001217, UniParc:UPI00032E6EF5, UniRef:UniRef100_A0A5Q0EQW6, UniRef:UniRef50_A0A5Q0EQW6, UniRef:UniRef90_A0A5Q0EQW6
contig_1	143751	144305	+	JEILEN_00665	22.5	8.3		RefSeq:WP_010716627.1, SO:0001217, UniParc:UPI0003313299, UniRef:UniRef100_A0A5Q0EPK9, UniRef:UniRef50_Q839L4, UniRef:UniRef90_A0A5Q0EPK9
contig_1	144349	144777	+	JEILEN_00670	17.0	8.9		RefSeq:WP_010710107.1, SO:0001217, UniParc:UPI00032DC033, UniRef:UniRef100_A0A8A8ECZ8, UniRef:UniRef50_Q839L3, UniRef:UniRef90_A0A8A8ECZ8
contig_1	145624	145905	+	JEILEN_00680	10.7	10.5		SO:0001217, UniRef:UniRef50_UPI000A8A107A, UniRef:UniRef90_UPI000A8A107A
contig_1	147319	147627	-	JEILEN_00700	11.6	9.4		RefSeq:WP_002386531.1, SO:0001217, UniParc:UPI00019F693B, UniRef:UniRef100_A0A5Q0EQ00, UniRef:UniRef50_S4CF18, UniRef:UniRef90_S4CF18
contig_1	147633	147851	-	JEILEN_00705	7.7	9.4		RefSeq:WP_002359319.1, SO:0001217, UniParc:UPI000005BD0A, UniRef:UniRef100_Q839K8, UniRef:UniRef50_Q839K8, UniRef:UniRef90_Q839K8
contig_1	148014	148160	+	JEILEN_00710	5.8	10.0		
contig_1	153568	153858	+	JEILEN_00730	11.8	4.7		RefSeq:WP_010716634.1, SO:0001217, UniParc:UPI000330908B, UniRef:UniRef100_A0A5Q0EPL9, UniRef:UniRef50_Q839K4, UniRef:UniRef90_Q839K4
contig_1	153891	154115	+	JEILEN_00735	8.7	10.3		SO:0001217, UniParc:UPI000005BD0F, UniRef:UniRef100_Q839K3, UniRef:UniRef50_Q839K3, UniRef:UniRef90_Q839K3
contig_1	255512	256126	+	JEILEN_01390	21.8	4.7		RefSeq:WP_002377892.1, SO:0001217, UniParc:UPI00019F6D65, UniRef:UniRef100_A0A431H6T6, UniRef:UniRef50_A0A431H6T6, UniRef:UniRef90_A0A431H6T6
contig_1	267001	267138	+	JEILEN_01460	4.9	7.7		RefSeq:WP_002355203.1, SO:0001217, UniParc:UPI00019F6D6D, UniRef:UniRef100_A0A1J6XW10, UniRef:UniRef50_A0A1J6XW10, UniRef:UniRef90_A0A1J6XW10
contig_1	400942	401052	+	JEILEN_02100	4.0	6.5		SO:0001217, UniParc:UPI00032D9511, UniRef:UniRef100_A0A9P2X7I3, UniRef:UniRef50_A0A9P2X7I3, UniRef:UniRef90_A0A9P2X7I3
contig_1	402684	402851	+	JEILEN_02115	6.7	9.2		SO:0001217, UniParc:UPI0001B2B0D9, UniRef:UniRef100_A0A8S6XJT5, UniRef:UniRef50_A0A8S6XJT5, UniRef:UniRef90_A0A8S6XJT5
contig_1	409271	409708	+	JEILEN_02145	16.4	6.7		RefSeq:WP_225601016.1, SO:0001217, UniParc:UPI001CE200EE, UniRef:UniRef100_UPI001CE200EE, UniRef:UniRef50_UPI001CE200EE, UniRef:UniRef90_UPI001CE200EE
contig_1	424676	425269	+	JEILEN_02225	23.9	6.2		RefSeq:WP_002414802.1, SO:0001217, UniParc:UPI000291023C, UniRef:UniRef100_R3JI56, UniRef:UniRef50_R3JI56, UniRef:UniRef90_A0A0M2AEX8
contig_1	425275	425763	+	JEILEN_02230	19.2	8.2		RefSeq:WP_010710133.1, SO:0001217, UniParc:UPI000005BE4D, UniRef:UniRef100_A0A8S6X4L6, UniRef:UniRef50_Q9F1H7, UniRef:UniRef90_Q9F1H7
contig_1	434660	434854	-	JEILEN_02305	7.1	7.9		RefSeq:WP_002358658.1, SO:0001217, UniParc:UPI0001B1DC76, UniRef:UniRef100_A0A1G1SBB6, UniRef:UniRef50_A0A1G1SBB6, UniRef:UniRef90_A0A1G1SBB6
contig_1	437207	437626	+	JEILEN_02320	16.1	5.8		RefSeq:WP_002370932.1, SO:0001217, UniParc:UPI000005BE5A, UniRef:UniRef100_A0A8S6XF78, UniRef:UniRef50_A0A8S6XF78, UniRef:UniRef90_A0A8S6XF78
contig_1	439058	439636	+	JEILEN_02340	22.9	5.4		RefSeq:WP_227316534.1, SO:0001217, UniParc:UPI001D09E46A, UniRef:UniRef100_UPI001D09E46A, UniRef:UniRef50_UPI001FFCED3B, UniRef:UniRef90_UPI001FFCED3B
contig_1	526263	526433	-	JEILEN_02790	6.7	10.3		RefSeq:WP_002392643.1, SO:0001217, UniParc:UPI0001E1991F, UniRef:UniRef100_A0A059N374, UniRef:UniRef50_A0A366U591, UniRef:UniRef90_A0A059N374
contig_1	526994	527164	+	JEILEN_02795	6.8	9.0		RefSeq:WP_002384869.1, SO:0001217, UniParc:UPI00019F34CD, UniRef:UniRef100_A0A9P2GBJ3, UniRef:UniRef50_R3JU11, UniRef:UniRef90_R3JU11
contig_1	560168	560494	-	JEILEN_02955	12.3	5.1		SO:0001217, UniRef:UniRef50_R3H3G3, UniRef:UniRef90_V7ZPU3
contig_1	560624	560902	+	JEILEN_02960	11.1	5.8		SO:0001217, UniParc:UPI000005BEC1, UniRef:UniRef100_A0A9P2TNQ6, UniRef:UniRef50_E2YXJ8, UniRef:UniRef90_E2YXJ8
