hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
HCJMML_00165	CI-8010	33	311	WYL_I_II_III_IV_V_VI_4	5.9e-27	92.3	0.983	0.534	139	304
HCJMML_00165	CI-8010	33	311	WYL_I_II_III_IV_V_VI_1	1.0999999999999999e-47	160.5	0.987	0.997	1	310
HCJMML_01575	CI-8010	285	381	Dnd__DndA	5e-102	339.1	0.979	0.966	2	369
HCJMML_02450	CI-8010	458	1010	RM__Type_I_REases_FAM_0.einsi_trimmed	1.5e-68	229.5	0.661	0.709	115	830
HCJMML_02450	CI-8010	458	1010	RM__Type_I_REases_FAM_1.einsi_trimmed	0.0	1102.4	0.979	0.978	2	989
HCJMML_02840	CI-8010	534	481	DISARM__drmC	2.4e-17	60.8	0.747	0.395	258	447
HCJMML_03245	CI-8010	614	746	Dodola__DolB	2.8e-23	80.1	0.531	0.279	386	593
HCJMML_03310	CI-8010	627	752	Gabija__GajB_3	5.6e-17	59.4	0.663	0.382	27	313
HCJMML_03310	CI-8010	627	752	Gabija__GajB_1	6.999999999999999e-41	138.0	0.921	0.809	15	622
HCJMML_03310	CI-8010	627	752	UG35__UvrD	9.1e-103	342.3	0.53	0.576	11	443
HCJMML_03310	CI-8010	627	752	Gabija__GajB_2	1.3999999999999999e-112	374.6	0.774	0.876	4	662
HCJMML_03800	CI-8010	722	113	MazEF__MazF	1.8e-09	34.9	0.919	0.956	4	111
HCJMML_03925	CI-8010	746	125	MazEF__MazF	8.7e-08	29.5	0.694	0.664	4	86
HCJMML_04050	CI-8010	770	882	UG9__DNA_pol	4.3e-37	125.6	0.754	0.469	457	870
HCJMML_04315	CI-8010	822	732	Gabija__GajB_3	5.2e-10	36.5	0.596	0.301	496	715
HCJMML_04320	CI-8010	823	256	Gao_Qat__QatD	2.7e-13	47.3	0.941	0.969	4	251
HCJMML_05325	CI-8010	1004	583	HEC-05__HEC-05	1.8e-252	838.8	0.533	0.99	5	581
HCJMML_05405	CI-8010	1019	1264	Gabija__GajB_2	1.2e-58	196.6	0.777	0.752	13	962
HCJMML_06470	CI-8010	1228	284	CBASS__AG_E1_ThiF	1.8999999999999997e-51	172.3	0.926	0.831	25	260
HCJMML_07085	CI-8010	1350	624	UG6__DnaG	1.4e-37	126.9	0.846	0.487	34	337
HCJMML_07195	CI-8010	1372	478	PsyrTA__PsyrT	9.7e-95	315.6	0.682	0.921	4	443
HCJMML_07490	CI-8010	1430	486	DISARM__drmC	1.6e-11	41.7	0.547	0.286	322	460
HCJMML_07690	CI-8010	1470	287	PsyrTA__PsyrA	2.6e-34	116.3	0.543	0.746	65	278
HCJMML_07690	CI-8010	1470	287	ShosTA__ShosA	2.0000000000000003e-65	218.4	0.894	0.941	13	282
HCJMML_07770	CI-8010	1486	142	Lamassu-Fam__LmuC_acc_Lipase	1.3e-05	22.3	0.47	0.577	59	140
HCJMML_08230	CI-8010	1578	228	ShosTA__ShosT	2.6e-12	44.4	0.73	0.794	47	227
HCJMML_08780	CI-8010	1688	276	AbiJ__AbiJ	3.5e-27	93.0	0.47	0.525	124	268
HCJMML_08830	CI-8010	1698	380	RT_I_II_III_IV_V_VI_1	2.2e-52	175.3	0.714	0.558	33	244
HCJMML_09140	CI-8010	1759	274	Thoeris__ThsB_Global	3.1e-11	41.0	0.751	0.628	3	174
HCJMML_09140	CI-8010	1759	274	SpbK__SpbK	4.7e-48	161.9	0.45	0.617	3	171
HCJMML_09255	CI-8010	1781	335	RM_Type_II__Type_II_MTases_FAM_13	1.2e-09	34.8	0.424	0.704	63	298
HCJMML_09255	CI-8010	1781	335	RM_Type_II__Type_II_MTases_FAM_33	1.1e-15	54.9	0.429	0.63	100	310
HCJMML_09680	CI-8010	1864	374	SspBCDE__SspD	1.1e-05	22.5	0.433	0.356	5	137
HCJMML_09690	CI-8010	1866	381	Dnd__DndA	1.1e-109	364.3	0.963	0.95	4	365
HCJMML_10415	CI-8010	2009	380	RM_Type_II__Type_II_MTases_FAM_16	2.4e-21	73.6	0.473	0.439	30	196
HCJMML_10415	CI-8010	2009	380	RM_Type_II__Type_II_MTases_FAM_21	8.7e-32	107.9	0.491	0.55	4	212
HCJMML_10415	CI-8010	2009	380	RM_Type_II__Type_II_MTases_FAM_22	2.2e-32	110.1	0.461	0.453	2	173
HCJMML_10415	CI-8010	2009	380	RM_Type_II__Type_II_MTases_FAM_0	1.5999999999999998e-53	179.8	0.967	0.987	1	375
HCJMML_10415	CI-8010	2009	380	DISARM_2__drmMII	5.1e-59	197.7	0.96	0.987	1	375
HCJMML_10415	CI-8010	2009	380	Druantia_II__DruM	1.7e-69	232.3	0.829	0.984	1	374
HCJMML_10415	CI-8010	2009	380	RM_Type_II__Type_II_MTases_FAM_2	1.4e-90	301.3	0.965	0.984	1	374
HCJMML_10460	CI-8010	2018	610	PD-T7-2__PD-T7-2_B	2.6e-85	284.3	0.94	0.974	16	609
HCJMML_10490	CI-8010	2024	868	Dodola__DolB	2.8999999999999996e-23	80.0	0.68	0.319	449	725
HCJMML_10570	CI-8010	2040	923	csf4_IV-A_1	7.5e-21	71.8	0.578	0.395	522	886
HCJMML_10570	CI-8010	2040	923	DEDDh_I_II_III_IV_V_VI_1	2.3e-45	152.1	0.988	0.168	9	163
HCJMML_10585	CI-8010	2043	1451	DEDDh_I_II_III_IV_V_VI_1	3.2000000000000003e-46	154.9	0.994	0.108	427	582
HCJMML_10615	CI-8010	2049	290	DS-15__DS-15C	1.0999999999999999e-53	179.4	0.951	0.748	6	222
HCJMML_10620	CI-8010	2050	116	DS-15__DS-15B	3.2e-32	108.7	0.917	0.966	2	113
HCJMML_10640	CI-8010	2054	411	Dnd__DndA	4.4e-45	151.7	0.865	0.835	24	366
HCJMML_10960	CI-8010	2118	589	PsyrTA__PsyrT	2.2e-110	367.2	0.515	0.587	4	349
HCJMML_11320	CI-8010	2187	382	Dnd__DndA	2.8e-34	116.1	0.828	0.838	5	324
HCJMML_11730	CI-8010	2269	322	Tha__Tha	4.8e-06	23.7	0.405	0.376	169	289
HCJMML_12030	CI-8010	2325	869	recD_IV-D_1	4.2999999999999996e-83	277.2	0.857	0.732	117	752
HCJMML_12125	CI-8010	2344	1045	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2.1e-12	44.4	0.773	0.471	5	496
HCJMML_12125	CI-8010	2344	1045	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	4e-15	52.4	0.799	0.757	16	806
HCJMML_12325	CI-8010	2384	177	DEDDh_I_II_III_IV_V_VI_1	2.4e-38	129.3	0.988	0.87	5	158
