replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
CI-1104	CJHMOJ_00600	DS-8__DS-8	120	defense-finder-models/DefenseFinder/DS-8/DS-8	CI-1104_DS-8_4	1	1	1.0	1.0	1	DS-8__DS-8	mandatory	476	1.1e-126	421.2	0.447	0.998	1	475			DS-8	DS-8	Defense
CI-1104	CJHMOJ_02460	cas9_II-A_II-B_II-C_3	459	CasFinder/CAS_Class2-Subtype-II-A	CI-1104_CAS_Class2-Subtype-II-A_10	1	1	1.0	4.0	1	cas9_II-A_II-B_II-C_3	accessory	1337	0.0	1101.9	0.998	0.999	1	1335		CI-1104_CAS_Class2-Type-II_11,CI-1104_CAS_Cluster_12	Cas	CAS_Class2-Subtype-II-A	Defense
CI-1104	CJHMOJ_02465	cas1_I_II_III_IV_V_VI_5	460	CasFinder/CAS_Class2-Subtype-II-A	CI-1104_CAS_Class2-Subtype-II-A_10	1	1	1.0	4.0	1	cas1_I_II_III_IV_V_VI_5	accessory	288	1.9e-97	323.1	0.996	0.934	3	271		CI-1104_CAS_Class2-Type-II_11,CI-1104_CAS_Cluster_12	Cas	CAS_Class2-Subtype-II-A	Defense
CI-1104	CJHMOJ_02470	cas2_I_II_III_IV_V_VI_6	461	CasFinder/CAS_Class2-Subtype-II-A	CI-1104_CAS_Class2-Subtype-II-A_10	1	1	1.0	4.0	1	cas2_I_II_III_IV_V_VI_6	accessory	109	2.1e-46	154.4	0.957	0.991	1	108		CI-1104_CAS_Class2-Type-II_11,CI-1104_CAS_Cluster_12	Cas	CAS_Class2-Subtype-II-A	Defense
CI-1104	CJHMOJ_02475	csn2_II-A_4	462	CasFinder/CAS_Class2-Subtype-II-A	CI-1104_CAS_Class2-Subtype-II-A_10	1	1	1.0	4.0	1	csn2_II-A_4	mandatory	219	3.3e-107	354.5	1.0	0.995	1	218		CI-1104_CAS_Class2-Type-II_11,CI-1104_CAS_Cluster_12	Cas	CAS_Class2-Subtype-II-A	Defense
CI-1104	CJHMOJ_09735	AbiU__AbiU	1874	defense-finder-models/DefenseFinder/AbiU/AbiU	CI-1104_AbiU_1	1	1	1.0	1.0	1	AbiU__AbiU	mandatory	411	1.4e-37	127.0	0.683	0.959	16	409			AbiU	AbiU	Defense
CI-1104	CJHMOJ_09740	Mokosh_type_I__MkoB_B	1875	defense-finder-models/DefenseFinder/Mokosh/Mokosh_Type_I_B	CI-1104_Mokosh_Type_I_B_6	1	1	1.0	2.0	1	Mokosh_type_I__MkoB_B	mandatory	582	6e-58	194.0	0.968	0.734	5	431		CI-1104_Mokosh_Type_I_5	Mokosh	Mokosh_Type_I_B	Defense
CI-1104	CJHMOJ_09755	Mokosh_type_I__MkoA_B	1878	defense-finder-models/DefenseFinder/Mokosh/Mokosh_Type_I_B	CI-1104_Mokosh_Type_I_B_6	1	1	1.0	2.0	1	Mokosh_type_I__MkoA_B	mandatory	680	1.4e-149	497.5	0.588	0.974	7	668		CI-1104_Mokosh_Type_I_5	Mokosh	Mokosh_Type_I_B	Defense
CI-1104	CJHMOJ_12410	RM__Type_I_REases_FAM_0.einsi_trimmed	2399	defense-finder-models/RM/RM/RM_Type_I	CI-1104_RM_Type_I_9	1	1	1.0	3.0	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1047	4.0999999999999996e-181	602.1	0.838	0.909	5	956		CI-1104_PrrC_8	RM	RM_Type_I	Defense
CI-1104	CJHMOJ_12415	RM__Type_I_S_51	2400	defense-finder-models/RM/RM/RM_Type_I	CI-1104_RM_Type_I_9	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	401	1.4999999999999999e-53	179.3	0.802	0.98	8	400		CI-1104_PrrC_8	RM	RM_Type_I	Defense
CI-1104	CJHMOJ_12425	RM__Type_I_S_51	2402	defense-finder-models/RM/RM/RM_Type_I	CI-1104_RM_Type_I_9	1	1	1.0	3.0	1	RM__Type_I_S_01	mandatory	391	6.3e-29	98.0	0.402	0.501	7	202		CI-1104_PrrC_8	RM	RM_Type_I	Defense
