hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
CGGMPE_00165	EF-W5	33	311	WYL_I_II_III_IV_V_VI_4	1e-26	91.5	0.983	0.534	139	304
CGGMPE_00165	EF-W5	33	311	WYL_I_II_III_IV_V_VI_1	1.1e-46	157.2	0.987	0.997	1	310
CGGMPE_00540	EF-W5	108	720	Hachiman__HamB	3.6e-88	294.2	0.662	0.746	19	555
CGGMPE_00545	EF-W5	109	320	Hachiman__HamA_1	5.1999999999999996e-27	92.4	0.81	0.866	38	314
CGGMPE_01300	EF-W5	231	467	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	4.1000000000000003e-32	110.1	0.962	0.893	11	427
CGGMPE_01305	EF-W5	232	235	Lamassu-Fam__LmuC_acc_Cap4_nuclease	1.1e-13	49.4	0.945	0.949	1	223
CGGMPE_01315	EF-W5	234	640	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	6.6e-11	38.3	0.457	0.7	34	481
CGGMPE_01315	EF-W5	234	640	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	8.2e-46	154.6	0.758	0.977	8	632
CGGMPE_01430	EF-W5	257	381	Dnd__DndA	2.6000000000000003e-102	340.0	0.979	0.966	2	369
CGGMPE_01510	EF-W5	273	190	WYL_I_II_III_IV_V_VI_1	7.1e-39	131.5	0.594	0.989	1	188
CGGMPE_01575	EF-W5	286	1456	RM_Type_II__Type_II_MTases_FAM_30	5.1e-08	29.1	0.443	0.19	971	1246
CGGMPE_01575	EF-W5	286	1456	RM_Type_IIG__Type_IIG_2	6.7e-169	561.4	0.748	0.53	10	780
CGGMPE_01760	EF-W5	323	1192	Wadjet__JetC_I	6.5e-13	44.8	0.476	0.449	325	859
CGGMPE_01760	EF-W5	323	1192	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.5e-14	51.3	0.791	0.408	1	486
CGGMPE_01935	EF-W5	356	156	Veles__VlsC1	2.6e-36	122.3	0.966	0.962	3	152
CGGMPE_01935	EF-W5	356	156	Veles__VlsC2	1.6e-36	123.0	0.973	0.962	4	153
CGGMPE_03125	EF-W5	587	174	PD-T4-9__PD-T4-9_A	1.1e-07	29.0	0.727	0.776	10	144
CGGMPE_03135	EF-W5	589	149	PD-T4-9__PD-T4-9_C	7.6e-14	49.4	0.878	0.805	29	148
CGGMPE_03445	EF-W5	650	177	DEDDh_I_II_III_IV_V_VI_1	8.5e-38	127.4	0.988	0.87	5	158
CGGMPE_03645	EF-W5	690	1045	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	3.7e-13	46.7	0.773	0.471	5	496
CGGMPE_03645	EF-W5	690	1045	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.6e-15	53.6	0.799	0.757	16	806
CGGMPE_03785	EF-W5	718	869	recD_IV-D_1	4e-83	277.2	0.857	0.732	117	752
CGGMPE_04220	EF-W5	805	382	Dnd__DndA	8.2e-35	117.8	0.828	0.838	5	324
CGGMPE_04580	EF-W5	874	589	PsyrTA__PsyrT	5.8e-111	369.1	0.514	0.586	4	348
CGGMPE_04895	EF-W5	937	411	Dnd__DndA	1.9e-45	152.8	0.865	0.835	24	366
CGGMPE_04920	EF-W5	942	116	DS-15__DS-15B	2.9e-32	108.7	0.917	0.966	2	113
CGGMPE_04925	EF-W5	943	290	DS-15__DS-15C	1.0999999999999999e-53	179.4	0.951	0.748	6	222
CGGMPE_04950	EF-W5	948	1451	DEDDh_I_II_III_IV_V_VI_1	3.0000000000000003e-46	154.9	0.994	0.108	427	582
CGGMPE_04965	EF-W5	951	923	csf4_IV-A_1	7e-21	71.8	0.578	0.395	522	886
CGGMPE_04965	EF-W5	951	923	DEDDh_I_II_III_IV_V_VI_1	2.2e-45	152.1	0.988	0.168	9	163
CGGMPE_05045	EF-W5	967	868	Dodola__DolB	2.7e-23	80.0	0.68	0.319	449	725
CGGMPE_05670	EF-W5	1090	400	RM_Type_II__Type_II_MTases_FAM_8	2.5e-09	34.1	0.517	0.315	251	376
CGGMPE_05670	EF-W5	1090	400	RM_Type_II__Type_II_MTases_FAM_1	6.2e-47	157.7	0.905	0.57	158	385
CGGMPE_05670	EF-W5	1090	400	RM_Type_II__Type_II_MTases_FAM_3	3.3e-48	161.8	0.884	0.542	165	381
CGGMPE_05820	EF-W5	1119	322	Abi2__Abi_2	7.6e-40	134.5	0.989	0.602	30	223
CGGMPE_05820	EF-W5	1119	322	AbiD__AbiD	8.6e-54	180.4	0.885	0.916	6	300
CGGMPE_05880	EF-W5	1130	381	Dnd__DndA	1.0000000000000001e-109	364.3	0.963	0.95	4	365
CGGMPE_05890	EF-W5	1132	374	SspBCDE__SspD	9.8e-06	22.6	0.436	0.358	5	138
CGGMPE_06030	EF-W5	1160	335	RM_Type_II__Type_II_MTases_FAM_13	1.1e-09	34.8	0.424	0.704	63	298
CGGMPE_06030	EF-W5	1160	335	RM_Type_II__Type_II_MTases_FAM_33	1e-15	54.9	0.429	0.63	100	310
CGGMPE_06145	EF-W5	1182	274	Thoeris__ThsB_Global	2.7e-11	41.0	0.751	0.628	3	174
CGGMPE_06145	EF-W5	1182	274	SpbK__SpbK	9e-48	160.9	0.448	0.613	3	170
