sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
EF-W5_Hachiman_4	Hachiman	Hachiman	Defense	CGGMPE_00540	CGGMPE_00545	CGGMPE_00540,CGGMPE_00545	2	Hachiman__HamA_1,Hachiman__HamB
EF-W5_Lamassu-Cap4_nuclease_6	Lamassu-Fam	Lamassu-Cap4_nuclease	Defense	CGGMPE_01300	CGGMPE_01315	CGGMPE_01300,CGGMPE_01305,CGGMPE_01315	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease
EF-W5_RM_Type_IIG_12	RM	RM_Type_IIG	Defense	CGGMPE_01575	CGGMPE_01575	CGGMPE_01575	1	RM_Type_IIG__Type_IIG_2
EF-W5_PD-T4-9_8	PD-T4-9	PD-T4-9	Defense	CGGMPE_03125	CGGMPE_03135	CGGMPE_03125,CGGMPE_03135	2	PD-T4-9__PD-T4-9_A,PD-T4-9__PD-T4-9_C
EF-W5_AbiD_1	AbiD	AbiD	Defense	CGGMPE_05820	CGGMPE_05820	CGGMPE_05820	1	AbiD__AbiD
EF-W5_SpbK_11	SpbK	SpbK	Defense	CGGMPE_06145	CGGMPE_06145	CGGMPE_06145	1	SpbK__SpbK
EF-W5_AbiJ_2	AbiJ	AbiJ	Defense	CGGMPE_06505	CGGMPE_06505	CGGMPE_06505	1	AbiJ__AbiJ
EF-W5_HEC-05_3	HEC-05	HEC-05	Defense	CGGMPE_09830	CGGMPE_09830	CGGMPE_09830	1	HEC-05__HEC-05
EF-W5_SanaTA_10	SanaTA	SanaTA	Defense	CGGMPE_11870	CGGMPE_11875	CGGMPE_11870,CGGMPE_11875	2	SanaTA__SanaA,SanaTA__SanaT_1
EF-W5_Nhi_7	Nhi	Nhi	Defense	CGGMPE_13125	CGGMPE_13125	CGGMPE_13125	1	Nhi__Nhi
EF-W5_RosmerTA_9	RosmerTA	RosmerTA	Defense	CGGMPE_14390	CGGMPE_14395	CGGMPE_14390,CGGMPE_14395	2	RosmerTA__RmrA_2623274509,RosmerTA__RmrT_2677172838
