# Annotated with Bakta
# Software: v1.9.4
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1344	+	MIJGKE_00005	dnaA	chromosomal replication initiator protein DnaA	COG:COG0593, COG:L, GO:0003677, GO:0003688, GO:0005524, GO:0005737, GO:0006270, GO:0006275, GO:0016887, KEGG:K02313, SO:0001217, UniRef:UniRef50_Q890K8, UniRef:UniRef90_Q839Z5
contig_1	oriC	1345	1545	?			origin of replication	
contig_1	cds	1546	2676	+	MIJGKE_00010	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, GO:0003887, GO:0006260, GO:0009360, KEGG:K02338, RefSeq:WP_002356014.1, SO:0001217, UniParc:UPI000005BC7D, UniRef:UniRef100_A0A640NCH5, UniRef:UniRef50_C2FB33, UniRef:UniRef90_A0A640NCH5
contig_1	cds	3256	3501	+	MIJGKE_00015	yaaA	Ribosome-associated protein YbcJ, S4-like RNA-binding protein	COG:COG2501, COG:J, RefSeq:WP_002356015.1, SO:0001217, UniParc:UPI000005BC7E, UniRef:UniRef100_A0A640NCP0, UniRef:UniRef50_E6LEK5, UniRef:UniRef90_A0A1L5KG86
contig_1	cds	3488	4615	+	MIJGKE_00020	recF	DNA replication/repair protein RecF	COG:COG1195, COG:L, GO:0003697, GO:0005524, GO:0005737, GO:0006260, GO:0006281, GO:0009432, RefSeq:WP_002356016.1, SO:0001217, UniParc:UPI000005BC7F, UniRef:UniRef100_Q839Z2, UniRef:UniRef50_Q8DRR3, UniRef:UniRef90_Q839Z2
contig_1	cds	4612	6561	+	MIJGKE_00025	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	COG:COG0187, COG:L, EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0005737, GO:0006261, GO:0006265, GO:0009330, GO:0046872, RefSeq:WP_002359210.1, SO:0001217, UniParc:UPI00000B6D43, UniRef:UniRef100_Q839Z1, UniRef:UniRef50_Q839Z1, UniRef:UniRef90_Q839Z1
contig_1	cds	6617	9118	+	MIJGKE_00030	gyrA	DNA gyrase subunit A	EC:5.6.2.2, GO:0003677, GO:0003916, GO:0003918, GO:0005524, GO:0006259, GO:0006265, RefSeq:WP_002383521.1, SO:0001217, UniParc:UPI00019C75A4, UniRef:UniRef100_A0A1J6YID4, UniRef:UniRef50_Q2FKQ0, UniRef:UniRef90_A0A242CDZ9
contig_1	cds	9293	9595	+	MIJGKE_00035	rpsF	30S ribosomal protein S6	COG:COG0360, COG:J, GO:0000314, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022627, GO:1990904, RefSeq:WP_002356019.1, SO:0001217, UniParc:UPI000005BC82, UniRef:UniRef100_Q839Z0, UniRef:UniRef50_Q839Z0, UniRef:UniRef90_Q839Z0
contig_1	cds	9640	10206	+	MIJGKE_00040	ssb	Single-stranded DNA-binding protein	COG:COG0629, COG:L, GO:0003697, GO:0006260, GO:0006281, GO:0006310, RefSeq:WP_002364599.1, SO:0001217, UniParc:UPI000175BF93, UniRef:UniRef100_A0A1B4XKB5, UniRef:UniRef50_Q839Y9, UniRef:UniRef90_Q839Y9
contig_1	cds	10232	10471	+	MIJGKE_00045	rpsR	30S ribosomal protein S18	COG:COG0238, COG:J, GO:0000314, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022627, GO:1990904, KEGG:K02963, RefSeq:WP_002356021.1, SO:0001217, UniParc:UPI000005BC84, UniRef:UniRef100_Q839Y8, UniRef:UniRef50_Q839Y8, UniRef:UniRef90_Q839Y8
contig_1	cds	10676	12652	+	MIJGKE_00050	yybT_I440S	cyclic dinucleotide phosphodiesterase YybT	COG:COG3887, COG:T, RefSeq:WP_002356022.1, SO:0001217, UniParc:UPI000005BC85, UniRef:UniRef100_A0A7H0FP36, UniRef:UniRef50_A0A377KI28, UniRef:UniRef90_S4DL11
contig_1	cds	12658	13110	+	MIJGKE_00055	rplI	50S ribosomal protein L9	COG:COG0359, COG:J, GO:0000311, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022625, GO:1990904, RefSeq:WP_002356023.1, SO:0001217, UniParc:UPI000005BC86, UniRef:UniRef100_Q839Y6, UniRef:UniRef50_B9DPY3, UniRef:UniRef90_Q839Y6
contig_1	cds	13384	14751	+	MIJGKE_00060	dnaB	replicative DNA helicase	COG:COG0305, COG:L, EC:3.6.4.12, GO:0003677, GO:0003678, GO:0005524, GO:0006260, RefSeq:WP_002381331.1, SO:0001217, UniParc:UPI000005BC87, UniRef:UniRef100_S4CEI2, UniRef:UniRef50_A0A0G9GJB4, UniRef:UniRef90_E2YU58
contig_1	cds	14988	16280	+	MIJGKE_00065	purA	adenylosuccinate synthase	COG:COG0104, COG:F, EC:6.3.4.4, GO:0000287, GO:0004019, GO:0005525, GO:0005737, GO:0006164, GO:0044208, RefSeq:WP_002359213.1, SO:0001217, UniParc:UPI000005BC88, UniRef:UniRef100_Q839Y4, UniRef:UniRef50_P29726, UniRef:UniRef90_Q839Y4
contig_1	cds	16405	17274	+	MIJGKE_00070	degV	Fatty acid-binding protein DegV (function unknown)	COG:COG1307, COG:I, RefSeq:WP_002359214.1, SO:0001217, UniParc:UPI000005BC89, UniRef:UniRef100_A0A640NCQ0, UniRef:UniRef50_A0A242LIJ5, UniRef:UniRef90_A0A640NCQ0
contig_1	cds	17314	18945	-	MIJGKE_00075	uup	ATPase components of ABC transporters with duplicated ATPase domains	COG:COG0488, COG:R, RefSeq:WP_002359215.1, SO:0001217, UniParc:UPI000005BC8A, UniRef:UniRef100_A0A1B4XKC3, UniRef:UniRef50_O31716, UniRef:UniRef90_A0A1G1SFE1
contig_1	cds	19198	22083	+	MIJGKE_00080	levR	Transcriptional regulatory protein LevR, contains PRD, AAA+ and EIIA domains	COG:COG3933, COG:K, RefSeq:WP_002356028.1, SO:0001217, UniParc:UPI0001B1DA55, UniRef:UniRef100_A0A640NCM1, UniRef:UniRef50_A0A3D1J8Z8, UniRef:UniRef90_R3KTZ5
contig_1	cds	22286	22798	+	MIJGKE_00085	agaB	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB	COG:COG3444, COG:G, RefSeq:WP_002385473.1, SO:0001217, UniParc:UPI000005BC8C, UniRef:UniRef100_A0A640NCH6, UniRef:UniRef50_F4BLT2, UniRef:UniRef90_E2YU65
contig_1	cds	23033	24025	+	MIJGKE_00090	agaB	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB	COG:COG3444, COG:G, EC:2.7.1.191, KEGG:K02794, RefSeq:WP_002356030.1, SO:0001217, UniParc:UPI000005BC8D, UniRef:UniRef100_A0A9P2X612, UniRef:UniRef50_Q5XAF5, UniRef:UniRef90_S4CAU7
contig_1	cds	24060	24863	+	MIJGKE_00095	manY	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IIC component	COG:COG3715, COG:G, RefSeq:WP_002356031.1, SO:0001217, UniParc:UPI000005BC8E, UniRef:UniRef100_A0A9P2K5G0, UniRef:UniRef50_A0A158SMB5, UniRef:UniRef90_F4BMB1
contig_1	cds	24886	25797	+	MIJGKE_00100	manZ	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IID component	COG:COG3716, COG:G, RefSeq:WP_002356032.1, SO:0001217, UniParc:UPI000005BC8F, UniRef:UniRef100_A0A640NCM5, UniRef:UniRef50_A0A0F2CKH3, UniRef:UniRef90_A0A449E4Z2
contig_1	cds	25959	26336	+	MIJGKE_00105		DUF956 domain-containing protein	COG:COG4687, COG:S, RefSeq:WP_002356033.1, SO:0001217, UniParc:UPI000005BC90, UniRef:UniRef100_A0A640NCL2, UniRef:UniRef50_A0A0D0G8L0, UniRef:UniRef90_S4FBS9
contig_1	cds	26584	27111	+	MIJGKE_00110		Acid-resistance membrane protein	KEGG:K21908, RefSeq:WP_002356034.1, SO:0001217, UniParc:UPI000005BC91, UniRef:UniRef100_A0A640NCG5, UniRef:UniRef50_R2T6F0, UniRef:UniRef90_A0A3N3FIP0
contig_1	cds	27159	27362	-	MIJGKE_00115		putative protein	RefSeq:WP_010708454.1, SO:0001217, UniParc:UPI000300D27E, UniRef:UniRef100_C7D0D8, UniRef:UniRef50_C7D0D8, UniRef:UniRef90_C7D0D8
contig_1	cds	27560	28330	+	MIJGKE_00120	rpiR	DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains	COG:COG1737, COG:K, RefSeq:WP_002387434.1, SO:0001217, UniParc:UPI000005BC93, UniRef:UniRef100_A0A8S6XBB8, UniRef:UniRef50_R2MAC4, UniRef:UniRef90_S4CEL7
contig_1	cds	28479	30047	+	MIJGKE_00125	malX	Phosphotransferase system IIB components	COG:COG1264, COG:G, RefSeq:WP_002359218.1, SO:0001217, UniParc:UPI0001B1DE65, UniRef:UniRef100_C7D0E0, UniRef:UniRef50_K8E1T8, UniRef:UniRef90_A0A8B3RVI1
contig_1	cds	30071	31276	+	MIJGKE_00130	malY	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities	COG:COG1168, COG:ER, SO:0001217, UniParc:UPI0001B1DE66, UniRef:UniRef100_C7D0E1, UniRef:UniRef50_A0A2X0QVZ1, UniRef:UniRef90_E2YU75
contig_1	cds	31376	31756	+	MIJGKE_00135	ridA	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	COG:COG0251, COG:V, RefSeq:WP_002356039.1, SO:0001217, UniParc:UPI000005BC96, UniRef:UniRef100_A0A9P2L6B4, UniRef:UniRef50_O34133, UniRef:UniRef90_R3K363
contig_1	cds	31950	34541	+	MIJGKE_00140	mprF	bifunctional lysylphosphatidylglycerol flippase/synthetase MprF	COG:COG2898, COG:I, EC:2.3.2.3, KEGG:K14205, RefSeq:WP_002359220.1, SO:0001217, UniParc:UPI0001B1DEAB, UniRef:UniRef100_C7D0E3, UniRef:UniRef50_A0A1E5KXS3, UniRef:UniRef90_V7ZM10
contig_1	cds	35092	35598	+	MIJGKE_00145		Yip1 domain-containing protein	SO:0001217, UniParc:UPI0001B25937, UniRef:UniRef100_A0A9P2LMX3, UniRef:UniRef50_S4CEM8, UniRef:UniRef90_A0A4U3JZ89
contig_1	cds	35867	38488	-	MIJGKE_00150	yfhO	Uncharacterized membrane protein YfhO	COG:COG4485, COG:S, RefSeq:WP_002359225.1, SO:0001217, UniParc:UPI0001B1DEAC, UniRef:UniRef100_C7D0E4, UniRef:UniRef50_S1QYU6, UniRef:UniRef90_C7D0E4
contig_1	cds	39034	39543	-	MIJGKE_00155	dfsB	DUF1706 domain-containing protein	COG:COG4283, COG:R, RefSeq:WP_002359227.1, SO:0001217, UniParc:UPI0001B1DEAD, UniRef:UniRef100_C7D0E6, UniRef:UniRef50_Q5WJG5, UniRef:UniRef90_S4DL55
contig_1	cds	39551	40018	-	MIJGKE_00160	phnB	Zn-dependent glyoxalase, PhnB family	COG:C, COG:COG2764, RefSeq:WP_002359228.1, SO:0001217, UniParc:UPI00019F6D44, UniRef:UniRef100_A0A1L6P9R7, UniRef:UniRef50_S0JU63, UniRef:UniRef90_R3KU09
contig_1	cds	40095	41030	+	MIJGKE_00165	yobV	putative DNA-binding transcriptional regulator YobV, contains HTH and WYL domains	COG:COG2378, COG:K, SO:0001217, UniParc:UPI0001B1DEAE, UniRef:UniRef100_A0A9P2NJL5, UniRef:UniRef50_S4CEN1, UniRef:UniRef90_S4CEN1
contig_1	cds	41122	42369	-	MIJGKE_00170	proA	glutamate-5-semialdehyde dehydrogenase	COG:COG0014, COG:E, EC:1.2.1.41, GO:0004350, GO:0005737, GO:0006561, GO:0016620, GO:0050661, GO:0055129, SO:0001217, UniParc:UPI0001B1DEAF, UniRef:UniRef100_C7D0E9, UniRef:UniRef50_Q97E62, UniRef:UniRef90_Q839W3
contig_1	cds	42362	43177	-	MIJGKE_00175	proB	Glutamate 5-kinase	COG:COG0263, COG:E, EC:2.7.2.11, GO:0004349, GO:0005524, GO:0005737, GO:0016310, GO:0055129, RefSeq:WP_002389550.1, SO:0001217, UniParc:UPI000005BC9E, UniRef:UniRef100_Q839W2, UniRef:UniRef50_Q1J5F5, UniRef:UniRef90_Q839W2
contig_1	cds	43503	43982	+	MIJGKE_00180	dut	dUTP pyrophosphatase (dUTPase)	COG:COG0756, COG:FV, RefSeq:WP_002389647.1, SO:0001217, UniParc:UPI000005BC9F, UniRef:UniRef100_A0A7H0FP60, UniRef:UniRef50_E4LAV4, UniRef:UniRef90_S4GMU8
contig_1	cds	44061	45431	+	MIJGKE_00185	radA	DNA repair protein RadA	COG:COG1066, COG:L, GO:0005524, GO:0006281, RefSeq:WP_002356050.1, SO:0001217, UniParc:UPI000175C0B2, UniRef:UniRef100_A0A640NCK8, UniRef:UniRef50_Q48761, UniRef:UniRef90_A0A640NCK8
contig_1	cds	45535	46680	+	MIJGKE_00190		Uncharacterized conserved protein YacL, contains PIN and TRAM domains	COG:COG4956, COG:R, RefSeq:WP_002368622.1, SO:0001217, UniParc:UPI000005BCA1, UniRef:UniRef100_A0A640NCA4, UniRef:UniRef50_A0A267HVI9, UniRef:UniRef90_C7D0F3
contig_1	cds	46699	47172	+	MIJGKE_00195	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	COG:COG0245, COG:I, EC:4.6.1.12, GO:0008685, GO:0016114, GO:0019288, GO:0046872, RefSeq:WP_010784260.1, SO:0001217, UniParc:UPI000330E8B4, UniRef:UniRef100_UPI000330E8B4, UniRef:UniRef50_Q8YAB4, UniRef:UniRef90_Q839V8
contig_1	cds	47225	48682	+	MIJGKE_00200	gltX	glutamate--tRNA ligase	COG:COG0008, COG:J, EC:6.1.1.17, GO:0000049, GO:0004818, GO:0005524, GO:0005737, GO:0006424, GO:0008270, GO:0009332, RefSeq:WP_002381335.1, SO:0001217, UniParc:UPI0001B2B3B4, UniRef:UniRef100_A0A8S6XLD9, UniRef:UniRef50_Q81J61, UniRef:UniRef90_Q839V7
contig_1	ncRNA-region	48681	48887	+			T-box leader	RFAM:RF00230, SO:0000140
contig_1	cds	48952	49491	+	MIJGKE_00205	epsC	serine O-acetyltransferase EpsC	COG:COG1045, COG:E, GO:0006535, GO:0009001, SO:0001217, UniRef:UniRef50_A0A0C1HK44, UniRef:UniRef90_A0A828QKX0
contig_1	cds	49484	50896	+	MIJGKE_00210	cysS	cysteine--tRNA ligase	COG:COG0215, COG:J, EC:6.1.1.16, GO:0004817, GO:0005524, GO:0005737, GO:0006423, GO:0008270, RefSeq:WP_142423856.1, SO:0001217, UniParc:UPI0011571082, UniRef:UniRef100_UPI0011571082, UniRef:UniRef50_B7GJ46, UniRef:UniRef90_Q839V5
contig_1	cds	50893	51291	+	MIJGKE_00215	mrnC	Mini-ribonuclease 3	COG:COG1939, COG:J, EC:3.1.26.-, GO:0004525, GO:0005737, GO:0006364, GO:0019843, RefSeq:WP_002356056.1, SO:0001217, UniParc:UPI000005BCA6, UniRef:UniRef100_Q839V4, UniRef:UniRef50_Q839V4, UniRef:UniRef90_Q839V4
contig_1	cds	51281	52138	+	MIJGKE_00220	rlmB	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	COG:COG0566, COG:J, GO:0008173, GO:0009451, RefSeq:WP_002356057.1, SO:0001217, UniParc:UPI00019F355E, UniRef:UniRef100_X5NVH2, UniRef:UniRef50_K0NC34, UniRef:UniRef90_A0A4V6XAS2
