protein	length	mean_plddt	ptm
Ef-P16-208_CDS_0001_terminase_large_subunit	490	89.24	0.8
Ef-P16-208_CDS_0002_virion_structural_protein	262	79.1	0.56
Ef-P16-208_CDS_0003_hypothetical_protein	238	83.41	0.65
Ef-P16-208_CDS_0004_hypothetical_protein	114	93.66	0.84
Ef-P16-208_CDS_0005_endolysin	289	86.11	0.63
Ef-P16-208_CDS_0006_transglycosylase	212	70.39	0.58
Ef-P16-208_CDS_0007_portal_protein	114	94.38	0.86
Ef-P16-208_CDS_0008_hypothetical_protein	31	86.28	0.42
Ef-P16-208_CDS_0009_portal_protein	509	77.21	0.67
Ef-P16-208_CDS_0010_hypothetical_protein	37	79.24	0.45
Ef-P16-208_CDS_0011_head_maturation_protease	267	73.62	0.56
Ef-P16-208_CDS_0012_hypothetical_protein	312	61.45	0.27
Ef-P16-208_CDS_0013_major_head_protein	464	68.89	0.69
Ef-P16-208_CDS_0014_hypothetical_protein	87	70.88	0.47
Ef-P16-208_CDS_0015_tail_fiber_protein	299	77.77	0.76
Ef-P16-208_CDS_0016_virion_structural_protein	289	74.62	0.66
Ef-P16-208_CDS_0017_hypothetical_protein	207	84.88	0.75
Ef-P16-208_CDS_0018_hypothetical_protein	281	83.86	0.65
Ef-P16-208_CDS_0019_hypothetical_protein	77	73.98	0.52
Ef-P16-208_CDS_0020_tail_sheath	569	76.07	0.67
Ef-P16-208_CDS_0021_virion_structural_protein	130	81.56	0.63
Ef-P16-208_CDS_0022_hypothetical_protein	54	69.88	0.39
Ef-P16-208_CDS_0023_hypothetical_protein	51	71.47	0.4
Ef-P16-208_CDS_0024_hypothetical_protein	48	94.1	0.75
Ef-P16-208_CDS_0025_tail_assembly_chaperone	157	86.56	0.68
Ef-P16-208_CDS_0026_RNA_polymerase_beta_subunit	191	75.1	0.32
Ef-P16-208_CDS_0027_tail_associated_lysin	1218	59.0	0.41
Ef-P16-208_CDS_0028_tail_protein_with_lysin_activity	1061	80.51	0.59
Ef-P16-208_CDS_0029_tail_fiber_protein	1832	74.71	0.31
Ef-P16-208_CDS_0030_tail_protein	803	90.22	0.5
Ef-P16-208_CDS_0031_tail_fiber_protein	241	89.68	0.7
Ef-P16-208_CDS_0032_hypothetical_protein	48	88.26	0.66
Ef-P16-208_CDS_0033_hypothetical_protein	31	83.15	0.42
Ef-P16-208_CDS_0034_virion_structural_protein	229	73.64	0.59
Ef-P16-208_CDS_0035_hypothetical_protein	178	87.91	0.86
Ef-P16-208_CDS_0036_baseplate_protein	234	82.99	0.59
Ef-P16-208_CDS_0037_baseplate_wedge_subunit	350	88.58	0.74
Ef-P16-208_CDS_0038_hypothetical_protein	803	85.07	0.52
Ef-P16-208_CDS_0039_hypothetical_protein	36	83.78	0.43
Ef-P16-208_CDS_0040_virion_structural_protein	159	91.84	0.84
Ef-P16-208_CDS_0041_hypothetical_protein	1154	81.61	0.43
Ef-P16-208_CDS_0042_hypothetical_protein	68	93.09	0.56
Ef-P16-208_CDS_0043_DNA_helicase	1014	84.58	0.53
Ef-P16-208_CDS_0044_HTH_DNA_binding_protein	542	85.95	0.72
Ef-P16-208_CDS_0045_DnaB-like_replicative_helicase	844	82.34	0.47
Ef-P16-208_CDS_0046_SbcD-like_subunit_of_palindrome_specific_endonuclease	351	92.68	0.82
Ef-P16-208_CDS_0047_SbcC-like_subunit_of_palindrome_specific_endonuclease	630	90.76	0.6
Ef-P16-208_CDS_0048_anti-sigma_factor	221	92.8	0.86
Ef-P16-208_CDS_0049_DNA_primase	352	88.24	0.66
Ef-P16-208_CDS_0050_hypothetical_protein	210	86.52	0.41
Ef-P16-208_CDS_0051_dUTPase	294	90.21	0.76
Ef-P16-208_CDS_0052_dUTPase	76	87.39	0.75
