hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
MIJGKE_00165	EF-W3	33	311	WYL_I_II_III_IV_V_VI_4	1e-26	91.5	0.983	0.534	139	304
MIJGKE_00165	EF-W3	33	311	WYL_I_II_III_IV_V_VI_1	1.1e-46	157.2	0.987	0.997	1	310
MIJGKE_00540	EF-W3	108	720	Hachiman__HamB	3.7e-88	294.2	0.662	0.746	19	555
MIJGKE_00545	EF-W3	109	320	Hachiman__HamA_1	5.3e-27	92.4	0.81	0.866	38	314
MIJGKE_01300	EF-W3	231	467	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	4.2000000000000004e-32	110.1	0.962	0.893	11	427
MIJGKE_01305	EF-W3	232	235	Lamassu-Fam__LmuC_acc_Cap4_nuclease	1.1e-13	49.4	0.945	0.949	1	223
MIJGKE_01315	EF-W3	234	640	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	6.7e-11	38.3	0.457	0.7	34	481
MIJGKE_01315	EF-W3	234	640	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	8.3e-46	154.6	0.758	0.977	8	632
MIJGKE_01430	EF-W3	257	381	Dnd__DndA	2.6000000000000003e-102	340.0	0.979	0.966	2	369
MIJGKE_01510	EF-W3	273	190	WYL_I_II_III_IV_V_VI_1	7.2e-39	131.5	0.594	0.989	1	188
MIJGKE_01575	EF-W3	286	1456	RM_Type_II__Type_II_MTases_FAM_30	5.2e-08	29.1	0.443	0.19	971	1246
MIJGKE_01575	EF-W3	286	1456	RM_Type_IIG__Type_IIG_2	6.8e-169	561.4	0.748	0.53	10	780
MIJGKE_01760	EF-W3	323	1192	Wadjet__JetC_I	6.6e-13	44.8	0.476	0.449	325	859
MIJGKE_01760	EF-W3	323	1192	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.6e-14	51.3	0.791	0.408	1	486
MIJGKE_01935	EF-W3	356	156	Veles__VlsC1	2.7e-36	122.3	0.966	0.962	3	152
MIJGKE_01935	EF-W3	356	156	Veles__VlsC2	1.6e-36	123.0	0.973	0.962	4	153
MIJGKE_03125	EF-W3	587	174	PD-T4-9__PD-T4-9_A	1.2e-07	29.0	0.727	0.776	10	144
MIJGKE_03135	EF-W3	589	149	PD-T4-9__PD-T4-9_C	7.7e-14	49.4	0.878	0.805	29	148
MIJGKE_03445	EF-W3	650	177	DEDDh_I_II_III_IV_V_VI_1	8.6e-38	127.4	0.988	0.87	5	158
MIJGKE_03645	EF-W3	690	1045	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	3.8e-13	46.7	0.773	0.471	5	496
MIJGKE_03645	EF-W3	690	1045	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	1.6e-15	53.6	0.799	0.757	16	806
MIJGKE_03785	EF-W3	718	869	recD_IV-D_1	4.1e-83	277.2	0.857	0.732	117	752
MIJGKE_04220	EF-W3	805	382	Dnd__DndA	8.4e-35	117.8	0.828	0.838	5	324
MIJGKE_04585	EF-W3	875	589	PsyrTA__PsyrT	5.9e-111	369.1	0.514	0.586	4	348
MIJGKE_04900	EF-W3	938	411	Dnd__DndA	1.9e-45	152.8	0.865	0.835	24	366
MIJGKE_04925	EF-W3	943	116	DS-15__DS-15B	3e-32	108.7	0.917	0.966	2	113
MIJGKE_04930	EF-W3	944	290	DS-15__DS-15C	1.0999999999999999e-53	179.4	0.951	0.748	6	222
MIJGKE_04955	EF-W3	949	1451	DEDDh_I_II_III_IV_V_VI_1	3.0000000000000003e-46	154.9	0.994	0.108	427	582
MIJGKE_04970	EF-W3	952	923	csf4_IV-A_1	7.1e-21	71.8	0.578	0.395	522	886
MIJGKE_04970	EF-W3	952	923	DEDDh_I_II_III_IV_V_VI_1	2.2e-45	152.1	0.988	0.168	9	163
MIJGKE_05050	EF-W3	968	868	Dodola__DolB	2.7e-23	80.0	0.68	0.319	449	725
MIJGKE_05675	EF-W3	1091	400	RM_Type_II__Type_II_MTases_FAM_8	2.5e-09	34.1	0.517	0.315	251	376
MIJGKE_05675	EF-W3	1091	400	RM_Type_II__Type_II_MTases_FAM_1	6.299999999999999e-47	157.7	0.905	0.57	158	385
MIJGKE_05675	EF-W3	1091	400	RM_Type_II__Type_II_MTases_FAM_3	3.4e-48	161.8	0.884	0.542	165	381
MIJGKE_05825	EF-W3	1120	322	Abi2__Abi_2	7.7e-40	134.5	0.989	0.602	30	223
MIJGKE_05825	EF-W3	1120	322	AbiD__AbiD	8.7e-54	180.4	0.885	0.916	6	300
MIJGKE_05885	EF-W3	1131	381	Dnd__DndA	1.1e-109	364.3	0.963	0.95	4	365
MIJGKE_05895	EF-W3	1133	374	SspBCDE__SspD	1e-05	22.6	0.436	0.358	5	138
MIJGKE_06035	EF-W3	1161	335	RM_Type_II__Type_II_MTases_FAM_13	1.1e-09	34.8	0.424	0.704	63	298
MIJGKE_06035	EF-W3	1161	335	RM_Type_II__Type_II_MTases_FAM_33	1e-15	54.9	0.429	0.63	100	310
MIJGKE_06150	EF-W3	1183	274	Thoeris__ThsB_Global	2.8e-11	41.0	0.751	0.628	3	174
MIJGKE_06150	EF-W3	1183	274	SpbK__SpbK	9.2e-48	160.9	0.448	0.613	3	170
MIJGKE_06460	EF-W3	1244	380	RT_I_II_III_IV_V_VI_1	2.1e-52	175.3	0.714	0.558	33	244
MIJGKE_06510	EF-W3	1254	276	AbiJ__AbiJ	3.3e-27	93.0	0.47	0.525	124	268
MIJGKE_06945	EF-W3	1341	228	ShosTA__ShosT	5.4e-12	43.3	0.722	0.785	49	227
MIJGKE_07405	EF-W3	1433	142	Lamassu-Fam__LmuC_acc_Lipase	2.3e-05	21.4	0.47	0.577	59	140
MIJGKE_07485	EF-W3	1449	287	PsyrTA__PsyrA	1.6e-34	117.0	0.543	0.746	65	278
MIJGKE_07485	EF-W3	1449	287	ShosTA__ShosA	1.4e-65	218.8	0.894	0.941	13	282
