sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
EF-W3_Hachiman_4	Hachiman	Hachiman	Defense	MIJGKE_00540	MIJGKE_00545	MIJGKE_00540,MIJGKE_00545	2	Hachiman__HamA_1,Hachiman__HamB
EF-W3_Lamassu-Cap4_nuclease_6	Lamassu-Fam	Lamassu-Cap4_nuclease	Defense	MIJGKE_01300	MIJGKE_01315	MIJGKE_01300,MIJGKE_01305,MIJGKE_01315	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease
EF-W3_RM_Type_IIG_12	RM	RM_Type_IIG	Defense	MIJGKE_01575	MIJGKE_01575	MIJGKE_01575	1	RM_Type_IIG__Type_IIG_2
EF-W3_PD-T4-9_8	PD-T4-9	PD-T4-9	Defense	MIJGKE_03125	MIJGKE_03135	MIJGKE_03125,MIJGKE_03135	2	PD-T4-9__PD-T4-9_A,PD-T4-9__PD-T4-9_C
EF-W3_AbiD_1	AbiD	AbiD	Defense	MIJGKE_05825	MIJGKE_05825	MIJGKE_05825	1	AbiD__AbiD
EF-W3_SpbK_11	SpbK	SpbK	Defense	MIJGKE_06150	MIJGKE_06150	MIJGKE_06150	1	SpbK__SpbK
EF-W3_AbiJ_2	AbiJ	AbiJ	Defense	MIJGKE_06510	MIJGKE_06510	MIJGKE_06510	1	AbiJ__AbiJ
EF-W3_HEC-05_3	HEC-05	HEC-05	Defense	MIJGKE_09830	MIJGKE_09830	MIJGKE_09830	1	HEC-05__HEC-05
EF-W3_SanaTA_10	SanaTA	SanaTA	Defense	MIJGKE_12160	MIJGKE_12165	MIJGKE_12160,MIJGKE_12165	2	SanaTA__SanaA,SanaTA__SanaT_1
EF-W3_Nhi_7	Nhi	Nhi	Defense	MIJGKE_13420	MIJGKE_13420	MIJGKE_13420	1	Nhi__Nhi
EF-W3_RosmerTA_9	RosmerTA	RosmerTA	Defense	MIJGKE_14685	MIJGKE_14690	MIJGKE_14685,MIJGKE_14690	2	RosmerTA__RmrA_2623274509,RosmerTA__RmrT_2677172838
