#Annotated with Bakta v1.9.4, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	81456	81761	+	FHNNJA_00365	12.3	6.6		RefSeq:WP_002356099.1, SO:0001217, UniParc:UPI00017A5C12, UniRef:UniRef100_A0A3N3GBV0, UniRef:UniRef50_R3JMI1, UniRef:UniRef90_S4CFQ0
contig_1	81777	82034	+	FHNNJA_00370	9.6	9.9		RefSeq:WP_010783521.1, SO:0001217, UniParc:UPI0002EF6411, UniRef:UniRef100_UPI0002EF6411, UniRef:UniRef50_A0A931AY81, UniRef:UniRef90_S4FLP3
contig_1	83587	83766	+	FHNNJA_00380	6.9	4.6		RefSeq:WP_002381345.1, SO:0001217, UniParc:UPI000005BCC6, UniRef:UniRef100_A0A640NC82, UniRef:UniRef50_A0A640NC82, UniRef:UniRef90_A0A640NC82
contig_1	85400	86335	-	FHNNJA_00395	36.6	5.5		SO:0001217, UniRef:UniRef50_UPI000354689E, UniRef:UniRef90_UPI000354689E
contig_1	86352	86885	-	FHNNJA_00400	21.1	8.7	PF05043.17|Mga	PFAM:PF05043.17
contig_1	128743	128838	-	FHNNJA_00570	3.7	10.3		
contig_1	132725	133120	-	FHNNJA_00590	15.3	4.6		RefSeq:WP_010773887.1, SO:0001217, UniParc:UPI0001FFC35A, UniRef:UniRef100_UPI00019F3425, UniRef:UniRef50_A0A125W748, UniRef:UniRef90_A0A125W748
contig_1	133421	133525	-	FHNNJA_00595	4.0	11.8		
contig_1	134208	134489	+	FHNNJA_00600	10.9	9.0		RefSeq:WP_002381358.1, SO:0001217, UniParc:UPI0001B6DFA9, UniRef:UniRef100_UPI0001B6DFA9, UniRef:UniRef50_UPI0001B6DFA9, UniRef:UniRef90_UPI0001B6DFA9
contig_1	135322	137349	+	FHNNJA_00610	79.2	5.2		RefSeq:WP_002356156.1, SO:0001217, UniParc:UPI0001B1DAFF, UniRef:UniRef100_UPI0021D5E313, UniRef:UniRef50_UPI0021D5E313, UniRef:UniRef90_UPI0021D5E313
contig_1	178789	178992	+	FHNNJA_00820	7.9	9.7		RefSeq:WP_002356174.1, SO:0001217, UniParc:UPI00019F3391, UniRef:UniRef100_A0A3N3G990, UniRef:UniRef50_A0A3N3G990, UniRef:UniRef90_A0A3N3G990
contig_1	180687	181001	+	FHNNJA_00835	12.5	5.7		RefSeq:WP_002356177.1, SO:0001217, UniParc:UPI00017A5C16, UniRef:UniRef100_A0A3N3S475, UniRef:UniRef50_A0A3N3S475, UniRef:UniRef90_A0A3N3S475
contig_1	322795	323124	-	FHNNJA_01585	12.4	8.7		RefSeq:WP_002381040.1, SO:0001217, UniParc:UPI000005C82A, UniRef:UniRef100_A0A640MJL0, UniRef:UniRef50_S1NDD3, UniRef:UniRef90_A0A179ESR1
contig_1	324234	324542	-	FHNNJA_01595	12.3	9.4		RefSeq:WP_002381042.1, SO:0001217, UniParc:UPI000005C828, UniRef:UniRef100_A0A640MJM3, UniRef:UniRef50_A0A179ES03, UniRef:UniRef90_A0A640MJM3
contig_1	325041	328673	+	FHNNJA_01605	141.1	6.1		RefSeq:WP_002381044.1, SO:0001217, UniParc:UPI0001B6DD68, UniRef:UniRef100_UPI0001B6DD68, UniRef:UniRef50_Q82Z55, UniRef:UniRef90_Q82Z55
contig_1	461671	461985	+	FHNNJA_02240	11.5	4.6		RefSeq:WP_002381099.1, SO:0001217, UniParc:UPI0001B6D8AE, UniRef:UniRef100_UPI0001B6D8AE, UniRef:UniRef50_UPI00129C3F8B, UniRef:UniRef90_UPI00129C3F8B
contig_1	462100	463377	+	FHNNJA_02245	47.0	8.9		RefSeq:WP_002381100.1, SO:0001217, UniParc:UPI0001B6D8AF, UniRef:UniRef100_UPI0001B6D8AF, UniRef:UniRef50_UPI0001B6D8AF, UniRef:UniRef90_UPI0001B6D8AF
contig_1	477353	477583	+	FHNNJA_02330	9.0	9.0		RefSeq:WP_002385239.1, SO:0001217, UniParc:UPI00019F325A, UniRef:UniRef100_A0A1Q1FXU8, UniRef:UniRef50_Q82ZJ8, UniRef:UniRef90_Q82ZJ8
contig_1	480947	482083	+	FHNNJA_02355	44.0	5.8		RefSeq:WP_002381111.1, SO:0001217, UniParc:UPI0001B6D8B8, UniRef:UniRef100_UPI0001B6D8B8, UniRef:UniRef50_R3J230, UniRef:UniRef90_R3J230
contig_1	495496	495642	+	FHNNJA_02435	5.7	11.1		
contig_1	551357	551581	+	FHNNJA_02675	8.3	9.1		RefSeq:WP_002367334.1, SO:0001217, UniParc:UPI0001B6D986, UniRef:UniRef100_S4FJC0, UniRef:UniRef50_R3J1S7, UniRef:UniRef90_S4C8L5
contig_1	565339	565545	+	FHNNJA_02750	7.9	10.3		
contig_1	791480	791656	-	FHNNJA_03865	6.8	10.2		RefSeq:WP_002356530.1, SO:0001217, UniParc:UPI000005C607, UniRef:UniRef100_X5NYD7, UniRef:UniRef50_A0A1E5KTQ8, UniRef:UniRef90_X5NYD7
contig_1	894462	894689	+	FHNNJA_04360	8.5	5.0		RefSeq:WP_002362220.1, SO:0001217, UniParc:UPI000005C577, UniRef:UniRef100_A0A640MJT4, UniRef:UniRef50_A0A1J6XWS4, UniRef:UniRef90_A0A1J6XWS4
contig_1	980750	980902	+	FHNNJA_04795	5.7	6.5	PF13443.10|HTH_26	PFAM:PF13443.10
contig_1	997690	999066	+	FHNNJA_04865	52.9	4.9		RefSeq:WP_002381594.1, SO:0001217, UniParc:UPI0001B6DF55, UniRef:UniRef100_UPI0001B6DF55, UniRef:UniRef50_R3GVK0, UniRef:UniRef90_R3GVK0
contig_1	1006956	1007174	+	FHNNJA_04900	7.6	4.9		SO:0001217, UniParc:UPI00019F6CD8, UniRef:UniRef100_A0A1B4XQA3, UniRef:UniRef50_Q831X7, UniRef:UniRef90_Q831X7
contig_1	1066990	1067850	+	FHNNJA_05230	32.9	5.6		RefSeq:WP_002369895.1, SO:0001217, UniParc:UPI0001B2BB01, UniRef:UniRef100_A0A6I4Y606, UniRef:UniRef50_A0A6I4Y606, UniRef:UniRef90_A0A6I4Y606
contig_1	1084314	1084487	+	FHNNJA_05330	6.6	4.8		RefSeq:WP_174088278.1, SO:0001217, UniParc:UPI000A23912F, UniRef:UniRef100_UPI000A23912F, UniRef:UniRef50_A0A097BYC2, UniRef:UniRef90_A0A097BYC2
contig_1	1156806	1157096	+	FHNNJA_05645	10.7	4.1		RefSeq:WP_002359936.1, SO:0001217, UniParc:UPI0001B1E02C, UniRef:UniRef100_A0A1G1SF24, UniRef:UniRef50_S0KEY0, UniRef:UniRef90_S4FTJ4
contig_1	1158323	1158502	-	FHNNJA_05655	7.0	9.2		RefSeq:WP_002383739.1, SO:0001217, UniParc:UPI00019C71D2, UniRef:UniRef100_A0A1Q1FVE3, UniRef:UniRef50_S4FLL7, UniRef:UniRef90_S4FLL7
contig_1	1250023	1250379	-	FHNNJA_06085	14.1	4.7		RefSeq:WP_002357135.1, SO:0001217, UniParc:UPI000005C377, UniRef:UniRef100_A0A1B4XPP0, UniRef:UniRef50_A0A8S6XM11, UniRef:UniRef90_A0A8S6XM11
contig_1	1285415	1285687	+	FHNNJA_06255	10.8	9.6	PF04397.19|LytTR	PFAM:PF04397.19
contig_1	1444494	1445192	+	FHNNJA_07045	28.2	5.1		RefSeq:WP_002360218.1, SO:0001217, UniParc:UPI0001B1E17B, UniRef:UniRef100_S4GM89, UniRef:UniRef50_S4BW71, UniRef:UniRef90_E2YUR3
contig_1	1547749	1547943	-	FHNNJA_07530	7.5	9.8		RefSeq:WP_002357574.1, SO:0001217, UniParc:UPI000005C232, UniRef:UniRef100_A0A1B4XNW2, UniRef:UniRef50_A0A1B4XNW2, UniRef:UniRef90_A0A1B4XNW2
contig_1	1585663	1585965	-	FHNNJA_07735	11.4	9.1		RefSeq:WP_002357636.1, SO:0001217, UniParc:UPI00019F6CE3, UniRef:UniRef100_S4D842, UniRef:UniRef50_S4D842, UniRef:UniRef90_S4D842
contig_1	1604923	1605117	-	FHNNJA_07820	7.5	9.6	PF08279.16|HTH_11	PFAM:PF08279.16
contig_1	1680999	1681310	+	FHNNJA_08165	12.2	9.4		RefSeq:WP_002357740.1, SO:0001217, UniParc:UPI000005C172, UniRef:UniRef100_A0A1B4XNH6, UniRef:UniRef50_E2YWZ3, UniRef:UniRef90_E2YWZ3
contig_1	1726888	1727586	-	FHNNJA_08370	23.8	10.1		RefSeq:WP_002357785.1, SO:0001217, UniParc:UPI00017A5C71, UniRef:UniRef100_UPI001E13F160, UniRef:UniRef50_A0A4U3M6A5, UniRef:UniRef90_A0A4U3M6A5
contig_1	1727612	1728310	-	FHNNJA_08375	26.7	9.8		RefSeq:WP_002357786.1, SO:0001217, UniParc:UPI0001B1D9F7, UniRef:UniRef100_UPI0001B1D9F7, UniRef:UniRef50_UPI0001B1D9F7, UniRef:UniRef90_UPI0001B1D9F7
contig_1	1748748	1748927	-	FHNNJA_08450	6.9	10.0		RefSeq:WP_002357804.1, SO:0001217, UniParc:UPI000005C140, UniRef:UniRef100_A0A9P2GE36, UniRef:UniRef50_R2QVI8, UniRef:UniRef90_A0A9P2GE36
contig_1	1798001	1798231	-	FHNNJA_08715	9.1	10.1		RefSeq:WP_002393873.1, SO:0001217, UniParc:UPI0001F0B53C, UniRef:UniRef100_A0A0M2AA48, UniRef:UniRef50_R3KL61, UniRef:UniRef90_A0A4U3MTT0
contig_1	1817535	1817741	-	FHNNJA_08800	7.5	9.5		RefSeq:WP_002357875.1, SO:0001217, UniParc:UPI000005C0FF, UniRef:UniRef100_A0A640MJ30, UniRef:UniRef50_A0A828QTV7, UniRef:UniRef90_A0A828QTV7
contig_1	1822830	1822937	-	FHNNJA_08830	4.0	11.1		SO:0001217, UniParc:UPI000005C0FB, UniRef:UniRef100_A0A1G1SEJ2, UniRef:UniRef50_A0A1G1SEJ2, UniRef:UniRef90_A0A1G1SEJ2
contig_1	1823001	1823672	-	FHNNJA_08835	24.9	5.5		SO:0001217, UniParc:UPI000005C0FA, UniRef:UniRef100_A0A640MIZ3, UniRef:UniRef50_R3I970, UniRef:UniRef90_R3I970
