system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
9,contig_1,cas_type_II-A,contig_1_459,PDLC00975,cas9_maka_4_II,Cas9,0,0,0.997,0.997,472228,476241,+,-,459,2745,"PDLC01256,cd09643, 1, 7.6e-243, 0.779, 0.997 | PDLC01580,mkCas0193, 1, 5.5e-280, 0.997, 0.997 | PDLC00973,cas_Csn1, 1, 4e-283, 0.779, 0.996 | PDLC01104,icity0002, 1, 1.8e-06, 0.735, 0.644 | PDLC01104,icity0002, 2, 2e-31, 0.104, 0.799 | PDLC01460,COG3513, 1, 1.4e-276, 0.996, 0.997 | PDLC00975,cas9_maka_4_II, 1, 0, 0.997, 0.997","PDLC00975, cas9_maka_4_II, 0, 0.997, 0.997 | PDLC00973, cas_Csn1, 4e-283, 0.779, 0.996 | PDLC01580, mkCas0193, 5.5e-280, 0.997, 0.997 | PDLC01460, COG3513, 1.4e-276, 0.996, 0.997 | PDLC01256, cd09643, 7.6e-243, 0.779, 0.997"
9,contig_1,cas_type_II-A,contig_1_460,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,1.9e-105,2.2999999999999997e-105,0.969,0.8,476242,477108,+,-,460,2745,"PDLC02061,Cas1_II_WP_078484493.1, 1, 2.3e-105, 0.969, 0.8 | PDLC02062,Cas1_II_WP_122951193.1, 1, 1.2e-13, 0.869, 0.883","PDLC02061, Cas1_II_WP_078484493.1, 2.3e-105, 0.969, 0.8 | PDLC02062, Cas1_II_WP_122951193.1, 1.2e-13, 0.869, 0.883"
9,contig_1,cas_type_II-A,contig_1_461,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,6.499999999999999e-43,6.999999999999999e-43,0.973,0.752,477105,477434,+,-,461,2745,"PDLC02073,Cas2_II_WP_029776276.1, 1, 1.9e-30, 0.436, 0.98 | PDLC02072,Cas2_II_WP_038817100.1, 1, 2.5e-35, 0.636, 0.972 | PDLC02071,Cas2_II_WP_086428212.1, 1, 6.3e-30, 0.845, 0.969 | PDLC02068,Cas2_II_WP_167337171.1, 1, 7e-43, 0.973, 0.752 | PDLC02069,Cas2_II_WP_178005650.1, 1, 1.2e-24, 0.864, 0.738","PDLC02068, Cas2_II_WP_167337171.1, 7e-43, 0.973, 0.752 | PDLC02072, Cas2_II_WP_038817100.1, 2.5e-35, 0.636, 0.972 | PDLC02073, Cas2_II_WP_029776276.1, 1.9e-30, 0.436, 0.98 | PDLC02071, Cas2_II_WP_086428212.1, 6.3e-30, 0.845, 0.969 | PDLC02069, Cas2_II_WP_178005650.1, 1.2e-24, 0.864, 0.738"
9,contig_1,cas_type_II-A,contig_1_462,PDLC01371,cd09758,Csn2,4.799999999999999e-107,5.299999999999999e-107,0.982,0.991,477435,478094,+,-,462,2745,"PDLC02148,Csn2_WP_012290143.1, 1, 1e-11, 0.918, 0.921 | PDLC01257,cd09644, 1, 2.4e-29, 0.959, 0.982 | PDLC01180,icity0117, 1, 2.8e-07, 0.895, 0.865 | PDLC01023,cas_Csn2, 1, 1.3e-49, 0.945, 0.973 | PDLC02138,Csn2_WP_178467070.1, 1, 9.9e-11, 0.909, 0.89 | PDLC01380,cd12218, 1, 2.6e-13, 0.891, 0.895 | PDLC02139,Csn2_WP_057888294.1, 1, 7.4e-11, 0.668, 0.627 | PDLC02134,Csn2_WP_004694488.1, 1, 4.8e-09, 0.873, 0.857 | PDLC02121,Csn2_WP_159082072.1, 1, 6.6e-97, 0.982, 0.991 | PDLC02137,Csn2_WP_092874919.1, 1, 6.9e-16, 0.955, 0.977 | PDLC02123,Csn2_WP_164905698.1, 1, 4e-07, 0.868, 0.856 | PDLC01371,cd09758, 1, 5.3e-107, 0.982, 0.991 | PDLC02132,Csn2_WP_007147955.1, 1, 1.2e-07, 0.859, 0.855 | PDLC02127,Csn2_WP_092199373.1, 1, 2.3e-15, 0.932, 0.938 | PDLC02119,Csn2_WP_115483433.1, 1, 4.5e-30, 0.959, 0.982 | PDLC02131,Csn2_WP_060929450.1, 1, 3.5e-21, 0.891, 0.9 | PDLC02124,Csn2_WP_017261328.1, 1, 5.1e-10, 0.868, 0.86 | PDLC02143,Csn2_WP_120472926.1, 1, 2.3e-12, 0.741, 0.718 | PDLC01648,pfam09711, 1, 1e-61, 0.791, 0.989 | PDLC02140,Csn2_WP_154580455.1, 1, 2.2e-08, 0.895, 0.906 | PDLC02141,Csn2_WP_150280658.1, 1, 5.5e-14, 0.891, 0.877 | PDLC02144,Csn2_WP_117838586.1, 1, 6.5e-08, 0.905, 0.905 | PDLC02146,Csn2_WP_129637367.1, 1, 5.1e-09, 0.727, 0.697 | PDLC02147,Csn2_WP_022791452.1, 1, 1e-07, 0.877, 0.842","PDLC01371, cd09758, 5.3e-107, 0.982, 0.991 | PDLC02121, Csn2_WP_159082072.1, 6.6e-97, 0.982, 0.991 | PDLC01648, pfam09711, 1e-61, 0.791, 0.989 | PDLC01023, cas_Csn2, 1.3e-49, 0.945, 0.973 | PDLC02119, Csn2_WP_115483433.1, 4.5e-30, 0.959, 0.982"
7,contig_1,RM_type_III,contig_1_906,PDLC03638,MTase_III_00007,MTase_III,1.3e-52,4.3999999999999994e-52,0.691,0.522,956612,958399,+,-,906,2745,"PDLC03644,MTase_III_00013, 1, 6e-33, 0.267, 0.325 | PDLC03644,MTase_III_00013, 2, 1.8e-21, 0.292, 0.317 | PDLC03645,MTase_III_00014, 1, 1.7e-13, 0.154, 0.141 | PDLC03645,MTase_III_00014, 2, 0.69, 0.047, 0.039 | PDLC03646,MTase_III_00015, 1, 1e-19, 0.215, 0.117 | PDLC03646,MTase_III_00015, 2, 0.00062, 0.196, 0.118 | PDLC03642,MTase_III_00011, 1, 3.8e-29, 0.285, 0.328 | PDLC03642,MTase_III_00011, 2, 0.35, 0.064, 0.072 | PDLC03643,MTase_III_00012, 1, 2e-11, 0.143, 0.178 | PDLC03643,MTase_III_00012, 2, 0.0023, 0.097, 0.123 | PDLC03641,MTase_III_00010, 1, 3.3e-14, 0.082, 0.075 | PDLC03641,MTase_III_00010, 2, 5.7e-22, 0.173, 0.155 | PDLC03641,MTase_III_00010, 3, 1.2e-10, 0.188, 0.157 | PDLC03640,MTase_III_00009, 1, 5.2e-12, 0.087, 0.08 | PDLC03640,MTase_III_00009, 2, 1.5e-08, 0.134, 0.128 | PDLC03640,MTase_III_00009, 3, 2.4e-07, 0.146, 0.136 | PDLC03633,MTase_III_00002, 1, 6.4e-07, 0.067, 0.065 | PDLC03633,MTase_III_00002, 2, 1.2e-12, 0.164, 0.157 | PDLC03633,MTase_III_00002, 3, 4.4e-09, 0.107, 0.104 | PDLC03632,MTase_III_00001, 1, 6, 0.059, 0.038 | PDLC03632,MTase_III_00001, 2, 1.6e-14, 0.164, 0.096 | PDLC03632,MTase_III_00001, 3, 0.009, 0.091, 0.055 | PDLC03635,MTase_III_00004, 1, 2.3e-55, 0.21, 0.179 | PDLC03635,MTase_III_00004, 2, 4.8e-79, 0.346, 0.301 | PDLC03635,MTase_III_00004, 3, 7.7e-70, 0.369, 0.301 | PDLC03634,MTase_III_00003, 1, 4.9e-17, 0.089, 0.084 | PDLC03634,MTase_III_00003, 2, 6e-23, 0.195, 0.184 | PDLC03634,MTase_III_00003, 3, 3e-10, 0.144, 0.132 | PDLC03636,MTase_III_00005, 1, 3e-46, 0.29, 0.294 | PDLC03636,MTase_III_00005, 2, 3.1e-26, 0.263, 0.266 | PDLC03637,MTase_III_00006, 1, 1.1e-22, 0.228, 0.29 | PDLC03637,MTase_III_00006, 2, 7e-08, 0.176, 0.189 | PDLC03639,MTase_III_00008, 1, 6.9e-18, 0.228, 0.221 | PDLC03639,MTase_III_00008, 2, 0.45, 0.062, 0.058 | PDLC03639,MTase_III_00008, 3, 480, 0.05, 0.047 | PDLC03638,MTase_III_00007, 1, 330, 0.064, 0.049 | PDLC03638,MTase_III_00007, 2, 4.4e-52, 0.691, 0.522","PDLC03635, MTase_III_00004, 4.8e-79, 0.346, 0.301 | PDLC03638, MTase_III_00007, 4.4e-52, 0.691, 0.522 | PDLC03636, MTase_III_00005, 3e-46, 0.29, 0.294 | PDLC03644, MTase_III_00013, 6e-33, 0.267, 0.325 | PDLC03642, MTase_III_00011, 3.8e-29, 0.285, 0.328"
7,contig_1,RM_type_III,contig_1_907,PDLC03651,REase_III_00005,REase_III,0,0,0.994,0.999,958402,961029,+,-,907,2745,"PDLC03651,REase_III_00005, 1, 0, 0.994, 0.999","PDLC03651, REase_III_00005, 0, 0.994, 0.999"
5,contig_1,Mokosh_TypeI,contig_1_1874,PDLC03922,Mokosh_TypeI__MkoB,MkoB,1.6e-41,3e-41,0.789,0.826,1984210,1985958,-,-,1874,2745,"PDLC03922,Mokosh_TypeI__MkoB, 1, 3e-41, 0.789, 0.826 | PDLC03923,Mokosh_TypeI__MkoB2, 1, 4.3e-06, 0.434, 0.568","PDLC03922, Mokosh_TypeI__MkoB, 3e-41, 0.789, 0.826 | PDLC03923, Mokosh_TypeI__MkoB2, 4.3e-06, 0.434, 0.568"
5,contig_1,Mokosh_TypeI,contig_1_1877,PDLC03920,Mokosh_TypeI__MkoA,MkoA,7.899999999999998e-101,9.999999999999999e-101,0.972,0.641,1987086,1989128,-,-,1877,2745,"PDLC03921,Mokosh_TypeI__MkoA2, 1, 2.6e-22, 0.335, 0.149 | PDLC03921,Mokosh_TypeI__MkoA2, 2, 1e-30, 0.372, 0.166 | PDLC03920,Mokosh_TypeI__MkoA, 1, 1e-100, 0.972, 0.641","PDLC03920, Mokosh_TypeI__MkoA, 1e-100, 0.972, 0.641 | PDLC03921, Mokosh_TypeI__MkoA2, 1e-30, 0.372, 0.166"
2,contig_1,DMS_other,contig_1_2397,PDLC03046,REase_I_00007,REase_I,1.899999999999999e-263,2.5999999999999983e-263,0.953,0.957,2510154,2513297,-,-,2397,2745,"PDLC03043,REase_I_00004, 1, 490, 0.031, 0.102 | PDLC03043,REase_I_00004, 2, 1.5e-25, 0.153, 0.505 | PDLC03043,REase_I_00004, 3, 160, 0.022, 0.073 | PDLC03041,REase_I_00002, 1, 35, 0.082, 0.077 | PDLC03041,REase_I_00002, 2, 4.8e-16, 0.203, 0.17 | PDLC03041,REase_I_00002, 3, 1.4e-10, 0.054, 0.052 | PDLC03040,REase_I_00001, 1, 3.3e-43, 0.93, 0.879 | PDLC03044,REase_I_00005, 1, 1.9e-33, 0.596, 0.549 | PDLC03045,REase_I_00006, 1, 1.9e-71, 0.478, 0.483 | PDLC03045,REase_I_00006, 2, 3.1e-21, 0.135, 0.15 | PDLC03047,REase_I_00008, 1, 2.3e-06, 0.077, 0.075 | PDLC03047,REase_I_00008, 2, 17, 0.132, 0.114 | PDLC03047,REase_I_00008, 3, 33, 0.049, 0.047 | PDLC03046,REase_I_00007, 1, 2.6e-263, 0.953, 0.957 | PDLC02707,PbeA_00005, 1, 5.2e-13, 0.225, 0.311 | PDLC03048,REase_I_00009, 1, 1.4e-148, 0.934, 0.935","PDLC03046, REase_I_00007, 2.6e-263, 0.953, 0.957 | PDLC03048, REase_I_00009, 1.4e-148, 0.934, 0.935 | PDLC03045, REase_I_00006, 1.9e-71, 0.478, 0.483 | PDLC03040, REase_I_00001, 3.3e-43, 0.93, 0.879 | PDLC03044, REase_I_00005, 1.9e-33, 0.596, 0.549"
2,contig_1,DMS_other,contig_1_2398,PDLC03124,Specificity_I_00073,Specificity_I,5.799999999999999e-76,8.399999999999998e-76,0.985,0.964,2513343,2514548,+,-,2398,2745,"PDLC03122,Specificity_I_00071, 1, 0.00051, 0.249, 0.264 | PDLC03122,Specificity_I_00071, 2, 0.17, 0.351, 0.362 | PDLC03081,Specificity_I_00030, 1, 0.018, 0.162, 0.157 | PDLC03081,Specificity_I_00030, 2, 5e-06, 0.647, 0.642 | PDLC03095,Specificity_I_00044, 1, 1.6e-06, 0.348, 0.307 | PDLC03057,Specificity_I_00006, 1, 2.5e-10, 0.846, 0.816 | PDLC03069,Specificity_I_00018, 1, 6.4e-26, 0.761, 0.788 | PDLC03055,Specificity_I_00004, 1, 0.0015, 0.254, 0.257 | PDLC03096,Specificity_I_00045, 1, 0.00044, 0.328, 0.632 | PDLC03096,Specificity_I_00045, 2, 2.5e-05, 0.428, 0.278 | PDLC03082,Specificity_I_00031, 1, 0.011, 0.264, 0.291 | PDLC03082,Specificity_I_00031, 2, 13, 0.1, 0.109 | PDLC03082,Specificity_I_00031, 3, 0.006, 0.276, 0.307 | PDLC03054,Specificity_I_00003, 1, 0.0029, 0.679, 0.701 | PDLC03068,Specificity_I_00017, 1, 2.6e-10, 0.465, 0.454 | PDLC03068,Specificity_I_00017, 2, 8.6e-21, 0.428, 0.442 | PDLC03134,Specificity_I_00083, 1, 2.3e-19, 0.97, 0.923 | PDLC03120,Specificity_I_00069, 1, 2, 0.358, 0.278 | PDLC03120,Specificity_I_00069, 2, 4.7e-06, 0.405, 0.328 | PDLC03108,Specificity_I_00057, 1, 1.1e-26, 0.719, 0.657 | PDLC03124,Specificity_I_00073, 1, 8.4e-76, 0.985, 0.964 | PDLC03118,Specificity_I_00067, 1, 1.8e-05, 0.485, 0.462 | PDLC03118,Specificity_I_00067, 2, 3.1e-15, 0.42, 0.411 | PDLC03078,Specificity_I_00027, 1, 2.8e-65, 0.985, 0.967 | PDLC03087,Specificity_I_00036, 1, 6.4e-50, 0.983, 0.955 | PDLC03086,Specificity_I_00035, 1, 2e-05, 0.366, 0.319 | PDLC03086,Specificity_I_00035, 2, 2.4e-16, 0.381, 0.347 | PDLC03092,Specificity_I_00041, 1, 610, 0.032, 0.033 | PDLC03092,Specificity_I_00041, 2, 7.4e-07, 0.465, 0.484 | PDLC03092,Specificity_I_00041, 3, 0.00088, 0.114, 0.116 | PDLC03079,Specificity_I_00028, 1, 7.2e-25, 0.975, 0.881 | PDLC03119,Specificity_I_00068, 1, 0.00036, 0.373, 0.366 | PDLC03119,Specificity_I_00068, 2, 7.6e-07, 0.396, 0.407 | PDLC03133,Specificity_I_00082, 1, 1.4, 0.294, 0.283 | PDLC03133,Specificity_I_00082, 2, 0.34, 0.102, 0.098 | PDLC03127,Specificity_I_00076, 1, 0.0012, 0.473, 0.343 | PDLC03127,Specificity_I_00076, 2, 2.3e-09, 0.493, 0.37 | PDLC03053,Specificity_I_00002, 1, 32, 0.122, 0.126 | PDLC03053,Specificity_I_00002, 2, 0.075, 0.152, 0.154 | PDLC03084,Specificity_I_00033, 1, 3.2e-06, 0.413, 0.406 | PDLC03084,Specificity_I_00033, 2, 3.1e-14, 0.448, 0.452 | PDLC03090,Specificity_I_00039, 1, 1.1e-26, 0.975, 0.935 | PDLC03091,Specificity_I_00040, 1, 0.0013, 0.386, 0.38 | PDLC03085,Specificity_I_00034, 1, 1e-27, 0.699, 0.716 | PDLC03126,Specificity_I_00075, 1, 0.015, 0.221, 0.13 | PDLC03126,Specificity_I_00075, 2, 6e-06, 0.448, 0.271 | PDLC03169,Specificity_I_00118, 1, 5.1e-09, 0.393, 0.341 | PDLC03169,Specificity_I_00118, 2, 7.9e-20, 0.4, 0.377 | PDLC03155,Specificity_I_00104, 1, 0.013, 0.204, 0.167 | PDLC03196,Specificity_I_00145, 1, 0.06, 0.331, 0.168 | PDLC03196,Specificity_I_00145, 2, 1.7e-06, 0.316, 0.167 | PDLC03182,Specificity_I_00131, 1, 6.8e-10, 0.453, 0.432 | PDLC03183,Specificity_I_00132, 1, 0.00012, 0.46, 0.444 | PDLC03183,Specificity_I_00132, 2, 9.5e-05, 0.396, 0.395 | PDLC03154,Specificity_I_00103, 1, 1.8e-07, 0.363, 0.337 | PDLC03154,Specificity_I_00103, 2, 1.5e-15, 0.413, 0.424 | PDLC03168,Specificity_I_00117, 1, 5.4e-07, 0.433, 0.368 | PDLC03168,Specificity_I_00117, 2, 4.4e-23, 0.42, 0.377 | PDLC03156,Specificity_I_00105, 1, 7.1e-13, 0.483, 0.453 | PDLC03156,Specificity_I_00105, 2, 8.9e-13, 0.468, 0.475 | PDLC03195,Specificity_I_00144, 1, 98, 0.129, 0.102 | PDLC03195,Specificity_I_00144, 2, 0.023, 0.236, 0.182 | PDLC03194,Specificity_I_00143, 1, 50, 0.07, 0.072 | PDLC03194,Specificity_I_00143, 2, 0.0063, 0.244, 0.263 | PDLC03194,Specificity_I_00143, 3, 4.3e-07, 0.428, 0.468 | PDLC03147,Specificity_I_00096, 1, 0.00071, 0.353, 0.334 | PDLC03147,Specificity_I_00096, 2, 21, 0.037, 0.035 | PDLC03032,MTase_I_00015, 1, 7.7, 0.266, 0.107 | PDLC03032,MTase_I_00015, 2, 2.3e-05, 0.45, 0.189 | PDLC03191,Specificity_I_00140, 1, 1e-05, 0.423, 0.388 | PDLC03191,Specificity_I_00140, 2, 0.0031, 0.353, 0.328 | PDLC03185,Specificity_I_00134, 1, 1.6e-38, 0.478, 0.461 | PDLC03185,Specificity_I_00134, 2, 2.7e-51, 0.604, 0.61 | PDLC03152,Specificity_I_00101, 1, 0.0032, 0.229, 0.231 | PDLC03152,Specificity_I_00101, 2, 160, 0.129, 0.141 | PDLC03146,Specificity_I_00095, 1, 1.2e-30, 0.823, 0.802 | PDLC03150,Specificity_I_00099, 1, 0.0012, 0.323, 0.28 | PDLC03178,Specificity_I_00127, 1, 1.2e-59, 0.985, 0.961 | PDLC03186,Specificity_I_00135, 1, 0.00068, 0.244, 0.239 | PDLC03186,Specificity_I_00135, 2, 0.00022, 0.45, 0.446 | PDLC03192,Specificity_I_00141, 1, 0.015, 0.179, 0.177 | PDLC03192,Specificity_I_00141, 2, 1.7, 0.356, 0.361 | PDLC03179,Specificity_I_00128, 1, 4.5e-11, 0.453, 0.307 | PDLC03179,Specificity_I_00128, 2, 1.1e-17, 0.396, 0.285 | PDLC03148,Specificity_I_00097, 1, 0.006, 0.271, 0.234 | PDLC03148,Specificity_I_00097, 2, 9.7e-06, 0.343, 0.322 | PDLC03161,Specificity_I_00110, 1, 0.00058, 0.532, 0.519 | PDLC03161,Specificity_I_00110, 2, 0.071, 0.219, 0.22 | PDLC03175,Specificity_I_00124, 1, 6.3e-18, 0.714, 0.697 | PDLC03149,Specificity_I_00098, 1, 6.7e-05, 0.187, 0.195 | PDLC03149,Specificity_I_00098, 2, 160, 0.211, 0.209 | PDLC03163,Specificity_I_00112, 1, 0.00099, 0.216, 0.212 | PDLC03163,Specificity_I_00112, 2, 1.3e-14, 0.453, 0.452 | PDLC03177,Specificity_I_00126, 1, 4.6e-05, 0.408, 0.425 | PDLC03188,Specificity_I_00137, 1, 0.0095, 0.261, 0.242 | PDLC03188,Specificity_I_00137, 2, 24, 0.114, 0.094 | PDLC03201,Specificity_I_00150, 1, 0.0061, 0.45, 0.876 | PDLC03201,Specificity_I_00150, 2, 2.1e-05, 0.204, 0.408 | PDLC03189,Specificity_I_00138, 1, 0.00059, 0.453, 0.392 | PDLC03189,Specificity_I_00138, 2, 1.5e-14, 0.433, 0.383 | PDLC03162,Specificity_I_00111, 1, 1.6e-12, 0.669, 0.652 | PDLC03172,Specificity_I_00121, 1, 1.3e-13, 0.667, 0.659 | PDLC03172,Specificity_I_00121, 2, 0.66, 0.201, 0.186 | PDLC03173,Specificity_I_00122, 1, 0.015, 0.216, 0.184 | PDLC03173,Specificity_I_00122, 2, 0.00052, 0.465, 0.397 | PDLC03165,Specificity_I_00114, 1, 8.9e-22, 0.49, 0.474 | PDLC03165,Specificity_I_00114, 2, 3.8e-34, 0.485, 0.494 | PDLC03158,Specificity_I_00107, 1, 0.0074, 0.323, 0.305 | PDLC03158,Specificity_I_00107, 2, 4.4e-09, 0.483, 0.471 | PDLC03164,Specificity_I_00113, 1, 3.9e-06, 0.331, 0.325 | PDLC03164,Specificity_I_00113, 2, 5.3e-09, 0.438, 0.45 | PDLC03170,Specificity_I_00119, 1, 1.5e-10, 0.393, 0.357 | PDLC03170,Specificity_I_00119, 2, 0.0041, 0.291, 0.27 | PDLC03117,Specificity_I_00066, 1, 3e-08, 0.692, 0.539 | PDLC03103,Specificity_I_00052, 1, 3.7e-08, 0.433, 0.444 | PDLC03103,Specificity_I_00052, 2, 510, 0.027, 0.028 | PDLC03103,Specificity_I_00052, 3, 1.4e-10, 0.373, 0.393 | PDLC03063,Specificity_I_00012, 1, 0.014, 0.453, 0.444 | PDLC03063,Specificity_I_00012, 2, 0.017, 0.132, 0.144 | PDLC03077,Specificity_I_00026, 1, 3.5e-09, 0.393, 0.376 | PDLC03077,Specificity_I_00026, 2, 8.2e-09, 0.376, 0.376 | PDLC03089,Specificity_I_00038, 1, 4.9e-10, 0.438, 0.39 | PDLC03089,Specificity_I_00038, 2, 6.2e-19, 0.41, 0.388 | PDLC03076,Specificity_I_00025, 1, 1.6e-05, 0.413, 0.332 | PDLC03076,Specificity_I_00025, 2, 6.5e-11, 0.383, 0.328 | PDLC03102,Specificity_I_00051, 1, 0.0015, 0.214, 0.218 | PDLC03102,Specificity_I_00051, 2, 4.3e-07, 0.129, 0.138 | PDLC04137,mads_5, 1, 4.6e-19, 0.968, 0.992 | PDLC03100,Specificity_I_00049, 1, 3.8e-12, 0.485, 0.505 | PDLC03100,Specificity_I_00049, 2, 5.9e-18, 0.46, 0.5 | PDLC03114,Specificity_I_00063, 1, 17, 0.087, 0.085 | PDLC03114,Specificity_I_00063, 2, 0.049, 0.206, 0.207 | PDLC03114,Specificity_I_00063, 3, 0.85, 0.386, 0.376 | PDLC03074,Specificity_I_00023, 1, 290, 0.114, 0.115 | PDLC03074,Specificity_I_00023, 2, 6.6e-16, 0.714, 0.686 | PDLC03060,Specificity_I_00009, 1, 7.8e-12, 0.92, 0.92 | PDLC03101,Specificity_I_00050, 1, 5.5e-13, 0.485, 0.465 | PDLC03101,Specificity_I_00050, 2, 2.7e-21, 0.47, 0.487 | PDLC03129,Specificity_I_00078, 1, 0.016, 0.57, 0.541 | PDLC03105,Specificity_I_00054, 1, 1.2e-12, 0.46, 0.408 | PDLC03105,Specificity_I_00054, 2, 4.5e-12, 0.376, 0.344 | PDLC03064,Specificity_I_00013, 1, 9.9e-66, 0.985, 0.963 | PDLC03070,Specificity_I_00019, 1, 8.7e-08, 0.746, 0.726 | PDLC03110,Specificity_I_00059, 1, 1.7e-08, 0.848, 0.551 | PDLC03112,Specificity_I_00061, 1, 0.00061, 0.291, 0.312 | PDLC03112,Specificity_I_00061, 2, 2e-10, 0.428, 0.5 | PDLC03106,Specificity_I_00055, 1, 0.039, 0.199, 0.165 | PDLC03106,Specificity_I_00055, 2, 1.4, 0.122, 0.108 | PDLC03066,Specificity_I_00015, 1, 0.99, 0.197, 0.177 | PDLC03066,Specificity_I_00015, 2, 1.9e-05, 0.445, 0.395 | PDLC03072,Specificity_I_00021, 1, 1.8e-15, 0.46, 0.424 | PDLC03072,Specificity_I_00021, 2, 1.3e-10, 0.383, 0.368 | PDLC03099,Specificity_I_00048, 1, 1.1e-06, 0.468, 0.449 | PDLC03099,Specificity_I_00048, 2, 2.4e-14, 0.438, 0.393 | PDLC03098,Specificity_I_00047, 1, 2.8e-15, 0.473, 0.409 | PDLC03098,Specificity_I_00047, 2, 1.3e-13, 0.448, 0.409 | PDLC03073,Specificity_I_00022, 1, 4.4e-10, 0.47, 0.432 | PDLC03073,Specificity_I_00022, 2, 1.2e-11, 0.44, 0.437 | PDLC03107,Specificity_I_00056, 1, 7.2e-25, 0.975, 0.985 | PDLC03113,Specificity_I_00062, 1, 6.1e-16, 0.49, 0.469 | PDLC03113,Specificity_I_00062, 2, 3.1e-24, 0.604, 0.588","PDLC03124, Specificity_I_00073, 8.4e-76, 0.985, 0.964 | PDLC03064, Specificity_I_00013, 9.9e-66, 0.985, 0.963 | PDLC03078, Specificity_I_00027, 2.8e-65, 0.985, 0.967 | PDLC03178, Specificity_I_00127, 1.2e-59, 0.985, 0.961 | PDLC03185, Specificity_I_00134, 2.7e-51, 0.604, 0.61"
