system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
7,contig_1,PDC-M49,contig_1_395,PDLC04680,PDC-M49A_WP_019767927.1,PDC-M49A,2.0999999999999986e-263,2.3999999999999986e-263,0.997,0.999,414227,416269,+,-,395,2736,"PDLC04678,PDC-M49A_WP_210134610.1, 1, 4.9e-103, 0.994, 0.994 | PDLC04679,PDC-M49A_WP_110115356.1, 1, 2.4e-37, 0.771, 0.983 | PDLC04680,PDC-M49A_WP_019767927.1, 1, 2.4e-263, 0.997, 0.999","PDLC04680, PDC-M49A_WP_019767927.1, 2.4e-263, 0.997, 0.999 | PDLC04678, PDC-M49A_WP_210134610.1, 4.9e-103, 0.994, 0.994 | PDLC04679, PDC-M49A_WP_110115356.1, 2.4e-37, 0.771, 0.983"
7,contig_1,PDC-M49,contig_1_396,PDLC04682,PDC-M49B_WP_147610291.1,PDC-M49B,2.6999999999999997e-31,3e-31,0.96,0.969,416250,416552,+,-,396,2736,"PDLC04681,PDC-M49B_WP_049553758.1, 1, 2.5e-05, 0.901, 0.957 | PDLC04682,PDC-M49B_WP_147610291.1, 1, 3e-31, 0.96, 0.969 | PDLC04683,PDC-M49B_WP_013498935.1, 1, 1.3e-17, 0.96, 0.711","PDLC04682, PDC-M49B_WP_147610291.1, 3e-31, 0.96, 0.969 | PDLC04683, PDC-M49B_WP_013498935.1, 1.3e-17, 0.96, 0.711 | PDLC04681, PDC-M49B_WP_049553758.1, 2.5e-05, 0.901, 0.957"
9,contig_1,cas_type_II-A,contig_1_537,PDLC00975,cas9_maka_4_II,Cas9,0,0,0.997,0.997,548509,552522,+,-,537,2736,"PDLC01256,cd09643, 1, 7.7e-243, 0.779, 0.997 | PDLC01580,mkCas0193, 1, 4.8e-280, 0.997, 0.997 | PDLC00973,cas_Csn1, 1, 2.3e-283, 0.779, 0.996 | PDLC01104,icity0002, 1, 2e-06, 0.735, 0.644 | PDLC01104,icity0002, 2, 1.9e-31, 0.104, 0.799 | PDLC01460,COG3513, 1, 1e-276, 0.996, 0.997 | PDLC00975,cas9_maka_4_II, 1, 0, 0.997, 0.997","PDLC00975, cas9_maka_4_II, 0, 0.997, 0.997 | PDLC00973, cas_Csn1, 2.3e-283, 0.779, 0.996 | PDLC01580, mkCas0193, 4.8e-280, 0.997, 0.997 | PDLC01460, COG3513, 1e-276, 0.996, 0.997 | PDLC01256, cd09643, 7.7e-243, 0.779, 0.997"
9,contig_1,cas_type_II-A,contig_1_538,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,1.9e-105,2.2999999999999997e-105,0.969,0.8,552523,553389,+,-,538,2736,"PDLC02061,Cas1_II_WP_078484493.1, 1, 2.3e-105, 0.969, 0.8 | PDLC02062,Cas1_II_WP_122951193.1, 1, 1.2e-13, 0.869, 0.883","PDLC02061, Cas1_II_WP_078484493.1, 2.3e-105, 0.969, 0.8 | PDLC02062, Cas1_II_WP_122951193.1, 1.2e-13, 0.869, 0.883"
9,contig_1,cas_type_II-A,contig_1_539,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,3.9e-43,4.199999999999999e-43,0.973,0.752,553386,553715,+,-,539,2736,"PDLC02073,Cas2_II_WP_029776276.1, 1, 1.5e-30, 0.436, 0.98 | PDLC02072,Cas2_II_WP_038817100.1, 1, 3.5e-35, 0.636, 0.972 | PDLC02071,Cas2_II_WP_086428212.1, 1, 9.1e-30, 0.845, 0.969 | PDLC02068,Cas2_II_WP_167337171.1, 1, 4.2e-43, 0.973, 0.752 | PDLC02069,Cas2_II_WP_178005650.1, 1, 3.8e-25, 0.864, 0.738","PDLC02068, Cas2_II_WP_167337171.1, 4.2e-43, 0.973, 0.752 | PDLC02072, Cas2_II_WP_038817100.1, 3.5e-35, 0.636, 0.972 | PDLC02073, Cas2_II_WP_029776276.1, 1.5e-30, 0.436, 0.98 | PDLC02071, Cas2_II_WP_086428212.1, 9.1e-30, 0.845, 0.969 | PDLC02069, Cas2_II_WP_178005650.1, 3.8e-25, 0.864, 0.738"
9,contig_1,cas_type_II-A,contig_1_540,PDLC01371,cd09758,Csn2,4.6999999999999994e-107,5.199999999999999e-107,0.982,0.991,553716,554375,+,-,540,2736,"PDLC02148,Csn2_WP_012290143.1, 1, 9.9e-12, 0.918, 0.921 | PDLC01257,cd09644, 1, 2.3e-29, 0.959, 0.982 | PDLC01180,icity0117, 1, 2.8e-07, 0.895, 0.865 | PDLC01023,cas_Csn2, 1, 1.3e-49, 0.945, 0.973 | PDLC02138,Csn2_WP_178467070.1, 1, 9.7e-11, 0.909, 0.89 | PDLC01380,cd12218, 1, 2.6e-13, 0.891, 0.895 | PDLC02139,Csn2_WP_057888294.1, 1, 7.3e-11, 0.668, 0.627 | PDLC02134,Csn2_WP_004694488.1, 1, 4.7e-09, 0.873, 0.857 | PDLC02121,Csn2_WP_159082072.1, 1, 6.5e-97, 0.982, 0.991 | PDLC02137,Csn2_WP_092874919.1, 1, 6.7e-16, 0.955, 0.977 | PDLC02123,Csn2_WP_164905698.1, 1, 3.9e-07, 0.868, 0.856 | PDLC01371,cd09758, 1, 5.2e-107, 0.982, 0.991 | PDLC02132,Csn2_WP_007147955.1, 1, 1.1e-07, 0.859, 0.855 | PDLC02127,Csn2_WP_092199373.1, 1, 2.3e-15, 0.932, 0.938 | PDLC02119,Csn2_WP_115483433.1, 1, 4.4e-30, 0.959, 0.982 | PDLC02131,Csn2_WP_060929450.1, 1, 3.4e-21, 0.891, 0.9 | PDLC02124,Csn2_WP_017261328.1, 1, 5e-10, 0.868, 0.86 | PDLC02143,Csn2_WP_120472926.1, 1, 2.2e-12, 0.741, 0.718 | PDLC01648,pfam09711, 1, 1e-61, 0.791, 0.989 | PDLC02140,Csn2_WP_154580455.1, 1, 2.1e-08, 0.895, 0.906 | PDLC02141,Csn2_WP_150280658.1, 1, 5.3e-14, 0.891, 0.877 | PDLC02144,Csn2_WP_117838586.1, 1, 6.4e-08, 0.905, 0.905 | PDLC02146,Csn2_WP_129637367.1, 1, 5e-09, 0.727, 0.697 | PDLC02147,Csn2_WP_022791452.1, 1, 1e-07, 0.877, 0.842","PDLC01371, cd09758, 5.2e-107, 0.982, 0.991 | PDLC02121, Csn2_WP_159082072.1, 6.5e-97, 0.982, 0.991 | PDLC01648, pfam09711, 1e-61, 0.791, 0.989 | PDLC01023, cas_Csn2, 1.3e-49, 0.945, 0.973 | PDLC02119, Csn2_WP_115483433.1, 4.4e-30, 0.959, 0.982"
5,contig_1,Mokosh_TypeI,contig_1_1851,PDLC03922,Mokosh_TypeI__MkoB,MkoB,2.0999999999999999e-41,4.8e-41,0.789,0.826,1976792,1978540,-,-,1851,2736,"PDLC03922,Mokosh_TypeI__MkoB, 1, 4.8e-41, 0.789, 0.826 | PDLC03923,Mokosh_TypeI__MkoB2, 1, 2.6e-06, 0.391, 0.507","PDLC03922, Mokosh_TypeI__MkoB, 4.8e-41, 0.789, 0.826 | PDLC03923, Mokosh_TypeI__MkoB2, 2.6e-06, 0.391, 0.507"
5,contig_1,Mokosh_TypeI,contig_1_1853,PDLC03920,Mokosh_TypeI__MkoA,MkoA,7.699999999999998e-130,9.999999999999998e-130,0.978,0.732,1979291,1981711,-,-,1853,2736,"PDLC03921,Mokosh_TypeI__MkoA2, 1, 3.6e-22, 0.283, 0.149 | PDLC03921,Mokosh_TypeI__MkoA2, 2, 2.5e-31, 0.426, 0.217 | PDLC03921,Mokosh_TypeI__MkoA2, 3, 2.5e-18, 0.159, 0.081 | PDLC03920,Mokosh_TypeI__MkoA, 1, 1e-129, 0.978, 0.732","PDLC03920, Mokosh_TypeI__MkoA, 1e-129, 0.978, 0.732 | PDLC03921, Mokosh_TypeI__MkoA2, 2.5e-31, 0.426, 0.217"
2,contig_1,DMS_other,contig_1_2371,PDLC03046,REase_I_00007,REase_I,1.799999999999999e-263,2.4999999999999986e-263,0.953,0.957,2513059,2516202,-,-,2371,2736,"PDLC03043,REase_I_00004, 1, 480, 0.031, 0.102 | PDLC03043,REase_I_00004, 2, 1.5e-25, 0.153, 0.505 | PDLC03043,REase_I_00004, 3, 160, 0.022, 0.073 | PDLC03041,REase_I_00002, 1, 34, 0.082, 0.077 | PDLC03041,REase_I_00002, 2, 4.7e-16, 0.203, 0.17 | PDLC03041,REase_I_00002, 3, 1.4e-10, 0.054, 0.052 | PDLC03040,REase_I_00001, 1, 3.2e-43, 0.93, 0.879 | PDLC03044,REase_I_00005, 1, 1.9e-33, 0.596, 0.549 | PDLC03045,REase_I_00006, 1, 1.9e-71, 0.478, 0.483 | PDLC03045,REase_I_00006, 2, 3e-21, 0.135, 0.15 | PDLC03047,REase_I_00008, 1, 2.3e-06, 0.077, 0.075 | PDLC03047,REase_I_00008, 2, 17, 0.132, 0.114 | PDLC03047,REase_I_00008, 3, 33, 0.049, 0.047 | PDLC03046,REase_I_00007, 1, 2.5e-263, 0.953, 0.957 | PDLC02707,PbeA_00005, 1, 5.1e-13, 0.225, 0.311 | PDLC03048,REase_I_00009, 1, 1.4e-148, 0.934, 0.935","PDLC03046, REase_I_00007, 2.5e-263, 0.953, 0.957 | PDLC03048, REase_I_00009, 1.4e-148, 0.934, 0.935 | PDLC03045, REase_I_00006, 1.9e-71, 0.478, 0.483 | PDLC03040, REase_I_00001, 3.2e-43, 0.93, 0.879 | PDLC03044, REase_I_00005, 1.9e-33, 0.596, 0.549"
2,contig_1,DMS_other,contig_1_2372,PDLC03078,Specificity_I_00027,Specificity_I,3.9999999999999993e-85,5.199999999999999e-85,0.953,0.878,2516287,2517438,+,-,2372,2736,"PDLC03136,Specificity_I_00085, 1, 4.5, 0.128, 0.155 | PDLC03136,Specificity_I_00085, 2, 0.37, 0.214, 0.256 | PDLC03122,Specificity_I_00071, 1, 3.3e-05, 0.292, 0.282 | PDLC03122,Specificity_I_00071, 2, 0.15, 0.367, 0.362 | PDLC03081,Specificity_I_00030, 1, 1.4e-10, 0.753, 0.707 | PDLC03095,Specificity_I_00044, 1, 27, 0.07, 0.057 | PDLC03095,Specificity_I_00044, 2, 1.5e-06, 0.365, 0.307 | PDLC03094,Specificity_I_00043, 1, 3.9e-07, 0.372, 0.367 | PDLC03094,Specificity_I_00043, 2, 3.3, 0.203, 0.685 | PDLC03057,Specificity_I_00006, 1, 0.055, 0.146, 0.118 | PDLC03057,Specificity_I_00006, 2, 1.6, 0.336, 0.342 | PDLC03109,Specificity_I_00058, 1, 0.082, 0.216, 0.142 | PDLC03109,Specificity_I_00058, 2, 0.93, 0.43, 0.303 | PDLC03121,Specificity_I_00070, 1, 0.044, 0.128, 0.123 | PDLC03121,Specificity_I_00070, 2, 0.016, 0.378, 0.379 | PDLC03069,Specificity_I_00018, 1, 1.2e-26, 0.898, 0.873 | PDLC03096,Specificity_I_00045, 1, 0.11, 0.138, 0.081 | PDLC03096,Specificity_I_00045, 2, 3.8e-05, 0.445, 0.277 | PDLC03082,Specificity_I_00031, 1, 4.1e-05, 0.232, 0.234 | PDLC03082,Specificity_I_00031, 2, 14, 0.102, 0.106 | PDLC03082,Specificity_I_00031, 3, 0.0054, 0.289, 0.307 | PDLC03054,Specificity_I_00003, 1, 3e-06, 0.633, 0.636 | PDLC03068,Specificity_I_00017, 1, 9.5e-14, 0.297, 0.275 | PDLC03068,Specificity_I_00017, 2, 7.6e-21, 0.448, 0.442 | PDLC03134,Specificity_I_00083, 1, 3.5e-19, 0.753, 0.687 | PDLC03120,Specificity_I_00069, 1, 1.6e-06, 0.503, 0.417 | PDLC03108,Specificity_I_00057, 1, 3.7e-27, 0.776, 0.666 | PDLC03124,Specificity_I_00073, 1, 9.8e-84, 0.956, 0.886 | PDLC03118,Specificity_I_00067, 1, 2.6e-11, 0.453, 0.423 | PDLC03118,Specificity_I_00067, 2, 2.5e-15, 0.44, 0.411 | PDLC03078,Specificity_I_00027, 1, 5.2e-85, 0.953, 0.878 | PDLC03087,Specificity_I_00036, 1, 9.4e-44, 0.471, 0.433 | PDLC03087,Specificity_I_00036, 2, 6.2e-24, 0.503, 0.49 | PDLC03086,Specificity_I_00035, 1, 8.6e-09, 0.208, 0.168 | PDLC03086,Specificity_I_00035, 2, 2.1e-16, 0.398, 0.347 | PDLC03092,Specificity_I_00041, 1, 1.2e-09, 0.396, 0.401 | PDLC03092,Specificity_I_00041, 2, 2.2e-06, 0.411, 0.403 | PDLC03079,Specificity_I_00028, 1, 1.2e-24, 0.914, 0.802 | PDLC03119,Specificity_I_00068, 1, 1.8e-05, 0.331, 0.31 | PDLC03119,Specificity_I_00068, 2, 6.7e-07, 0.414, 0.407 | PDLC03133,Specificity_I_00082, 1, 0.00031, 0.326, 0.29 | PDLC03133,Specificity_I_00082, 2, 0.31, 0.107, 0.098 | PDLC03127,Specificity_I_00076, 1, 0.00021, 0.232, 0.145 | PDLC03127,Specificity_I_00076, 2, 3.8e-09, 0.487, 0.356 | PDLC03053,Specificity_I_00002, 1, 0.038, 0.143, 0.141 | PDLC03053,Specificity_I_00002, 2, 0.072, 0.159, 0.154 | PDLC03084,Specificity_I_00033, 1, 2.8e-06, 0.255, 0.235 | PDLC03084,Specificity_I_00033, 2, 3.1e-14, 0.469, 0.452 | PDLC03090,Specificity_I_00039, 1, 1.1e-27, 0.896, 0.82 | PDLC03091,Specificity_I_00040, 1, 2.6, 0.148, 0.129 | PDLC03091,Specificity_I_00040, 2, 0.0011, 0.404, 0.38 | PDLC03085,Specificity_I_00034, 1, 9.7e-35, 0.667, 0.655 | PDLC03126,Specificity_I_00075, 1, 0.055, 0.214, 0.113 | PDLC03126,Specificity_I_00075, 2, 0.011, 0.305, 0.171 | PDLC03126,Specificity_I_00075, 3, 9.6e-06, 0.469, 0.271 | PDLC03132,Specificity_I_00081, 1, 0.13, 0.125, 0.124 | PDLC03132,Specificity_I_00081, 2, 1.1, 0.13, 0.129 | PDLC03169,Specificity_I_00118, 1, 1.9e-27, 0.76, 0.659 | PDLC03155,Specificity_I_00104, 1, 31, 0.125, 0.09 | PDLC03155,Specificity_I_00104, 2, 0.012, 0.214, 0.167 | PDLC03196,Specificity_I_00145, 1, 3.7, 0.203, 0.095 | PDLC03196,Specificity_I_00145, 2, 1.6e-06, 0.328, 0.165 | PDLC03182,Specificity_I_00131, 1, 0.082, 0.125, 0.109 | PDLC03182,Specificity_I_00131, 2, 6e-10, 0.474, 0.432 | PDLC03592,Specificity_II_00003, 1, 1.6e-07, 0.24, 0.219 | PDLC03592,Specificity_II_00003, 2, 3.5, 0.125, 0.122 | PDLC03183,Specificity_I_00132, 1, 4.1e-05, 0.477, 0.429 | PDLC03183,Specificity_I_00132, 2, 4.3e-05, 0.417, 0.397 | PDLC03154,Specificity_I_00103, 1, 2.9e-08, 0.26, 0.236 | PDLC03154,Specificity_I_00103, 2, 1.3e-15, 0.432, 0.424 | PDLC03168,Specificity_I_00117, 1, 1.9e-10, 0.234, 0.187 | PDLC03168,Specificity_I_00117, 2, 3.9e-23, 0.44, 0.377 | PDLC03624,REase_MTase_IIG_00029, 1, 1.3e-06, 0.24, 0.068 | PDLC03624,REase_MTase_IIG_00029, 2, 13, 0.206, 0.061 | PDLC03624,REase_MTase_IIG_00029, 3, 0.00012, 0.339, 0.11 | PDLC03142,Specificity_I_00091, 1, 0.0023, 0.227, 0.184 | PDLC03142,Specificity_I_00091, 2, 73, 0.143, 0.114 | PDLC03156,Specificity_I_00105, 1, 7.4e-10, 0.404, 0.346 | PDLC03156,Specificity_I_00105, 2, 1.8e-23, 0.659, 0.617 | PDLC03195,Specificity_I_00144, 1, 3.5, 0.148, 0.1 | PDLC03195,Specificity_I_00144, 2, 0.021, 0.247, 0.182 | PDLC03590,Specificity_II_00001, 1, 1.4, 0.109, 0.185 | PDLC03590,Specificity_II_00001, 2, 1.3, 0.365, 0.639 | PDLC03194,Specificity_I_00143, 1, 0.0034, 0.214, 0.21 | PDLC03194,Specificity_I_00143, 2, 3.5e-07, 0.448, 0.468 | PDLC03180,Specificity_I_00129, 1, 0.034, 0.156, 0.148 | PDLC03180,Specificity_I_00129, 2, 48, 0.18, 0.17 | PDLC03147,Specificity_I_00096, 1, 3.5e-06, 0.495, 0.471 | PDLC03153,Specificity_I_00102, 1, 9.1e-14, 0.737, 0.683 | PDLC03190,Specificity_I_00139, 1, 5.3e-25, 0.464, 0.46 | PDLC03190,Specificity_I_00139, 2, 73, 0.099, 0.098 | PDLC03032,MTase_I_00015, 1, 0.0088, 0.216, 0.079 | PDLC03032,MTase_I_00015, 2, 2.6e-05, 0.417, 0.164 | PDLC03191,Specificity_I_00140, 1, 2.2e-08, 0.359, 0.31 | PDLC03191,Specificity_I_00140, 2, 0.0027, 0.37, 0.328 | PDLC03185,Specificity_I_00134, 1, 3.7e-63, 0.805, 0.76 | PDLC03146,Specificity_I_00095, 1, 5.7e-40, 0.979, 0.898 | PDLC03150,Specificity_I_00099, 1, 730, 0.068, 0.048 | PDLC03150,Specificity_I_00099, 2, 0.001, 0.339, 0.28 | PDLC03144,Specificity_I_00093, 1, 1.6e-05, 0.253, 0.253 | PDLC03144,Specificity_I_00093, 2, 0.00012, 0.419, 0.415 | PDLC03178,Specificity_I_00127, 1, 1e-74, 0.992, 0.937 | PDLC03187,Specificity_I_00136, 1, 0.014, 0.307, 0.31 | PDLC03187,Specificity_I_00136, 2, 190, 0.151, 0.155 | PDLC03186,Specificity_I_00135, 1, 1.7e-12, 0.727, 0.673 | PDLC03192,Specificity_I_00141, 1, 6.9e-05, 0.424, 0.388 | PDLC03192,Specificity_I_00141, 2, 1.5, 0.372, 0.361 | PDLC03179,Specificity_I_00128, 1, 1.3e-05, 0.344, 0.212 | PDLC03179,Specificity_I_00128, 2, 9.2e-18, 0.414, 0.285 | PDLC03151,Specificity_I_00100, 1, 1.1e-05, 0.633, 0.596 | PDLC03148,Specificity_I_00097, 1, 1.8e-10, 0.372, 0.298 | PDLC03148,Specificity_I_00097, 2, 0.32, 0.305, 0.263 | PDLC03148,Specificity_I_00097, 3, 1.6e-05, 0.359, 0.322 | PDLC03174,Specificity_I_00123, 1, 1.6e-11, 0.974, 0.846 | PDLC03161,Specificity_I_00110, 1, 3.2e-09, 0.484, 0.447 | PDLC03161,Specificity_I_00110, 2, 0.059, 0.229, 0.22 | PDLC03175,Specificity_I_00124, 1, 2e-21, 0.919, 0.829 | PDLC03163,Specificity_I_00112, 1, 1.8e-07, 0.26, 0.23 | PDLC03163,Specificity_I_00112, 2, 1.1e-14, 0.474, 0.452 | PDLC03177,Specificity_I_00126, 1, 0.0038, 0.203, 0.187 | PDLC03177,Specificity_I_00126, 2, 4.1e-05, 0.427, 0.425 | PDLC03188,Specificity_I_00137, 1, 0.0019, 0.281, 0.238 | PDLC03188,Specificity_I_00137, 2, 22, 0.12, 0.094 | PDLC03201,Specificity_I_00150, 1, 6.5e-05, 0.193, 0.348 | PDLC03201,Specificity_I_00150, 2, 1.9e-05, 0.214, 0.408 | PDLC03189,Specificity_I_00138, 1, 0.0012, 0.219, 0.183 | PDLC03189,Specificity_I_00138, 2, 1.3e-14, 0.453, 0.383 | PDLC03162,Specificity_I_00111, 1, 5.6e-15, 0.685, 0.626 | PDLC03172,Specificity_I_00121, 1, 8.1e-14, 0.589, 0.561 | PDLC03172,Specificity_I_00121, 2, 0.78, 0.211, 0.186 | PDLC03173,Specificity_I_00122, 1, 1.1e-08, 0.224, 0.177 | PDLC03173,Specificity_I_00122, 2, 0.00045, 0.487, 0.397 | PDLC03165,Specificity_I_00114, 1, 3.8e-30, 0.456, 0.414 | PDLC03165,Specificity_I_00114, 2, 1.9e-34, 0.508, 0.494 | PDLC03158,Specificity_I_00107, 1, 8.1e-16, 0.669, 0.617 | PDLC03164,Specificity_I_00113, 1, 1.6e-07, 0.216, 0.193 | PDLC03164,Specificity_I_00113, 2, 4.7e-09, 0.458, 0.45 | PDLC03170,Specificity_I_00119, 1, 0.046, 0.135, 0.119 | PDLC03170,Specificity_I_00119, 2, 0.0036, 0.305, 0.27 | PDLC03117,Specificity_I_00066, 1, 8.9e-16, 0.961, 0.697 | PDLC03103,Specificity_I_00052, 1, 2.2e-08, 0.234, 0.222 | PDLC03103,Specificity_I_00052, 2, 470, 0.029, 0.028 | PDLC03103,Specificity_I_00052, 3, 1.2e-10, 0.391, 0.393 | PDLC03063,Specificity_I_00012, 1, 180, 0.133, 0.138 | PDLC03063,Specificity_I_00012, 2, 6.1e-09, 0.409, 0.382 | PDLC03063,Specificity_I_00012, 3, 0.015, 0.138, 0.144 | PDLC03077,Specificity_I_00026, 1, 2.2e-05, 0.229, 0.201 | PDLC03077,Specificity_I_00026, 2, 7.3e-09, 0.393, 0.376 | PDLC03089,Specificity_I_00038, 1, 4.9e-10, 0.234, 0.195 | PDLC03089,Specificity_I_00038, 2, 5.5e-19, 0.43, 0.388 | PDLC03076,Specificity_I_00025, 1, 0.022, 0.336, 0.252 | PDLC03076,Specificity_I_00025, 2, 6.1e-11, 0.401, 0.328 | PDLC03062,Specificity_I_00011, 1, 0.00019, 0.643, 0.637 | PDLC03102,Specificity_I_00051, 1, 2.4e-08, 0.221, 0.221 | PDLC03102,Specificity_I_00051, 2, 4e-07, 0.135, 0.138 | PDLC04137,mads_5, 1, 1.1e-16, 0.763, 0.755 | PDLC03100,Specificity_I_00049, 1, 7.6e-11, 0.43, 0.413 | PDLC03100,Specificity_I_00049, 2, 2.7e-26, 0.661, 0.643 | PDLC03074,Specificity_I_00023, 1, 7.1e-16, 0.826, 0.75 | PDLC03060,Specificity_I_00009, 1, 4.6e-11, 0.75, 0.719 | PDLC03061,Specificity_I_00010, 1, 5.5e-09, 0.669, 0.683 | PDLC03075,Specificity_I_00024, 1, 1.4e-05, 0.458, 0.423 | PDLC03075,Specificity_I_00024, 2, 260, 0.133, 0.125 | PDLC03101,Specificity_I_00050, 1, 4.8e-16, 0.37, 0.326 | PDLC03101,Specificity_I_00050, 2, 2.3e-21, 0.492, 0.487 | PDLC03129,Specificity_I_00078, 1, 4.3e-13, 0.898, 0.8 | PDLC03105,Specificity_I_00054, 1, 2.6e-12, 0.396, 0.328 | PDLC03105,Specificity_I_00054, 2, 4e-12, 0.393, 0.344 | PDLC03139,Specificity_I_00088, 1, 5.5e-06, 0.469, 0.443 | PDLC03064,Specificity_I_00013, 1, 9.4e-63, 0.771, 0.716 | PDLC03070,Specificity_I_00019, 1, 0.05, 0.159, 0.131 | PDLC03070,Specificity_I_00019, 2, 0.37, 0.37, 0.34 | PDLC03138,Specificity_I_00087, 1, 0.6, 0.62, 0.503 | PDLC03110,Specificity_I_00059, 1, 1.9e-09, 0.742, 0.457 | PDLC03112,Specificity_I_00061, 1, 0.00024, 0.247, 0.241 | PDLC03112,Specificity_I_00061, 2, 1.8e-10, 0.448, 0.5 | PDLC03106,Specificity_I_00055, 1, 7e-06, 0.216, 0.187 | PDLC03106,Specificity_I_00055, 2, 0.89, 0.128, 0.108 | PDLC03066,Specificity_I_00015, 1, 0.00016, 0.219, 0.181 | PDLC03066,Specificity_I_00015, 2, 0.0091, 0.302, 0.259 | PDLC03066,Specificity_I_00015, 3, 0.0018, 0.141, 0.122 | PDLC03072,Specificity_I_00021, 1, 2.7e-12, 0.352, 0.304 | PDLC03072,Specificity_I_00021, 2, 1.2e-10, 0.401, 0.368 | PDLC03099,Specificity_I_00048, 1, 2.3e-18, 0.503, 0.514 | PDLC03099,Specificity_I_00048, 2, 4.4e-14, 0.458, 0.393 | PDLC03098,Specificity_I_00047, 1, 9.6e-10, 0.294, 0.242 | PDLC03098,Specificity_I_00047, 2, 9.3e-14, 0.469, 0.409 | PDLC03073,Specificity_I_00022, 1, 1.3e-06, 0.206, 0.181 | PDLC03073,Specificity_I_00022, 2, 1.1e-11, 0.461, 0.437 | PDLC03311,MTase_II_00097, 1, 8.3e-06, 0.297, 0.272 | PDLC03107,Specificity_I_00056, 1, 5.9e-23, 0.794, 0.77 | PDLC03113,Specificity_I_00062, 1, 1.9e-15, 0.331, 0.301 | PDLC03113,Specificity_I_00062, 2, 9.8e-17, 0.547, 0.509","PDLC03078, Specificity_I_00027, 5.2e-85, 0.953, 0.878 | PDLC03124, Specificity_I_00073, 9.8e-84, 0.956, 0.886 | PDLC03178, Specificity_I_00127, 1e-74, 0.992, 0.937 | PDLC03185, Specificity_I_00134, 3.7e-63, 0.805, 0.76 | PDLC03064, Specificity_I_00013, 9.4e-63, 0.771, 0.716"
