gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
Ef-P20-208_CDS_0001	1	1836	+	Ef-P20-208	-278184456482905.7	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	675	788.443481	6.301556794533764e-237	No_custom_HMM	No_custom_HMM	No_custom_HMM	675	PHANOTATE_1.5.1	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0002	1936	2724	+	Ef-P20-208	-30583526.17750379	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1917	304.022369	2.5182243777002e-90	No_custom_HMM	No_custom_HMM	No_custom_HMM	1917	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0003	2829	3545	+	Ef-P20-208	-10157205.265471632	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1116	192.020844	2.4392205548440153e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	1116	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0004	3535	3879	+	Ef-P20-208	-1438.0883590932008	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	13357	188.976517	3.842720788125659e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	13357	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0005	3973	4842	+	Ef-P20-208	-11117950.072969835	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	833	202.788376	1.8596606953786805e-59	No_custom_HMM	No_custom_HMM	No_custom_HMM	833	PHANOTATE_1.5.1	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0006	5009	5647	+	Ef-P20-208	-35110.5719857946	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	4602	231.953796	1.5554964936061734e-68	No_custom_HMM	No_custom_HMM	No_custom_HMM	4602	PHANOTATE_1.5.1	CDS	#838383	transglycosylase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0007	5789	6133	+	Ef-P20-208	-10289.903068763691	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1108	107.532021	7.60759669957457e-31	No_custom_HMM	No_custom_HMM	No_custom_HMM	1108	PHANOTATE_1.5.1	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0008	6211	7872	+	Ef-P20-208	-470608483906967.4	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	15361	438.588593	2.6433586411690615e-131	No_custom_HMM	No_custom_HMM	No_custom_HMM	15361	PHANOTATE_1.5.1	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0009	7879	7992	+	Ef-P20-208	-1.937072781205104	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
Ef-P20-208_CDS_0010	7964	8770	+	Ef-P20-208	-6724241.73991421	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	1028	470.861938	2.278555676025083e-140	No_custom_HMM	No_custom_HMM	No_custom_HMM	1028	PHANOTATE_1.5.1	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
